P_prefix,amount,day,payee,payer,step
73,73,1,H4,H3,1
152,79,1,H6,H5,2
152,64,1,H7,H6,3
152,42,1,H8,H7,4
152,14,1,H9,H8,5
152,1,1,H10,H9,6
172,20,1,H12,H11,7
172,12,1,H13,H12,8
192,20,1,H15,H14,9
192,16,1,H16,H15,10
192,8,1,H17,H16,11
192,1,1,H18,H17,12
208,17,1,H19,H18,13
208,3,1,H20,H19,14
261,53,1,H23,H22,15
263,55,1,H24,H23,16
323,60,1,H27,H26,17
323,21,1,H28,H27,18
327,25,1,H29,H28,19
327,4,1,H30,H29,20
327,2,1,dealer_short,H30,21
332,5,1,H33,H32,22
339,12,1,H34,H33,23
414,75,1,H36,H35,24
414,6,1,dealer_short,H36,25
508,94,1,H40,H39,26
508,19,1,H41,H40,27
508,2,1,H42,H41,28
517,9,1,H46,H45,29
555,38,1,H48,H47,30
576,59,1,H49,H48,31
576,19,1,H50,H49,32
576,18,1,H51,H50,33
580,4,1,H53,H52,34
594,18,1,H54,H53,35
731,137,1,H57,H56,36
731,13,1,H58,H57,37
731,1,1,H59,H58,38
733,2,1,dealer_short,H60,39
752,19,1,H63,H62,40
799,47,1,H66,H65,41
807,55,1,H67,H66,42
807,12,1,H68,H67,43
808,1,1,H70,H69,44
834,26,1,H73,H72,45
836,2,1,H76,H75,46
871,35,1,H79,H78,47
871,35,1,H80,H79,48
938,67,1,H82,H81,49
938,6,1,H83,H82,50
943,11,1,H84,H83,51
945,2,1,H86,H85,52
953,10,1,H87,H86,53
974,31,1,H88,H87,54
987,13,1,H90,H89,55
1027,40,1,dealer_short,H92,56
1078,51,1,H94,H93,57
1078,32,1,H95,H94,58
1099,21,1,H97,H96,59
1099,9,1,H98,H97,60
1242,143,1,dealer_short,H99,61
1303,61,1,H1,H100,62
