DS_t,agent,day
0.035499398315282794,H2,1
0,H23,1
0,H38,1
0.009025270758122744,H57,1
0,H13,1
0.10890493381468111,H12,1
0,H28,1
0,H33,1
0.05896510228640193,H42,1
0,H93,1
0.019855595667870037,H67,1
0,H53,1
0.11432009626955475,H27,1
0.017448856799037304,H92,1
0,H8,1
0.040312876052948254,H97,1
0.02286401925391095,H22,1
0,H18,1
0.017448856799037304,H7,1
0,H58,1
0.01444043321299639,H52,1
0.1197352587244284,H72,1
0.05535499398315283,H77,1
0.01444043321299639,H47,1
0,H3,1
0,H63,1
0.02527075812274368,H32,1
0,H73,1
0,H88,1
0,H83,1
0,H98,1
0.015643802647412757,H82,1
0.12876052948255115,H62,1
0.06257521058965103,H37,1
0.03429602888086643,H87,1
0,H48,1
0,H68,1
0.08483754512635379,H17,1
0,H78,1
0,H43,1
0,H99,3
0.06928171166581763,H23,3
0.011207335710646969,H38,3
0,H49,3
0.10290371879775853,H13,3
0.04228222109016811,H28,3
0.04228222109016811,H33,3
0.01782985226693836,H93,3
0,H74,3
0.020376974019358125,H53,3
0.0718288334182374,H8,3
0,H9,3
0,H59,3
0.06673458991339785,H18,3
0,H34,3
0.12226184411614875,H58,3
0,H24,3
0,H44,3
0,H54,3
0,H64,3
0,H39,3
0.01273560876209883,H3,3
0,H89,3
0.018339276617422313,H63,3
0,H4,3
0.05909322465613857,H73,3
0.032093734080489045,H88,3
0,H14,3
0,H94,3
0.026490066225165563,H83,3
0.05858380030565461,H98,3
0,H84,3
0,H79,3
0.0718288334182374,H48,3
0.05196128374936322,H68,3
0,H69,3
0.03413143148242486,H78,3
0.06775343861436577,H43,3
0,H19,3
0,H29,3
0,H15,5
0.07334109429569266,H99,5
0,H20,5
0.018626309662398137,H49,5
0,H80,5
0,H25,5
0,H85,5
0,H45,5
0,H65,5
0.021536670547147845,H74,5
0,H60,5
0.08614668218859138,H9,5
0.03667054714784633,H59,5
0,H50,5
0.03667054714784633,H34,5
0.02037252619324796,H24,5
0,H75,5
0,H70,5
0.057625145518044235,H44,5
0,H100,5
0.034924330616996506,H54,5
0.04540162980209546,H64,5
0.03958090803259604,H39,5
0,H55,5
0.007566938300349243,H89,5
0.027357392316647265,H4,5
0.05820721769499418,H14,5
0.023282887077997673,H94,5
0,H30,5
0,H40,5
0.09778812572759023,H84,5
0,H95,5
0.0890570430733411,H79,5
0.110011641443539,H69,5
0,H35,5
0,H5,5
0.007566938300349243,H19,5
0,H10,5
0,H90,5
0.10826542491268917,H29,5
0.03753957485300769,H15,7
0.1013116236996834,H20,7
0.048846675712347354,H80,7
0,H16,7
0,H61,7
0,H86,7
0.010402532790592492,H25,7
0.030303030303030304,H85,7
0.011759384893713252,H45,7
0.029850746268656716,H65,7
0,H96,7
0.07553143374038897,H60,7
0,H81,7
0,H66,7
0,H71,7
0.052917232021709636,H50,7
0.08502939846223428,H75,7
0,H76,7
0,H56,7
0,H6,7
0.1483491632745364,H70,7
0,H91,7
0,H26,7
0.051560379918588875,H100,7
0,H46,7
0.029850746268656716,H55,7
0,H21,7
0,H31,7
0,H51,7
0.02804161013116237,H30,7
0.060153776571687016,H40,7
0.03934871099050204,H95,7
0,H41,7
0.010402532790592492,H35,7
0,H11,7
0.0203527815468114,H5,7
0.08186341022161918,H10,7
0,H36,7
0,H1,7
0.046585255540479424,H90,7
0,H2,9
0,H57,9
0.02173004596740493,H16,9
0.02381947346427079,H61,9
0.05056414542415378,H86,9
0,H12,9
0.03635603844546594,H96,9
0,H42,9
0.07981613038027581,H81,9
0,H67,9
0,H27,9
0,H92,9
0.19557041370664438,H66,9
0.0355202674467196,H71,9
0,H97,9
0,H22,9
0,H7,9
0,H52,9
0,H72,9
0.013790221479314668,H76,9
0.008357709987463435,H56,9
0.1905557877141663,H6,9
0.06142916840785625,H26,9
0.04346009193480986,H91,9
0,H77,9
0.07354784788967823,H46,9
0,H47,9
0,H32,9
0.01880484747179273,H21,9
0.03343083994985374,H31,9
0.043877977434183035,H51,9
0,H82,9
0,H62,9
0,H37,9
0.00459674049310489,H41,9
0,H87,9
0.0384454659423318,H11,9
0,H17,9
0.01211867948182198,H36,9
0.014208106978687839,H1,9
