P_prefix,amount,day,payee,payer,step
42,42,1,H53,H52,1
54,54,3,H4,H3,1
139,85,3,dealer_short,H33,2
193,54,3,H39,H38,3
210,17,3,dealer_short,H43,4
298,88,3,H49,H48,5
389,91,3,dealer_short,H68,6
430,41,3,H74,H73,7
537,107,3,H79,H78,8
608,71,3,H84,H83,9
681,73,3,H94,H93,10
78,78,5,dealer_short,H4,1
144,66,5,dealer_short,H9,2
255,111,5,dealer_short,H14,3
321,66,5,dealer_short,H19,4
377,56,5,dealer_short,H24,5
534,157,5,dealer_short,H29,6
674,140,5,dealer_short,H34,7
776,102,5,dealer_short,H39,8
822,46,5,dealer_short,H49,9
902,80,5,dealer_short,H54,10
945,43,5,dealer_short,H59,11
1037,92,5,H65,H64,12
1154,117,5,dealer_short,H69,13
1202,48,5,dealer_short,H74,14
1263,61,5,H85,H84,15
1345,82,5,H90,H89,16
1460,115,5,dealer_short,H94,17
1625,165,5,dealer_short,H99,18
69,69,7,dealer_short,H10,1
202,133,7,dealer_short,H15,2
319,117,7,H21,H20,3
488,169,7,dealer_short,H30,4
601,113,7,dealer_short,H35,5
688,87,7,dealer_short,H40,6
795,107,7,dealer_short,H45,7
850,55,7,dealer_short,H50,8
947,97,7,dealer_short,H55,9
992,45,7,dealer_short,H65,10
1052,60,7,H71,H70,11
1232,180,7,H81,H80,12
1281,49,7,dealer_short,H85,13
1328,47,7,dealer_short,H90,14
1410,82,7,dealer_short,H95,15
1535,125,7,dealer_short,H100,16
61,61,9,H2,H1,1
191,130,9,H7,H6,2
243,52,9,H12,H11,3
394,151,9,H17,H16,4
413,19,9,H22,H21,5
483,70,9,H27,H26,6
567,84,9,dealer_short,H31,7
630,63,9,H37,H36,8
732,102,9,H42,H41,9
811,79,9,H47,H46,10
876,65,9,H57,H56,11
968,92,9,H62,H61,12
1014,46,9,H72,H71,13
1123,109,9,H77,H76,14
1159,36,9,H82,H81,15
1241,82,9,H97,H96,16
