agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,40397.0,-40397.0,0,40397.0,0.0,0.0
H1,,,,714.0,,,,714.0,714.0,0,0.0,0.0
H2,,,,485.0,,,,485.0,485.0,0,0.0,0.0
H3,,,,225.0,,,,225.0,225.0,0,0.0,0.0
H4,,,,135.0,,,,135.0,135.0,0,0.0,0.0
H5,,,,849.0,,,,849.0,849.0,0,0.0,0.0
H6,,,,410.0,,,,410.0,410.0,0,0.0,0.0
H7,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H8,,,,306.0,,,,306.0,306.0,0,0.0,0.0
H9,,,,494.0,,,,494.0,494.0,0,0.0,0.0
H10,,,,118.0,,,,118.0,118.0,0,0.0,0.0
H11,,,,679.0,,,,679.0,679.0,0,0.0,0.0
H12,,,,,,,,0,0,0,0.0,0.0
H13,,,,803.0,,,,803.0,803.0,0,0.0,0.0
H14,,,,394.0,,,,394.0,394.0,0,0.0,0.0
H15,,,,265.0,,,,265.0,265.0,0,0.0,0.0
H16,,,,541.0,,,,541.0,541.0,0,0.0,0.0
H17,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H18,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H19,,,,316.0,,,,316.0,316.0,0,0.0,0.0
H20,,,,479.0,,,,479.0,479.0,0,0.0,0.0
H21,,,,404.0,,,,404.0,404.0,0,0.0,0.0
H22,,,,309.0,,,,309.0,309.0,0,0.0,0.0
H23,,,,492.0,,,,492.0,492.0,0,0.0,0.0
H24,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H25,,,,357.0,,,,357.0,357.0,0,0.0,0.0
H26,,,,443.0,,,,443.0,443.0,0,0.0,0.0
H27,,,,398.0,,,,398.0,398.0,0,0.0,0.0
H28,,,,402.0,,,,402.0,402.0,0,0.0,0.0
H29,,,,,,,,0,0,0,0.0,0.0
H30,,,,702.0,,,,702.0,702.0,0,0.0,0.0
H31,,,,497.0,,,,497.0,497.0,0,0.0,0.0
H32,,,,356.0,,,,356.0,356.0,0,0.0,0.0
H33,,,,390.0,,,,390.0,390.0,0,0.0,0.0
H34,,,,447.0,,,,447.0,447.0,0,0.0,0.0
H35,,,,408.0,,,,408.0,408.0,0,0.0,0.0
H36,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H37,,,,147.0,,,,147.0,147.0,0,0.0,0.0
H38,,,,653.0,,,,653.0,653.0,0,0.0,0.0
H39,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H40,,,,281.0,,,,281.0,281.0,0,0.0,0.0
H41,,,,518.0,,,,518.0,518.0,0,0.0,0.0
H42,,,,401.0,,,,401.0,401.0,0,0.0,0.0
H43,,,,385.0,,,,385.0,385.0,0,0.0,0.0
H44,,,,,,,,0,0,0,0.0,0.0
H45,,,,791.0,,,,791.0,791.0,0,0.0,0.0
H46,,,,424.0,,,,424.0,424.0,0,0.0,0.0
H47,,,,333.0,,,,333.0,333.0,0,0.0,0.0
H48,,,,259.0,,,,259.0,259.0,0,0.0,0.0
H49,,,,377.0,,,,377.0,377.0,0,0.0,0.0
H50,,,,632.0,,,,632.0,632.0,0,0.0,0.0
H51,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H52,,,,398.0,,,,398.0,398.0,0,0.0,0.0
H53,,,,402.0,,,,402.0,402.0,0,0.0,0.0
H54,,,,400.0,,,,400.0,400.0,0,0.0,0.0
H55,,,,186.0,,,,186.0,186.0,0,0.0,0.0
H56,,,,595.0,,,,595.0,595.0,0,0.0,0.0
H57,,,,418.0,,,,418.0,418.0,0,0.0,0.0
H58,,,,390.0,,,,390.0,390.0,0,0.0,0.0
H59,,,,374.0,,,,374.0,374.0,0,0.0,0.0
H60,,,,437.0,,,,437.0,437.0,0,0.0,0.0
