P_prefix,amount,day,payee,payer,step
85,85,1,H3,H2,1
110,25,1,H13,H12,2
166,56,1,H18,H17,3
195,29,1,H73,H72,4
215,20,1,H78,H77,5
68,68,3,H4,H3,1
104,36,3,dealer_short,H13,2
130,26,3,H29,H28,3
152,22,3,dealer_short,H43,4
195,43,3,H49,H48,5
243,48,3,H84,H83,6
286,43,3,H94,H93,7
37,37,5,dealer_short,H24,1
93,56,5,dealer_short,H34,2
110,17,5,dealer_short,H39,3
171,61,5,dealer_short,H49,4
175,4,5,dealer_short,H54,5
362,187,5,dealer_short,H59,6
423,61,5,dealer_short,H74,7
486,63,5,dealer_short,H79,8
508,22,5,dealer_short,H94,9
31,31,7,dealer_short,H5,1
97,66,7,dealer_short,H10,2
267,170,7,dealer_short,H15,3
457,190,7,dealer_short,H20,4
499,42,7,dealer_short,H30,5
544,45,7,dealer_short,H35,6
610,66,7,dealer_short,H60,7
650,40,7,dealer_short,H65,8
714,64,7,H71,H70,9
790,76,7,dealer_short,H75,10
856,66,7,dealer_short,H90,11
902,46,7,dealer_short,H100,12
32,32,9,H12,H11,1
100,68,9,dealer_short,H16,2
144,44,9,H22,H21,3
180,36,9,H27,H26,4
251,71,9,H37,H36,5
418,167,9,H42,H41,6
530,112,9,H47,H46,7
607,77,9,H52,H51,8
656,49,9,H57,H56,9
715,59,9,H67,H66,10
733,18,9,dealer_short,H71,11
763,30,9,H82,H81,12
832,69,9,H87,H86,13
926,94,9,H92,H91,14
993,67,9,H97,H96,15
