P_prefix,amount,day,payee,payer,step
85,85,1,H13,H12,1
179,94,1,H23,H22,2
243,64,1,H33,H32,3
367,124,1,H63,H62,4
409,42,1,H83,H82,5
485,76,1,H93,H92,6
35,35,2,H26,H25,1
85,50,2,dealer_short,H35,2
209,124,2,H46,H45,3
333,124,2,H56,H55,4
357,24,2,H76,H75,5
440,83,2,H86,H85,6
472,32,2,H96,H95,7
69,69,3,dealer_short,H8,1
162,93,3,dealer_short,H18,2
210,48,3,H29,H28,3
385,175,3,H39,H38,4
516,131,3,dealer_short,H58,5
629,113,3,H69,H68,6
716,87,3,H79,H78,7
787,71,3,H89,H88,8
934,147,3,dealer_short,H98,9
92,92,4,H2,H1,1
169,77,4,H12,H11,2
194,25,4,H22,H21,3
222,28,4,H42,H41,4
318,96,4,H52,H51,5
418,100,4,dealer_short,H61,6
568,150,4,H72,H71,7
625,57,4,H82,H81,8
15,15,5,dealer_short,H4,1
52,37,5,dealer_short,H14,2
84,32,5,H25,H24,3
250,166,5,H35,H34,4
372,122,5,dealer_short,H44,5
457,85,5,H65,H64,6
529,72,5,H75,H74,7
583,54,5,H85,H84,8
713,130,5,H95,H94,9
141,141,6,H8,H7,1
229,88,6,H18,H17,2
385,156,6,H28,H27,3
607,222,6,dealer_short,H37,4
640,33,6,dealer_short,H47,5
735,95,6,dealer_short,H67,6
797,62,6,H78,H77,7
896,99,6,H88,H87,8
990,94,6,dealer_short,H97,9
96,96,7,H21,H20,1
126,30,7,H37,H30,2
167,41,7,H41,H40,3
215,48,7,H51,H50,4
218,3,7,H61,H60,5
287,69,7,dealer_short,H70,6
300,13,7,H81,H80,7
335,35,7,dealer_short,H90,8
375,40,7,H1,H100,9
79,79,8,H4,H3,1
173,94,8,H14,H13,2
201,28,8,H24,H23,3
287,86,8,dealer_short,H33,4
325,38,8,dealer_short,H43,5
391,66,8,dealer_short,H53,6
454,63,8,H64,H63,7
490,36,8,H74,H73,8
564,74,8,H84,H83,9
636,72,8,dealer_short,H93,10
80,80,9,dealer_short,H6,1
133,53,9,H17,H16,2
256,123,9,dealer_short,H26,3
274,18,9,H47,H46,4
306,32,9,dealer_short,H56,5
371,65,9,H77,H76,6
445,74,9,H87,H86,7
468,23,9,H97,H96,8
131,131,10,H20,H19,1
149,18,10,H30,H29,2
193,44,10,H40,H39,3
239,46,10,H50,H49,4
365,126,10,H60,H59,5
436,71,10,H70,H69,6
457,21,10,H80,H79,7
502,45,10,H90,H89,8
629,127,10,H100,H99,9
