DS_t,agent,day
0,H2,1
0,H23,1
0,H3,1
0,H63,1
0,H13,1
0.10007942811755362,H32,1
0.187450357426529,H12,1
0,H73,1
0,H83,1
0,H33,1
0,H42,1
0,H93,1
0,H53,1
0.5520254169976172,H82,1
0.003177124702144559,H92,1
0.056393963463065924,H62,1
0,H22,1
0,H43,1
0.09213661636219221,H52,1
0.008737092930897538,H72,1
0.03773584905660377,H15,2
0,H76,2
0,H46,2
0,H55,2
0,H16,2
0,H86,2
0,H25,2
0.08333333333333333,H85,2
0.5068134171907757,H45,2
0.06813417190775681,H65,2
0,H96,2
0.0020964360587002098,H95,2
0,H66,2
0,H35,2
0.0010482180293501049,H5,2
0,H36,2
0.3008385744234801,H75,2
0,H56,2
0,H6,2
0,H26,2
0,H99,3
0.20686695278969958,H38,3
0,H49,3
0,H39,3
0,H89,3
0,H88,3
0.05321888412017167,H28,3
0.12618025751072962,H98,3
0.18369098712446352,H8,3
0,H9,3
0,H79,3
0.0592274678111588,H48,3
0.048068669527897,H68,3
0,H69,3
0.07896995708154507,H18,3
0,H59,3
0.1055793991416309,H78,3
0,H19,3
0.13819742489270387,H58,3
0,H29,3
0,H2,4
0.24972129319955408,H61,4
0,H32,4
0.12263099219620958,H31,4
0,H21,4
0.10144927536231885,H51,4
0,H12,4
0,H42,4
0.04124860646599777,H81,4
0,H82,4
0,H92,4
0,H62,4
0.011148272017837236,H41,4
0.4682274247491639,H71,4
0,H22,4
0,H11,4
0.0011148272017837235,H1,4
0,H52,4
0,H72,4
0.004459308807134894,H91,4
0,H15,5
0.36223118279569894,H44,5
0.27486559139784944,H54,5
0,H64,5
0,H55,5
0,H25,5
0.0006720430107526882,H4,5
0.15255376344086022,H14,5
0,H85,5
0.16263440860215053,H94,5
0,H45,5
0,H65,5
0.020833333333333332,H74,5
0.025537634408602152,H84,5
0,H95,5
0,H35,5
0,H34,5
0,H5,5
0.0006720430107526882,H24,5
0,H75,5
0,H77,6
0,H38,6
0,H57,6
0.43373493975903615,H47,6
0,H88,6
0,H28,6
0.286144578313253,H67,6
0,H98,6
0,H8,6
0,H27,6
0,H37,6
0.28012048192771083,H87,6
0,H48,6
0,H97,6
0,H68,6
0,H18,6
0,H17,6
0,H78,6
0,H7,6
0,H58,6
0,H20,7
0.013422818791946308,H100,7
0.026845637583892617,H80,7
0,H61,7
0,H31,7
0,H21,7
0,H51,7
0.006711409395973154,H30,7
0.8859060402684564,H40,7
0,H60,7
0,H81,7
0,H41,7
0,H71,7
0,H50,7
0,H91,7
0,H11,7
0,H10,7
0,H1,7
0.06711409395973154,H90,7
0,H70,7
0,H44,8
0.12091179385530228,H23,8
0,H54,8
0,H64,8
0,H3,8
0.010901883052527254,H63,8
0.007928642220019821,H13,8
0,H4,8
0.015857284440039643,H73,8
0,H14,8
0,H94,8
0,H83,8
0,H33,8
0.04658077304261645,H93,8
0,H74,8
0.7978196233894945,H53,8
0,H84,8
0,H34,8
0,H43,8
0,H24,8
0,H77,9
0.15289256198347106,H46,9
0,H47,9
0,H57,9
0.02066115702479339,H16,9
0.0371900826446281,H86,9
0.05371900826446281,H96,9
0,H67,9
0,H27,9
0.48760330578512395,H66,9
0,H37,9
0,H87,9
0,H97,9
0,H17,9
0,H7,9
0.0371900826446281,H36,9
0.17768595041322313,H76,9
0.03305785123966942,H56,9
0,H6,9
0,H26,9
0.0008257638315441783,H99,10
0,H20,10
0,H100,10
0,H70,10
0.5045417010734929,H49,10
0,H80,10
0.3592072667217176,H39,10
0.05945499587118084,H89,10
0,H30,10
0,H40,10
0,H60,10
0,H9,10
0.017341040462427744,H79,10
0.005780346820809248,H69,10
0.042113955408753095,H59,10
0,H50,10
0.00990916597853014,H19,10
0,H10,10
0,H90,10
0.0008257638315441783,H29,10
