DS_t,agent,day
0,big_mid,1
0,big_short,1
0.013691128148959474,H42,1
0.0624315443592552,H62,1
0,H33,1
0,H63,1
0,H93,1
0.02135815991237678,H72,1
0.013691128148959474,H22,1
0,H13,1
0.09364731653888281,H52,1
0.013691128148959474,H2,1
0,big_long,1
0,H53,1
0,H3,1
0.01642935377875137,H92,1
0,H43,1
0.17524644030668127,H12,1
0,H83,1
0,H73,1
0.10021905805038335,H32,1
0,H23,1
0.4895947426067908,H82,1
0,H26,2
0,H66,2
0,big_mid,2
0.07129313613955252,H65,2
0,H86,2
0.009480470231323474,H55,2
0.08494501327265833,H85,2
0,H16,2
0,big_short,2
0.01061812665908229,H5,2
0.46795601061812664,H45,2
0.04361016306408798,H15,2
0,H36,2
0.009480470231323474,H25,2
0,big_long,2
0.009480470231323474,H35,2
0.2817595752749336,H75,2
0,H46,2
0,H6,2
0,H96,2
0,H76,2
0.011376564277588168,H95,2
0,H56,2
0.1912280701754386,H38,3
0,big_mid,3
0.12222222222222222,H98,3
0,H69,3
0.0824561403508772,H18,3
0,H39,3
0.17134502923976608,H8,3
0,big_short,3
0.056140350877192984,H68,3
0,H49,3
0.014619883040935672,H88,3
0,H59,3
0,H79,3
0.10467836257309941,H78,3
0.06023391812865497,H28,3
0.13216374269005848,H58,3
0,H19,3
0.06491228070175438,H48,3
0,H29,3
0,H9,3
0,big_long,3
0,H89,3
0,H99,3
0.40160349854227406,H71,4
0,big_mid,4
0.10131195335276968,H51,4
0.22230320699708456,H61,4
0.018221574344023325,H21,4
0.018221574344023325,H11,4
0,big_short,4
0.018950437317784258,H1,4
0,H42,4
0.05174927113702624,H81,4
0,H62,4
0.11807580174927114,H31,4
0,H72,4
0.02696793002915452,H41,4
0,H22,4
0,H52,4
0,H2,4
0,big_long,4
0,H92,4
0.02259475218658892,H91,4
0,H12,4
0,H32,4
0,H82,4
0.011837121212121212,H64,5
0,big_mid,5
0.01278409090909091,H4,5
0.030303030303030304,H74,5
0,H65,5
0,H55,5
0,H85,5
0.2537878787878788,H54,5
0,big_short,5
0,H5,5
0,H45,5
0.01278409090909091,H24,5
0,H15,5
0.14630681818181818,H14,5
0.15482954545454544,H94,5
0,H25,5
0.034564393939393936,H84,5
0,big_long,5
0,H35,5
0.011837121212121212,H34,5
0,H75,5
0.3309659090909091,H44,5
0,H95,5
0,H38,6
0.03759398496240601,H27,6
0,big_mid,6
0.21203007518796993,H87,6
0,H98,6
0.3082706766917293,H47,6
0,H18,6
0,big_short,6
0,H8,6
0,H68,6
0.03759398496240601,H77,6
0,H88,6
0,H78,6
0.03759398496240601,H57,6
0,H28,6
0,H58,6
0,H48,6
0.03759398496240601,H17,6
0,big_long,6
0.03759398496240601,H7,6
0.03759398496240601,H97,6
0.03759398496240601,H37,6
0.21654135338345865,H67,6
0.030826140567200986,H50,7
0,H71,7
0,big_mid,7
0,H51,7
0,H61,7
0,H21,7
0,H11,7
0,big_short,7
0,H1,7
0.04932182490752158,H80,7
0,H81,7
0.030826140567200986,H60,7
0,H31,7
0,H41,7
0.035758323057953144,H30,7
0.6424167694204685,H40,7
0,big_long,7
0.030826140567200986,H10,7
0.030826140567200986,H70,7
0,H91,7
0.07768187422934648,H90,7
0.030826140567200986,H20,7
0.040690505548705305,H100,7
0,H64,8
0,big_mid,8
0,H4,8
0,H74,8
0,H54,8
0,big_short,8
0,H24,8
0.01654533421575116,H33,8
0.025810721376571807,H63,8
0,H14,8
0.05559232296492389,H93,8
0.02316346790205162,H13,8
0,H94,8
0,H84,8
0,big_long,8
0,H34,8
0.6823295830575777,H53,8
0.01654533421575116,H3,8
0,H44,8
0.01654533421575116,H43,8
0.01654533421575116,H83,8
0.029781601588352084,H73,8
0.1171409662475182,H23,8
0.045207956600361664,H26,9
0.3128390596745027,H66,9
0,H27,9
0,big_mid,9
0.0650994575045208,H86,9
0,H87,9
0.05605786618444846,H16,9
0,H47,9
0,big_short,9
0,H77,9
0,H57,9
0.0650994575045208,H36,9
0,H17,9
0,big_long,9
0,H7,9
0,H97,9
0.1301989150090416,H46,9
0.045207956600361664,H6,9
0.07414104882459313,H96,9
0,H67,9
0.14285714285714285,H76,9
0,H37,9
0.06329113924050633,H56,9
0,H50,10
0,big_mid,10
0.019241652518392757,H69,10
0.322014714204867,H39,10
0,big_short,10
0.4465195246179966,H49,10
0,H80,10
0.05036785512167515,H59,10
0.02942840973401245,H79,10
0,H60,10
0.022637238256932653,H19,10
0.015280135823429542,H29,10
0,H30,10
0,H40,10
0.014148273910582909,H9,10
0,big_long,10
0,H10,10
0,H70,10
0.06508205998868138,H89,10
0,H90,10
0,H20,10
0.015280135823429542,H99,10
0,H100,10
