DS_t,agent,day
0,big_mid,1
0,big_short,1
0.15853658536585366,H42,1
0.016046213093709884,H62,1
0,H33,1
0,H63,1
0,H93,1
0.19191270860077023,H72,1
0.029525032092426188,H22,1
0,H13,1
0.23876765083440307,H52,1
0.016046213093709884,H2,1
0,big_long,1
0,H53,1
0,H3,1
0.03979460847240052,H92,1
0,H43,1
0.21822849807445444,H12,1
0,H83,1
0,H73,1
0.05006418485237484,H32,1
0,H23,1
0.0410783055198973,H82,1
0,H26,2
0,H66,2
0,big_mid,2
0.03223270440251572,H65,2
0,H86,2
0.029874213836477988,H55,2
0.036949685534591194,H85,2
0,H16,2
0,big_short,2
0.04716981132075472,H5,2
0.05738993710691824,H45,2
0.12578616352201258,H15,2
0,H36,2
0.5927672955974843,H25,2
0,big_long,2
0.02908805031446541,H35,2
0.020440251572327043,H75,2
0,H46,2
0,H6,2
0,H96,2
0,H76,2
0.02830188679245283,H95,2
0,H56,2
0.09620596205962059,H38,3
0,big_mid,3
0.0975609756097561,H98,3
0,H69,3
0.04065040650406504,H18,3
0,H39,3
0.24525745257452575,H8,3
0,big_short,3
0.044715447154471545,H68,3
0,H49,3
0.11517615176151762,H88,3
0,H59,3
0,H79,3
0.04742547425474255,H78,3
0.06639566395663957,H28,3
0.16802168021680217,H58,3
0,H19,3
0.07859078590785908,H48,3
0,H29,3
0,H9,3
0,big_long,3
0,H89,3
0,H99,3
0.018911439114391145,H71,4
0,big_mid,4
0.055350553505535055,H51,4
0.011531365313653136,H61,4
0.06411439114391145,H21,4
0.08671586715867159,H11,4
0,big_short,4
0.04474169741697417,H1,4
0,H42,4
0.08671586715867159,H81,4
0,H62,4
0.37546125461254615,H31,4
0,H72,4
0.24492619926199263,H41,4
0,H22,4
0,H52,4
0,H2,4
0,big_long,4
0,H92,4
0.011531365313653136,H91,4
0,H12,4
0,H32,4
0,H82,4
0.08405603735823883,H64,5
0,big_mid,5
0.2341561040693796,H4,5
0.054036024016010674,H74,5
0,H65,5
0,H55,5
0,H85,5
0.01734489659773182,H54,5
0,big_short,5
0,H5,5
0,H45,5
0.022014676450967312,H24,5
0,H15,5
0.06737825216811208,H14,5
0.0400266844563042,H94,5
0,H25,5
0.1821214142761841,H84,5
0,big_long,5
0,H35,5
0.2715143428952635,H34,5
0,H75,5
0.027351567711807873,H44,5
0,H95,5
0,H38,6
0.17405063291139242,H27,6
0,big_mid,6
0.13449367088607594,H87,6
0,H98,6
0.23022151898734178,H47,6
0,H18,6
0,big_short,6
0,H8,6
0,H68,6
0.022151898734177215,H77,6
0,H88,6
0,H78,6
0.028481012658227847,H57,6
0,H28,6
0,H58,6
0,H48,6
0.020569620253164556,H17,6
0,big_long,6
0.2444620253164557,H7,6
0.058544303797468354,H97,6
0.05458860759493671,H37,6
0.03243670886075949,H67,6
0.07393483709273183,H50,7
0,H71,7
0,big_mid,7
0,H51,7
0,H61,7
0,H21,7
0,H11,7
0,big_short,7
0,H1,7
0.24310776942355888,H80,7
0,H81,7
0.08333333333333333,H60,7
0,H31,7
0,H41,7
0.03728070175438596,H30,7
0.03540100250626566,H40,7
0,big_long,7
0.044486215538847115,H10,7
0.08552631578947369,H70,7
0,H91,7
0.20645363408521303,H90,7
0.18264411027568922,H20,7
0.007832080200501253,H100,7
0,H64,8
0,big_mid,8
0,H4,8
0,H74,8
0,H54,8
0,big_short,8
0,H24,8
0.05013736263736264,H33,8
0.020604395604395604,H63,8
0,H14,8
0.07760989010989011,H93,8
0.4258241758241758,H13,8
0,H94,8
0,H84,8
0,big_long,8
0,H34,8
0.044642857142857144,H53,8
0.07142857142857142,H3,8
0,H44,8
0.20673076923076922,H43,8
0.018543956043956044,H83,8
0.019230769230769232,H73,8
0.06524725274725275,H23,8
0.028376844494892167,H26,9
0.029511918274687854,H66,9
0,H27,9
0,big_mid,9
0.028376844494892167,H86,9
0,H87,9
0.029511918274687854,H16,9
0,H47,9
0,big_short,9
0,H77,9
0,H57,9
0.33825198637911463,H36,9
0,H17,9
0,big_long,9
0,H7,9
0,H97,9
0.20090805902383654,H46,9
0.053348467650397274,H6,9
0.028376844494892167,H96,9
0,H67,9
0.22587968217934165,H76,9
0,H37,9
0.03745743473325766,H56,9
0,H50,10
0,big_mid,10
0.051142546245919476,H69,10
0.04461371055495103,H39,10
0,big_short,10
0.08378672470076169,H49,10
0,H80,10
0.04352557127312296,H59,10
0.062023939064200215,H79,10
0,H60,10
0.13275299238302501,H19,10
0.088139281828074,H29,10
0,H30,10
0,H40,10
0.02720348204570185,H9,10
0,big_long,10
0,H10,10
0,H70,10
0.12404787812840043,H89,10
0,H90,10
0,H20,10
0.34276387377584333,H99,10
0,H100,10
