DS_t,agent,day
0.0377901745546158,H27,1
0.0017995321216483715,H18,1
0.006478315637934137,H45,1
0.007198128486593486,H1,1
0,H62,1
0.013676444124527622,H63,1
0.01709555515565953,H79,1
0.042289004858736726,H41,1
0,H19,1
0.006658268850098974,H48,1
0.005218643152780277,H9,1
0.05560554255893468,H34,1
0,H46,1
0.00755803491092316,H82,1
0.007198128486593486,H71,1
0.024113730430088177,H69,1
0,H39,1
0.012056865215044088,H47,1
0,H8,1
0,H80,1
0.004498830304120929,H15,1
0.012956631275868274,H59,1
0.007198128486593486,H60,1
0.017455461579989204,H57,1
0,H93,1
0.003599064243296743,H25,1
0.0251934497030772,H17,1
0,H35,1
0,H43,1
0.020514666186791434,H96,1
0.004678783516285766,H67,1
0,H89,1
0.0032391578189670685,H32,1
0.0062983624257693,H20,1
0.004138923879791255,H38,1
0,H66,1
0.011517005578549577,H55,1
0.03958970667626417,H85,1
0.010437286305560555,H98,1
0,H16,1
0.016015835882670505,H5,1
0,H28,1
0,H30,1
0.009357567032571531,H7,1
0.013316537700197948,H53,1
0,H50,1
0.017815368004318877,H21,1
0.03707036170595645,H29,1
0.002879251394637394,H2,1
0.033651250674824544,H75,1
0.001439625697318697,H83,1
0.006478315637934137,H37,1
0,H76,1
0,H23,1
0,H65,1
0,H86,1
0.0005398596364945115,H87,1
0.009897426669066043,H49,1
0,H31,1
0.00125967248515386,H36,1
0.004678783516285766,H40,1
0.027532841461220082,H52,1
0.04570811588986863,H3,1
0.008097894547417672,H44,1
0,H6,1
0,H70,1
0.014576210185351808,H73,1
0.03958970667626417,H90,1
0.0016195789094835343,H99,1
0.00017995321216483713,H26,1
0.02969228000719813,H64,1
0,H4,1
0.0005398596364945115,H51,1
0,H74,1
0.006658268850098974,H54,1
0,big_short,1
0,H42,1
0,H78,1
0,H13,1
0.007737988123087997,H72,1
0.010437286305560555,H94,1
0,H97,1
0.015835882670505667,H92,1
0,H91,1
0,H12,1
0.039229800251934496,H95,1
0,big_mid,1
0.01385639733669246,H11,1
0.014936116609681483,H81,1
0.006838222062263811,H14,1
0,H22,1
0.015835882670505667,H10,1
0.008637754183912183,H56,1
0,H61,1
0,H68,1
0.013676444124527622,H24,1
0.04282886449523124,H33,1
0.030592046068022315,H77,1
0.03491092315997841,H88,1
0,H58,1
0,H84,1
0,big_long,1
0,H100,1
