agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,26693.0,-26693.0,0,26693.0,0.0,0.0
H1,,,,280.0,,,,280.0,280.0,0,0.0,0.0
H2,,,,169.0,,,,169.0,169.0,0,0.0,0.0
H3,,,,243.0,,,,243.0,243.0,0,0.0,0.0
H4,,,,264.0,,,,264.0,264.0,0,0.0,0.0
H5,,,,160.0,,,,160.0,160.0,0,0.0,0.0
H6,,,,276.0,,,,276.0,276.0,0,0.0,0.0
H7,,,,102.0,,,,102.0,102.0,0,0.0,0.0
H8,,,,306.0,,,,306.0,306.0,0,0.0,0.0
H9,,,,121.0,,,,121.0,121.0,0,0.0,0.0
H10,,,,357.0,,,,357.0,357.0,0,0.0,0.0
H11,,,,207.0,,,,207.0,207.0,0,0.0,0.0
H12,,,,224.0,,,,224.0,224.0,0,0.0,0.0
H13,,,,156.0,,,,156.0,156.0,0,0.0,0.0
H14,,,,261.0,,,,261.0,261.0,0,0.0,0.0
H15,,,,251.0,,,,251.0,251.0,0,0.0,0.0
H16,,,,214.0,,,,214.0,214.0,0,0.0,0.0
H17,,,,210.0,,,,210.0,210.0,0,0.0,0.0
H18,,,,264.0,,,,264.0,264.0,0,0.0,0.0
H19,,,,176.0,,,,176.0,176.0,0,0.0,0.0
H20,,,,171.0,,,,171.0,171.0,0,0.0,0.0
H21,,,,321.0,,,,321.0,321.0,0,0.0,0.0
H22,,,,129.0,,,,129.0,129.0,0,0.0,0.0
H23,,,,338.0,,,,338.0,338.0,0,0.0,0.0
H24,,,,265.0,,,,265.0,265.0,0,0.0,0.0
H25,,,,175.0,,,,175.0,175.0,0,0.0,0.0
H26,,,,244.0,,,,244.0,244.0,0,0.0,0.0
H27,,,,131.0,,,,131.0,131.0,0,0.0,0.0
H28,,,,350.0,,,,350.0,350.0,0,0.0,0.0
H29,,,,205.0,,,,205.0,205.0,0,0.0,0.0
H30,,,,195.0,,,,195.0,195.0,0,0.0,0.0
H31,,,,112.0,,,,112.0,112.0,0,0.0,0.0
H32,,,,383.0,,,,383.0,383.0,0,0.0,0.0
H33,,,,189.0,,,,189.0,189.0,0,0.0,0.0
H34,,,,133.0,,,,133.0,133.0,0,0.0,0.0
H35,,,,96.0,,,,96.0,96.0,0,0.0,0.0
H36,,,,221.0,,,,221.0,221.0,0,0.0,0.0
H37,,,,369.0,,,,369.0,369.0,0,0.0,0.0
H38,,,,259.0,,,,259.0,259.0,0,0.0,0.0
H39,,,,102.0,,,,102.0,102.0,0,0.0,0.0
H40,,,,339.0,,,,339.0,339.0,0,0.0,0.0
H41,,,,272.0,,,,272.0,272.0,0,0.0,0.0
H42,,,,148.0,,,,148.0,148.0,0,0.0,0.0
H43,,,,215.0,,,,215.0,215.0,0,0.0,0.0
H44,,,,249.0,,,,249.0,249.0,0,0.0,0.0
H45,,,,223.0,,,,223.0,223.0,0,0.0,0.0
H46,,,,211.0,,,,211.0,211.0,0,0.0,0.0
H47,,,,265.0,,,,265.0,265.0,0,0.0,0.0
H48,,,,165.0,,,,165.0,165.0,0,0.0,0.0
H49,,,,208.0,,,,208.0,208.0,0,0.0,0.0
H50,,,,247.0,,,,247.0,247.0,0,0.0,0.0
H51,,,,240.0,,,,240.0,240.0,0,0.0,0.0
H52,,,,174.0,,,,174.0,174.0,0,0.0,0.0
H53,,,,304.0,,,,304.0,304.0,0,0.0,0.0
H54,,,,219.0,,,,219.0,219.0,0,0.0,0.0
H55,,,,267.0,,,,267.0,267.0,0,0.0,0.0
H56,,,,175.0,,,,175.0,175.0,0,0.0,0.0
H57,,,,200.0,,,,200.0,200.0,0,0.0,0.0
H58,,,,181.0,,,,181.0,181.0,0,0.0,0.0
H59,,,,312.0,,,,312.0,312.0,0,0.0,0.0
H60,,,,243.0,,,,243.0,243.0,0,0.0,0.0
H61,,,,137.0,,,,137.0,137.0,0,0.0,0.0
H62,,,,295.0,,,,295.0,295.0,0,0.0,0.0
H63,,,,219.0,,,,219.0,219.0,0,0.0,0.0
H64,,,,241.0,,,,241.0,241.0,0,0.0,0.0
H65,,,,160.0,,,,160.0,160.0,0,0.0,0.0
H66,,,,280.0,,,,280.0,280.0,0,0.0,0.0
H67,,,,93.0,,,,93.0,93.0,0,0.0,0.0
H68,,,,264.0,,,,264.0,264.0,0,0.0,0.0
H69,,,,195.0,,,,195.0,195.0,0,0.0,0.0
H70,,,,339.0,,,,339.0,339.0,0,0.0,0.0
H71,,,,225.0,,,,225.0,225.0,0,0.0,0.0
H72,,,,125.0,,,,125.0,125.0,0,0.0,0.0
H73,,,,338.0,,,,338.0,338.0,0,0.0,0.0
H74,,,,152.0,,,,152.0,152.0,0,0.0,0.0
H75,,,,197.0,,,,197.0,197.0,0,0.0,0.0
H76,,,,290.0,,,,290.0,290.0,0,0.0,0.0
H77,,,,195.0,,,,195.0,195.0,0,0.0,0.0
H78,,,,206.0,,,,206.0,206.0,0,0.0,0.0
H79,,,,306.0,,,,306.0,306.0,0,0.0,0.0
H80,,,,156.0,,,,156.0,156.0,0,0.0,0.0
H81,,,,249.0,,,,249.0,249.0,0,0.0,0.0
H82,,,,226.0,,,,226.0,226.0,0,0.0,0.0
H83,,,,210.0,,,,210.0,210.0,0,0.0,0.0
H84,,,,166.0,,,,166.0,166.0,0,0.0,0.0
H85,,,,272.0,,,,272.0,272.0,0,0.0,0.0
H86,,,,129.0,,,,129.0,129.0,0,0.0,0.0
H87,,,,341.0,,,,341.0,341.0,0,0.0,0.0
H88,,,,202.0,,,,202.0,202.0,0,0.0,0.0
H89,,,,94.0,,,,94.0,94.0,0,0.0,0.0
H90,,,,264.0,,,,264.0,264.0,0,0.0,0.0
H91,,,,310.0,,,,310.0,310.0,0,0.0,0.0
H92,,,,213.0,,,,213.0,213.0,0,0.0,0.0
H93,,,,186.0,,,,186.0,186.0,0,0.0,0.0
H94,,,,294.0,,,,294.0,294.0,0,0.0,0.0
H95,,,,228.0,,,,228.0,228.0,0,0.0,0.0
H96,,,,227.0,,,,227.0,227.0,0,0.0,0.0
H97,,,,179.0,,,,179.0,179.0,0,0.0,0.0
H98,,,,263.0,,,,263.0,263.0,0,0.0,0.0
H99,,,,171.0,,,,171.0,171.0,0,0.0,0.0
H100,,,,278.0,,,,278.0,278.0,0,0.0,0.0
big_short,,,,1475.0,,,,1475.0,1475.0,0,0.0,0.0
big_mid,,,,1409.0,,,,1409.0,1409.0,0,0.0,0.0
big_long,,,,1408.0,,,,1408.0,1408.0,0,0.0,0.0
dealer_short,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,26693.0,,,26693.0,0,26693.0,26693.0,0.0,0.0
