agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,6436.0,,-6436.0,0,6436.0,0.0,0.0
H1,,,,31.25,78,,,,149,-39.75,109.25,149,0.0,0.0
H2,,,,26.25,,,,,25,1.25,26.25,25,0.0,0.0
H3,,,,141.25,,,,,344,-202.75,141.25,344,0.0,0.0
H4,,,,302.25,,,,,606,-303.75,302.25,606,0.0,0.0
H5,,,,31.25,581,,,,238,374.25,612.25,238,0.0,0.0
H6,,,,31.25,213,,,,101,143.25,244.25,101,0.0,0.0
H7,,,,31.25,76,,,,134,-26.75,107.25,134,0.0,0.0
H8,,,,31.25,109,,,,262,-121.75,140.25,262,0.0,0.0
H9,,,,244.25,,,,,148,96.25,244.25,148,0.0,0.0
H10,,,,31.25,123,,,,70,84.25,154.25,70,0.0,0.0
H11,,,,69.25,,,,,55,14.25,69.25,55,0.0,0.0
H12,,,,31.25,30,,,,506,-444.75,61.25,506,0.0,0.0
H13,,,,31.25,481,,,,34,478.25,512.25,34,0.0,0.0
H14,,,,31.25,9,,,,28,12.25,40.25,28,0.0,0.0
H15,,,,31.25,3,,,,131,-96.75,34.25,131,0.0,0.0
H16,,,,31.25,106,,,,53,84.25,137.25,53,0.0,0.0
H17,,,,53.25,,,,,63,-9.75,53.25,63,0.0,0.0
H18,,,,31.25,38,,,,168,-98.75,69.25,168,0.0,0.0
H19,,,,160.25,,,,,234,-73.75,160.25,234,0.0,0.0
H20,,,,31.25,209,,,,130,110.25,240.25,130,0.0,0.0
H21,,,,31.25,105,,,,497,-360.75,136.25,497,0.0,0.0
H22,,,,31.25,472,,,,152,351.25,503.25,152,0.0,0.0
H23,,,,31.25,127,,,,84,74.25,158.25,84,0.0,0.0
H24,,,,31.25,59,,,,207,-116.75,90.25,207,0.0,0.0
H25,,,,31.25,182,,,,58,155.25,213.25,58,0.0,0.0
H26,,,,31.25,33,,,,127,-62.75,64.25,127,0.0,0.0
H27,,,,31.25,102,,,,169,-35.75,133.25,169,0.0,0.0
H28,,,,153.25,,,,,42,111.25,153.25,42,0.0,0.0
H29,,,,31.25,17,,,,105,-56.75,48.25,105,0.0,0.0
H30,,,,31.25,80,,,,288,-176.75,111.25,288,0.0,0.0
H31,,,,31.25,263,,,,148,146.25,294.25,148,0.0,0.0
H32,,,,31.25,123,,,,385,-230.75,154.25,385,0.0,0.0
H33,,,,31.25,360,,,,73,318.25,391.25,73,0.0,0.0
H34,,,,72.25,,,,,169,-96.75,72.25,169,0.0,0.0
H35,,,,31.25,144,,,,108,67.25,175.25,108,0.0,0.0
H36,,,,31.25,83,,,,32,82.25,114.25,32,0.0,0.0
H37,,,,31.25,7,,,,163,-124.75,38.25,163,0.0,0.0
H38,,,,148.25,,,,,120,28.25,148.25,120,0.0,0.0
H39,,,,31.25,95,,,,29,97.25,126.25,29,0.0,0.0
H40,,,,31.25,4,,,,46,-10.75,35.25,46,0.0,0.0
H41,,,,49.25,,,,,132,-82.75,49.25,132,0.0,0.0
H42,,,,31.25,107,,,,346,-207.75,138.25,346,0.0,0.0
H43,,,,31.25,321,,,,61,291.25,352.25,61,0.0,0.0
H44,,,,31.25,36,,,,82,-14.75,67.25,82,0.0,0.0
H45,,,,79.25,,,,,120,-40.75,79.25,120,0.0,0.0
H46,,,,31.25,95,,,,93,33.25,126.25,93,0.0,0.0
H47,,,,85.25,,,,,303,-217.75,85.25,303,0.0,0.0
H48,,,,31.25,278,,,,112,197.25,309.25,112,0.0,0.0
H49,,,,31.25,87,,,,151,-32.75,118.25,151,0.0,0.0
H50,,,,31.25,126,,,,57,100.25,157.25,57,0.0,0.0
H51,,,,31.25,32,,,,104,-40.75,63.25,104,0.0,0.0
H52,,,,31.25,79,,,,201,-90.75,110.25,201,0.0,0.0
H53,,,,31.25,176,,,,76,131.25,207.25,76,0.0,0.0
H54,,,,31.25,51,,,,171,-88.75,82.25,171,0.0,0.0
H55,,,,31.25,146,,,,154,23.25,177.25,154,0.0,0.0
H56,,,,31.25,129,,,,34,126.25,160.25,34,0.0,0.0
H57,,,,31.25,9,,,,153,-112.75,40.25,153,0.0,0.0
H58,,,,31.25,128,,,,184,-24.75,159.25,184,0.0,0.0
H59,,,,31.25,159,,,,62,128.25,190.25,62,0.0,0.0
H60,,,,31.25,37,,,,28,40.25,68.25,28,0.0,0.0
H61,,,,31.25,3,,,,44,-9.75,34.25,44,0.0,0.0
H62,,,,31.25,19,,,,34,16.25,50.25,34,0.0,0.0
H63,,,,31.25,9,,,,96,-55.75,40.25,96,0.0,0.0
H64,,,,91.25,,,,,154,-62.75,91.25,154,0.0,0.0
H65,,,,141.25,,,,,95,46.25,141.25,95,0.0,0.0
H66,,,,31.25,70,,,,26,75.25,101.25,26,0.0,0.0
H67,,,,31.25,1,,,,123,-90.75,32.25,123,0.0,0.0
H68,,,,31.25,98,,,,67,62.25,129.25,67,0.0,0.0
H69,,,,69.25,,,,,82,-12.75,69.25,82,0.0,0.0
H70,,,,31.25,57,,,,60,28.25,88.25,60,0.0,0.0
H71,,,,61.25,,,,,109,-47.75,61.25,109,0.0,0.0
H72,,,,31.25,84,,,,110,5.25,115.25,110,0.0,0.0
H73,,,,31.25,85,,,,27,89.25,116.25,27,0.0,0.0
