DS_t,agent,day
0,H38,1
0.036331569664902995,H27,1
0,big_mid,1
0.057495590828924165,H87,1
0,H98,1
0,H18,1
0.03668430335097002,H62,1
0,H63,1
0,H28,1
0.04585537918871252,H22,1
0,H48,1
0.05502645502645503,H52,1
0.04197530864197531,H7,1
0,H53,1
0,H3,1
0,H73,1
0.05925925925925926,H82,1
0.08218694885361552,H47,1
0,big_short,1
0,H8,1
0.04973544973544974,H42,1
0,H68,1
0.04938271604938271,H77,1
0,H33,1
0,H88,1
0,H78,1
0.07231040564373897,H57,1
0.02927689594356261,H72,1
0,H93,1
0,H13,1
0,H58,1
0.02962962962962963,H2,1
0.04620811287477954,H17,1
0,big_long,1
0.043033509700176366,H97,1
0.05008818342151675,H92,1
0,H43,1
0.04585537918871252,H12,1
0.07442680776014109,H67,1
0,H83,1
0.03492063492063492,H37,1
0.06031746031746032,H32,1
0,H23,1
0.05129064699966477,H38,3
0,big_mid,3
0.029835735836406304,H98,3
0.0646999664767013,H18,3
0,H49,3
0.06335903452899766,H63,3
0,H79,3
0,H14,3
0.04089842440496145,H28,3
0,H19,3
0.05866577271203487,H48,3
0,H9,3
0,H34,3
0.02212537713711029,H53,3
0.027153871940998994,H3,3
0,H44,3
0.05833053972510895,H73,3
0,H99,3
0,H64,3
0,H4,3
0,H74,3
0,H69,3
0,H54,3
0,H39,3
0,big_short,3
0.09285953737847805,H8,3
0.040563191418035535,H68,3
0,H24,3
0.0546429768689239,H33,3
0.05296681193429433,H88,3
0,H59,3
0.05397251089507207,H78,3
0.06034193764666443,H93,3
0.0569896077774053,H13,3
0.03486423064029501,H58,3
0,H29,3
0,H94,3
0,H84,3
0,big_long,3
0.054978209855849815,H43,3
0.040563191418035535,H83,3
0,H89,3
0.04089842440496145,H23,3
0,big_mid,5
0,H65,5
0,H55,5
0,H85,5
0,H5,5
0,H45,5
0.08235294117647059,H49,5
0.032114467408585055,H79,5
0.05627980922098569,H14,5
0,H95,5
0.034022257551669315,H19,5
0,H30,5
0,H40,5
0.0356120826709062,H9,5
0.02670906200317965,H34,5
0.07154213036565978,H44,5
0,H10,5
0,H70,5
0,H90,5
0.03688394276629571,H99,5
0,H50,5
0.06486486486486487,H64,5
0.02575516693163752,H4,5
0.04260731319554849,H74,5
0.035930047694753574,H69,5
0.043243243243243246,H54,5
0.08012718600953896,H39,5
0,big_short,5
0.0861685214626391,H24,5
0,H80,5
0.044833068362480126,H59,5
0,H15,5
0,H60,5
0.04992050874403815,H29,5
0.07790143084260731,H94,5
0,H25,5
0.04101748807631161,H84,5
0,big_long,5
0,H35,5
0,H75,5
0.032114467408585055,H89,5
0,H20,5
0,H100,5
0,H66,7
0,big_mid,7
0.034375,H65,7
0,H86,7
0.0384375,H55,7
0.0828125,H85,7
0,H16,7
0,H11,7
0.079375,H5,7
0.041875,H45,7
0,H1,7
0,H81,7
0,H31,7
0,H41,7
0,H36,7
0.05375,H30,7
0.02625,H40,7
0,H46,7
0.0446875,H10,7
0.0334375,H70,7
0,H6,7
0.0378125,H90,7
0,H56,7
0.035625,H50,7
0,H26,7
0,H71,7
0,H51,7
0,H61,7
0,H21,7
0,big_short,7
0.048125,H80,7
0.043125,H15,7
0.051875,H60,7
0.03875,H25,7
0,big_long,7
0.0559375,H35,7
0.044375,H75,7
0.04625,H20,7
0,H91,7
0,H96,7
0,H76,7
0.0996875,H95,7
0.0634375,H100,7
0.044915558749550846,H66,9
0,H27,9
0,big_mid,9
0.04671218109953288,H86,9
0,H87,9
0.048149478979518504,H16,9
0.054976643909450236,H11,9
0.05246137261947539,H1,9
0.07581746316924183,H81,9
0,H62,9
0.03988501616960115,H31,9
0.05102407473948976,H41,9
0.054617319439453825,H36,9
0,H22,9
0,H52,9
0,H7,9
0.054617319439453825,H46,9
0.03988501616960115,H6,9
0.039525691699604744,H56,9
0.024793388429752067,H26,9
0.05749191519942508,H71,9
0,H82,9
0.04311893639956881,H51,9
0.061085159899389146,H61,9
0.048149478979518504,H21,9
0,H47,9
0,big_short,9
0,H42,9
0,H77,9
0,H57,9
0,H72,9
0,H12,9
0,H2,9
0,H17,9
0,big_long,9
0,H97,9
0,H92,9
0.05138339920948617,H91,9
0.03557312252964427,H96,9
0,H67,9
0.07581746316924183,H76,9
0,H37,9
0,H32,9
