P_prefix,amount,day,payee,payer,step
59,59,1,H3,H2,1
153,94,1,H8,H7,2
258,105,1,H13,H12,3
364,106,1,H18,H17,4
469,105,1,H23,H22,5
547,78,1,H28,H27,6
693,146,1,H33,H32,7
767,74,1,H38,H37,8
883,116,1,H43,H42,9
1091,208,1,H48,H47,10
1222,131,1,H53,H52,11
1402,180,1,H58,H57,12
1481,79,1,H63,H62,13
1667,186,1,H68,H67,14
1725,58,1,H73,H72,15
1840,115,1,H78,H77,16
1983,143,1,H83,H82,17
2121,138,1,H88,H87,18
2238,117,1,H93,H92,19
2335,97,1,H98,H97,20
2360,25,1,big_mid,H2,21
2385,25,1,big_short,H7,22
2410,25,1,big_long,H12,23
2435,25,1,big_mid,H17,24
2460,25,1,big_short,H22,25
2485,25,1,big_long,H27,26
2510,25,1,big_mid,H32,27
2535,25,1,big_short,H37,28
2560,25,1,big_long,H42,29
2585,25,1,big_mid,H47,30
2610,25,1,big_short,H52,31
2635,25,1,big_long,H57,32
2660,25,1,big_mid,H62,33
2685,25,1,big_short,H67,34
2710,25,1,big_long,H72,35
2735,25,1,big_mid,H77,36
2760,25,1,big_short,H82,37
2785,25,1,big_long,H87,38
2810,25,1,big_mid,H92,39
2835,25,1,big_short,H97,40
56,56,3,H4,H3,1
308,252,3,H9,H8,2
453,145,3,H14,H13,3
621,168,3,H19,H18,4
718,97,3,H24,H23,5
815,97,3,H29,H28,6
953,138,3,H34,H33,7
1081,128,3,H39,H38,8
1220,139,3,H44,H43,9
1370,150,3,H49,H48,10
1411,41,3,H54,H53,11
1490,79,3,H59,H58,12
1654,164,3,H64,H63,13
1750,96,3,H69,H68,14
1899,149,3,H74,H73,15
2035,136,3,H79,H78,16
2131,96,3,H84,H83,17
2264,133,3,H89,H88,18
2419,155,3,H94,H93,19
2483,64,3,H99,H98,20
2508,25,3,big_long,H3,21
2533,25,3,big_mid,H8,22
2558,25,3,big_short,H13,23
2583,25,3,big_long,H18,24
2608,25,3,big_mid,H23,25
2633,25,3,big_short,H28,26
2658,25,3,big_long,H33,27
2683,25,3,big_mid,H38,28
2708,25,3,big_short,H43,29
2733,25,3,big_long,H48,30
2758,25,3,big_mid,H53,31
2783,25,3,big_short,H58,32
2808,25,3,big_long,H63,33
2833,25,3,big_mid,H68,34
2858,25,3,big_short,H73,35
2883,25,3,big_long,H78,36
2908,25,3,big_mid,H83,37
2933,25,3,big_short,H88,38
2958,25,3,big_long,H93,39
2983,25,3,big_mid,H98,40
56,56,5,H5,H4,1
143,87,5,H10,H9,2
295,152,5,H15,H14,3
377,82,5,H20,H19,4
623,246,5,H25,H24,5
755,132,5,H30,H29,6
814,59,5,H35,H34,7
1041,227,5,H40,H39,8
1241,200,5,H45,H44,9
1475,234,5,H50,H49,10
1586,111,5,H55,H54,11
1702,116,5,H60,H59,12
1881,179,5,H65,H64,13
1969,88,5,H70,H69,14
2078,109,5,H75,H74,15
2154,76,5,H80,H79,16
2258,104,5,H85,H84,17
2334,76,5,H90,H89,18
2554,220,5,H95,H94,19
2645,91,5,H100,H99,20
2670,25,5,big_short,H4,21
2695,25,5,big_long,H9,22
2720,25,5,big_mid,H14,23
2745,25,5,big_short,H19,24
2770,25,5,big_long,H24,25
2795,25,5,big_mid,H29,26
2820,25,5,big_short,H34,27
2845,25,5,big_long,H39,28
2870,25,5,big_mid,H44,29
2895,25,5,big_short,H49,30
2920,25,5,big_long,H54,31
2945,25,5,big_mid,H59,32
2970,25,5,big_short,H64,33
2995,25,5,big_long,H69,34
3020,25,5,big_mid,H74,35
3045,25,5,big_short,H79,36
3070,25,5,big_long,H84,37
3095,25,5,big_mid,H89,38
3120,25,5,big_short,H94,39
3145,25,5,big_long,H99,40
229,229,7,H6,H5,1
347,118,7,H11,H10,2
460,113,7,H16,H15,3
583,123,7,H21,H20,4
682,99,7,H26,H25,5
829,147,7,H31,H30,6
983,154,7,H36,H35,7
1042,59,7,H41,H40,8
1151,109,7,H46,H45,9
1240,89,7,H51,H50,10
1338,98,7,H56,H55,11
1479,141,7,H61,H60,12
1564,85,7,H66,H65,13
1646,82,7,H71,H70,14
1763,117,7,H76,H75,15
1892,129,7,H81,H80,16
2132,240,7,H86,H85,17
2228,96,7,H91,H90,18
2522,294,7,H96,H95,19
2700,178,7,H1,H100,20
2725,25,7,big_mid,H5,21
2750,25,7,big_short,H10,22
2775,25,7,big_long,H15,23
