agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,6999.0,,-6999.0,0,6999.0,0.0,0.0
H1,,,,31.25,90,,,,87,34.25,121.25,87,0.0,0.0
H2,,,,84.25,,,,,177,-92.75,84.25,177,0.0,0.0
H3,,,,31.25,152,,,,143,40.25,183.25,143,0.0,0.0
H4,,,,31.25,118,,,,258,-108.75,149.25,258,0.0,0.0
H5,,,,31.25,233,,,,91,173.25,264.25,91,0.0,0.0
H6,,,,31.25,66,,,,85,12.25,97.25,85,0.0,0.0
H7,,,,31.25,60,,,,224,-132.75,91.25,224,0.0,0.0
H8,,,,31.25,199,,,,67,163.25,230.25,67,0.0,0.0
H9,,,,31.25,42,,,,294,-220.75,73.25,294,0.0,0.0
H10,,,,246.25,,,,,218,28.25,246.25,218,0.0,0.0
H11,,,,31.25,193,,,,147,77.25,224.25,147,0.0,0.0
H12,,,,31.25,122,,,,108,45.25,153.25,108,0.0,0.0
H13,,,,31.25,83,,,,71,43.25,114.25,71,0.0,0.0
H14,,,,70.25,,,,,113,-42.75,70.25,113,0.0,0.0
H15,,,,106.25,,,,,138,-31.75,106.25,138,0.0,0.0
H16,,,,133.25,,,,,96,37.25,133.25,96,0.0,0.0
H17,,,,31.25,71,,,,205,-102.75,102.25,205,0.0,0.0
H18,,,,31.25,180,,,,238,-26.75,211.25,238,0.0,0.0
H19,,,,31.25,213,,,,88,156.25,244.25,88,0.0,0.0
H20,,,,31.25,63,,,,127,-32.75,94.25,127,0.0,0.0
H21,,,,31.25,102,,,,256,-122.75,133.25,256,0.0,0.0
H22,,,,31.25,231,,,,131,131.25,262.25,131,0.0,0.0
H23,,,,31.25,106,,,,128,9.25,137.25,128,0.0,0.0
H24,,,,119.25,,,,,72,47.25,119.25,72,0.0,0.0
H25,,,,31.25,47,,,,121,-42.75,78.25,121,0.0,0.0
H26,,,,31.25,96,,,,229,-101.75,127.25,229,0.0,0.0
H27,,,,31.25,204,,,,203,32.25,235.25,203,0.0,0.0
H28,,,,31.25,178,,,,93,116.25,209.25,93,0.0,0.0
H29,,,,31.25,68,,,,197,-97.75,99.25,197,0.0,0.0
H30,,,,31.25,172,,,,179,24.25,203.25,179,0.0,0.0
H31,,,,31.25,154,,,,90,95.25,185.25,90,0.0,0.0
H32,,,,31.25,65,,,,101,-4.75,96.25,101,0.0,0.0
H33,,,,31.25,76,,,,81,26.25,107.25,81,0.0,0.0
H34,,,,79.25,,,,,245,-165.75,79.25,245,0.0,0.0
H35,,,,218.25,,,,,217,1.25,218.25,217,0.0,0.0
H36,,,,31.25,192,,,,155,68.25,223.25,155,0.0,0.0
H37,,,,31.25,130,,,,189,-27.75,161.25,189,0.0,0.0
H38,,,,31.25,164,,,,137,58.25,195.25,137,0.0,0.0
H39,,,,31.25,112,,,,113,30.25,143.25,113,0.0,0.0
H40,,,,31.25,88,,,,139,-19.75,119.25,139,0.0,0.0
H41,,,,31.25,114,,,,164,-18.75,145.25,164,0.0,0.0
H42,,,,149.25,,,,,153,-3.75,149.25,153,0.0,0.0
H43,,,,146.25,,,,,79,67.25,146.25,79,0.0,0.0
H44,,,,31.25,54,,,,177,-91.75,85.25,177,0.0,0.0
H45,,,,31.25,152,,,,156,27.25,183.25,156,0.0,0.0
H46,,,,31.25,131,,,,161,1.25,162.25,161,0.0,0.0
H47,,,,31.25,136,,,,130,37.25,167.25,130,0.0,0.0
H48,,,,31.25,105,,,,182,-45.75,136.25,182,0.0,0.0
H49,,,,164.25,,,,,147,17.25,164.25,147,0.0,0.0
H50,,,,31.25,122,,,,117,36.25,153.25,117,0.0,0.0
H51,,,,114.25,,,,,129,-14.75,114.25,129,0.0,0.0
H52,,,,31.25,104,,,,68,67.25,135.25,68,0.0,0.0
H53,,,,31.25,43,,,,124,-49.75,74.25,124,0.0,0.0
H54,,,,115.25,,,,,212,-96.75,115.25,212,0.0,0.0
H55,,,,31.25,187,,,,181,37.25,218.25,181,0.0,0.0
H56,,,,171.25,,,,,225,-53.75,171.25,225,0.0,0.0
H57,,,,31.25,200,,,,122,109.25,231.25,122,0.0,0.0
H58,,,,31.25,97,,,,185,-56.75,128.25,185,0.0,0.0
H59,,,,31.25,160,,,,210,-18.75,191.25,210,0.0,0.0
H60,,,,31.25,185,,,,118,98.25,216.25,118,0.0,0.0
H61,,,,31.25,93,,,,265,-140.75,124.25,265,0.0,0.0
H62,,,,31.25,240,,,,143,128.25,271.25,143,0.0,0.0
H63,,,,31.25,118,,,,202,-52.75,149.25,202,0.0,0.0
H64,,,,31.25,177,,,,78,130.25,208.25,78,0.0,0.0
H65,,,,31.25,53,,,,205,-120.75,84.25,205,0.0,0.0
H66,,,,193.25,,,,,146,47.25,193.25,146,0.0,0.0
H67,,,,31.25,121,,,,186,-33.75,152.25,186,0.0,0.0
H68,,,,31.25,161,,,,122,70.25,192.25,122,0.0,0.0
H69,,,,31.25,97,,,,84,44.25,128.25,84,0.0,0.0
H70,,,,31.25,59,,,,200,-109.75,90.25,200,0.0,0.0
H71,,,,189.25,,,,,291,-101.75,189.25,291,0.0,0.0
H72,,,,31.25,266,,,,199,98.25,297.25,199,0.0,0.0
H73,,,,31.25,174,,,,186,19.25,205.25,186,0.0,0.0
H74,,,,168.25,,,,,163,5.25,168.25,163,0.0,0.0
H75,,,,31.25,138,,,,65,104.25,169.25,65,0.0,0.0
H76,,,,31.25,40,,,,186,-114.75,71.25,186,0.0,0.0
H77,,,,31.25,161,,,,62,130.25,192.25,62,0.0,0.0
H78,,,,31.25,37,,,,169,-100.75,68.25,169,0.0,0.0
H79,,,,153.25,,,,,121,32.25,153.25,121,0.0,0.0
H80,,,,31.25,96,,,,97,30.25,127.25,97,0.0,0.0
H81,,,,31.25,72,,,,55,48.25,103.25,55,0.0,0.0
H82,,,,31.25,30,,,,171,-109.75,61.25,171,0.0,0.0
H83,,,,31.25,146,,,,143,34.25,177.25,143,0.0,0.0
H84,,,,31.25,118,,,,192,-42.75,149.25,192,0.0,0.0
H85,,,,31.25,167,,,,159,39.25,198.25,159,0.0,0.0
H86,,,,31.25,134,,,,91,74.25,165.25,91,0.0,0.0
H87,,,,31.25,66,,,,211,-113.75,97.25,211,0.0,0.0
H88,,,,31.25,186,,,,127,90.25,217.25,127,0.0,0.0
H89,,,,31.25,102,,,,142,-8.75,133.25,142,0.0,0.0
H90,,,,130.25,,,,,93,37.25,130.25,93,0.0,0.0
H91,,,,31.25,68,,,,150,-50.75,99.25,150,0.0,0.0
H92,,,,137.25,,,,,160,-22.75,137.25,160,0.0,0.0
H93,,,,31.25,135,,,,73,93.25,166.25,73,0.0,0.0
