agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8312.0,,-8312.0,0,8312.0,0.0,0.0
H1,,,,736.25,,,,,69,667.25,736.25,69,0.0,0.0
H2,,,,31.25,44,,,,541,-465.75,75.25,541,0.0,0.0
H3,,,,31.25,516,,,,47,500.25,547.25,47,0.0,0.0
H4,,,,31.25,22,,,,92,-38.75,53.25,92,0.0,0.0
H5,,,,31.25,67,,,,42,56.25,98.25,42,0.0,0.0
H6,,,,31.25,17,,,,71,-22.75,48.25,71,0.0,0.0
H7,,,,31.25,46,,,,25,52.25,77.25,25,0.0,0.0
H8,,,,31.25,0,,,,154,-122.75,31.25,154,0.0,0.0
H9,,,,31.25,129,,,,120,40.25,160.25,120,0.0,0.0
H10,,,,112.25,,,,,718,-605.75,112.25,718,0.0,0.0
H11,,,,620.25,,,,,83,537.25,620.25,83,0.0,0.0
H12,,,,31.25,58,,,,105,-15.75,89.25,105,0.0,0.0
H13,,,,31.25,80,,,,41,70.25,111.25,41,0.0,0.0
H14,,,,31.25,16,,,,178,-130.75,47.25,178,0.0,0.0
H15,,,,31.25,153,,,,465,-280.75,184.25,465,0.0,0.0
H16,,,,31.25,440,,,,82,389.25,471.25,82,0.0,0.0
H17,,,,77.25,,,,,483,-405.75,77.25,483,0.0,0.0
H18,,,,31.25,458,,,,43,446.25,489.25,43,0.0,0.0
H19,,,,47.25,,,,,336,-288.75,47.25,336,0.0,0.0
H20,,,,295.25,,,,,64,231.25,295.25,64,0.0,0.0
H21,,,,31.25,39,,,,89,-18.75,70.25,89,0.0,0.0
H22,,,,31.25,64,,,,50,45.25,95.25,50,0.0,0.0
H23,,,,31.25,25,,,,27,29.25,56.25,27,0.0,0.0
H24,,,,31.25,2,,,,379,-345.75,33.25,379,0.0,0.0
H25,,,,31.25,354,,,,49,336.25,385.25,49,0.0,0.0
H26,,,,31.25,24,,,,51,4.25,55.25,51,0.0,0.0
H27,,,,31.25,26,,,,45,12.25,57.25,45,0.0,0.0
H28,,,,31.25,20,,,,98,-46.75,51.25,98,0.0,0.0
H29,,,,31.25,73,,,,921,-816.75,104.25,921,0.0,0.0
H30,,,,793.25,,,,,64,729.25,793.25,64,0.0,0.0
H31,,,,31.25,39,,,,40,30.25,70.25,40,0.0,0.0
H32,,,,31.25,15,,,,57,-10.75,46.25,57,0.0,0.0
H33,,,,60.25,,,,,51,9.25,60.25,51,0.0,0.0
H34,,,,31.25,26,,,,25,32.25,57.25,25,0.0,0.0
H35,,,,31.25,0,,,,206,-174.75,31.25,206,0.0,0.0
H36,,,,185.25,,,,,68,117.25,185.25,68,0.0,0.0
H37,,,,65.25,,,,,130,-64.75,65.25,130,0.0,0.0
H38,,,,31.25,105,,,,26,110.25,136.25,26,0.0,0.0
H39,,,,31.25,1,,,,44,-11.75,32.25,44,0.0,0.0
H40,,,,31.25,19,,,,27,23.25,50.25,27,0.0,0.0
H41,,,,31.25,2,,,,621,-587.75,33.25,621,0.0,0.0
H42,,,,31.25,596,,,,37,590.25,627.25,37,0.0,0.0
H43,,,,31.25,12,,,,576,-532.75,43.25,576,0.0,0.0
H44,,,,31.25,551,,,,27,555.25,582.25,27,0.0,0.0
H45,,,,31.25,2,,,,25,8.25,33.25,25,0.0,0.0
H46,,,,31.25,,,,,125,-93.75,31.25,125,0.0,0.0
H47,,,,111.25,,,,,39,72.25,111.25,39,0.0,0.0
H48,,,,31.25,14,,,,26,19.25,45.25,26,0.0,0.0
H49,,,,31.25,1,,,,186,-153.75,32.25,186,0.0,0.0
H50,,,,31.25,161,,,,31,161.25,192.25,31,0.0,0.0
H51,,,,31.25,6,,,,32,5.25,37.25,32,0.0,0.0
H52,,,,31.25,7,,,,227,-188.75,38.25,227,0.0,0.0
H53,,,,31.25,202,,,,47,186.25,233.25,47,0.0,0.0
H54,,,,31.25,22,,,,87,-33.75,53.25,87,0.0,0.0
H55,,,,31.25,62,,,,82,11.25,93.25,82,0.0,0.0
H56,,,,79.25,,,,,108,-28.75,79.25,108,0.0,0.0
H57,,,,31.25,83,,,,30,84.25,114.25,30,0.0,0.0
H58,,,,35.25,,,,,50,-14.75,35.25,50,0.0,0.0
H59,,,,31.25,25,,,,87,-30.75,56.25,87,0.0,0.0
H60,,,,84.25,,,,,83,1.25,84.25,83,0.0,0.0
H61,,,,31.25,58,,,,28,61.25,89.25,28,0.0,0.0
H62,,,,31.25,3,,,,33,1.25,34.25,33,0.0,0.0
H63,,,,31.25,8,,,,100,-60.75,39.25,100,0.0,0.0
H64,,,,31.25,75,,,,187,-80.75,106.25,187,0.0,0.0
H65,,,,169.25,,,,,60,109.25,169.25,60,0.0,0.0
H66,,,,31.25,35,,,,67,-0.75,66.25,67,0.0,0.0
H67,,,,31.25,42,,,,33,40.25,73.25,33,0.0,0.0
H68,,,,38.25,,,,,34,4.25,38.25,34,0.0,0.0
H69,,,,31.25,9,,,,33,7.25,40.25,33,0.0,0.0
H70,,,,31.25,8,,,,25,14.25,39.25,25,0.0,0.0
H71,,,,31.25,0,,,,33,-1.75,31.25,33,0.0,0.0
