DS_t,agent,day
0,big_mid,1
0,big_short,1
0.03156233561283535,H42,1
0.15412940557601262,H62,1
0,H33,1
0,H63,1
0,H93,1
0.09416096791162545,H72,1
0.03734876380852183,H22,1
0,H13,1
0.014203051025775907,H52,1
0.04944765912677538,H2,1
0,big_long,1
0,H53,1
0,H3,1
0.25302472382956337,H92,1
0,H43,1
0.039978958442924775,H12,1
0,H83,1
0,H73,1
0.12361914781693846,H32,1
0,H23,1
0.20252498684902684,H82,1
0.08981481481481482,H71,2
0,big_mid,2
0.2162037037037037,H51,2
0.02546296296296296,H61,2
0.09166666666666666,H21,2
0.02962962962962963,H11,2
0,big_short,2
0.049074074074074076,H1,2
0,H42,2
0.10324074074074074,H81,2
0,H62,2
0.08148148148148149,H31,2
0,H72,2
0.031018518518518518,H41,2
0,H22,2
0,H52,2
0,H2,2
0,big_long,2
0,H92,2
0.2824074074074074,H91,2
0,H12,2
0,H32,2
0,H82,2
0.04062976130015236,H50,3
0,H71,3
0,big_mid,3
0,H51,3
0,H61,3
0,H21,3
0,H11,3
0,big_short,3
0,H1,3
0.041137633316404264,H80,3
0,H81,3
0.013204672422549517,H60,3
0,H31,3
0,H41,3
0.20010157440325038,H30,3
0.0452006094464195,H40,3
0,big_long,3
0.15083798882681565,H10,3
0.09192483494159472,H70,3
0,H91,3
0.06449974606399188,H90,3
0.31894362620619604,H20,3
0.0335195530726257,H100,3
0,H50,4
0,big_mid,4
0.018396846254927726,H69,4
0.02102496714848883,H39,4
0,big_short,4
0.11366622864651774,H49,4
0,H80,4
0.1721419185282523,H59,4
0.07095926412614981,H79,4
0,H60,4
0.2614980289093298,H19,4
0.07752956636005257,H29,4
0,H30,4
0,H40,4
0.08672798948751642,H9,4
0,big_long,4
0,H10,4
0,H70,4
0.07555847568988174,H89,4
0,H90,4
0,H20,4
0.10249671484888305,H99,4
0,H100,4
0.03677221654749745,H38,5
0,big_mid,5
0.059244126659857,H98,5
0,H69,5
0.12665985699693566,H18,5
0,H39,5
0.1940755873340143,H8,5
0,big_short,5
0.05107252298263534,H68,5
0,H49,5
0.16036772216547499,H88,5
0,H59,5
0,H79,5
0.10010214504596528,H78,5
0.09499489274770173,H28,5
0.12768130745658834,H58,5
0,H19,5
0.049029622063329927,H48,5
0,H29,5
0,H9,5
0,big_long,5
0,H89,5
0,H99,5
0,H38,6
0.05347091932457786,H27,6
0,big_mid,6
0.054409005628517824,H87,6
0,H98,6
0.04596622889305816,H47,6
0,H18,6
0,big_short,6
0,H8,6
0,H68,6
0.19324577861163228,H77,6
0,H88,6
0,H78,6
0.0525328330206379,H57,6
0,H28,6
0,H58,6
0,H48,6
0.06097560975609756,H17,6
0,big_long,6
0.08724202626641651,H7,6
0.20825515947467166,H97,6
0.16041275797373358,H37,6
0.08348968105065666,H67,6
0.18382352941176472,H26,7
0.2965686274509804,H66,7
0,H27,7
0,big_mid,7
0.06862745098039216,H86,7
0,H87,7
0.08823529411764706,H16,7
0,H47,7
0,big_short,7
0,H77,7
0,H57,7
0.10294117647058823,H36,7
0,H17,7
0,big_long,7
0,H7,7
0,H97,7
0.03022875816993464,H46,7
0.03594771241830065,H6,7
0.027777777777777776,H96,7
0,H67,7
0.10049019607843138,H76,7
0,H37,7
0.06535947712418301,H56,7
0,H26,8
0,H66,8
0,big_mid,8
0.21693811074918568,H65,8
0,H86,8
0.15765472312703582,H55,8
0.14136807817589578,H85,8
0,H16,8
0,big_short,8
0.1511400651465798,H5,8
0.03517915309446254,H45,8
0.02214983713355049,H15,8
0,H36,8
0.035830618892508145,H25,8
0,big_long,8
0.16872964169381108,H35,8
0.04169381107491857,H75,8
0,H46,8
0,H6,8
0,H96,8
0,H76,8
0.029315960912052116,H95,8
0,H56,8
0.024759284731774415,H64,9
0,big_mid,9
0.055020632737276476,H4,9
0.0515818431911967,H74,9
0,H65,9
0,H55,9
0,H85,9
0.028198074277854195,H54,9
0,big_short,9
0,H5,9
0,H45,9
0.19807427785419532,H24,9
0,H15,9
0.028198074277854195,H14,9
0.0749656121045392,H94,9
0,H25,9
0.2716643741403026,H84,9
0,big_long,9
0,H35,9
0.05089408528198074,H34,9
0,H75,9
0.21664374140302614,H44,9
0,H95,9
0,H64,10
0,big_mid,10
0,H4,10
0,H74,10
0,H54,10
0,big_short,10
0,H24,10
0.0647985989492119,H33,10
0.07618213660245184,H63,10
0,H14,10
0.1436077057793345,H93,10
0.05779334500875657,H13,10
0,H94,10
0,H84,10
0,big_long,10
0,H34,10
0.0989492119089317,H53,10
0.10332749562171628,H3,10
0,H44,10
0.19176882661996497,H43,10
0.053415061295971976,H83,10
0.14010507880910683,H73,10
0.07005253940455342,H23,10
