agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15936.0,,-15936.0,0,15936.0,0.0,0.0
H1,,,,125.0,0,,,,64,61.0,125.0,64,0.0,0.0
H2,,,,124.0,39,,,,25,138.0,163.0,25,0.0,0.0
H3,,,,126.0,,,,,25,101.0,126.0,25,0.0,0.0
H4,,,,125.0,0,,,,787,-662.0,125.0,787,0.0,0.0
H5,,,,125.0,762,,,,25,862.0,887.0,25,0.0,0.0
H6,,,,125.0,0,,,,37,88.0,125.0,37,0.0,0.0
H7,,,,110.0,12,,,,25,97.0,122.0,25,0.0,0.0
H8,,,,140.0,,,,,134,6.0,140.0,134,0.0,0.0
H9,,,,125.0,109,,,,42,192.0,234.0,42,0.0,0.0
H10,,,,125.0,17,,,,25,117.0,142.0,25,0.0,0.0
H11,,,,125.0,,,,,131,-6.0,125.0,131,0.0,0.0
H12,,,,,106,,,,25,81,106,25,0.0,0.0
H13,,,,250.0,,,,,25,225.0,250.0,25,0.0,0.0
H14,,,,125.0,,,,,267,-142.0,125.0,267,0.0,0.0
H15,,,,125.0,242,,,,63,304.0,367.0,63,0.0,0.0
H16,,,,125.0,38,,,,26,137.0,163.0,26,0.0,0.0
H17,,,,125.0,1,,,,25,101.0,126.0,25,0.0,0.0
H18,,,,125.0,,,,,25,100.0,125.0,25,0.0,0.0
H19,,,,125.0,,,,,497,-372.0,125.0,497,0.0,0.0
H20,,,,503.0,,,,,256,247.0,503.0,256,0.0,0.0
H21,,,,125.0,231,,,,25,331.0,356.0,25,0.0,0.0
H22,,,,82.0,0,,,,25,57.0,82.0,25,0.0,0.0
H23,,,,168.0,,,,,25,143.0,168.0,25,0.0,0.0
H24,,,,125.0,0,,,,85,40.0,125.0,85,0.0,0.0
H25,,,,125.0,60,,,,121,64.0,185.0,121,0.0,0.0
H26,,,,125.0,96,,,,25,196.0,221.0,25,0.0,0.0
H27,,,,125.0,0,,,,25,100.0,125.0,25,0.0,0.0
H28,,,,125.0,,,,,25,100.0,125.0,25,0.0,0.0
H29,,,,125.0,,,,,138,-13.0,125.0,138,0.0,0.0
H30,,,,221.0,,,,,548,-327.0,221.0,548,0.0,0.0
H31,,,,125.0,523,,,,125,523.0,648.0,125,0.0,0.0
H32,,,,210.0,,,,,588,-378.0,210.0,588,0.0,0.0
H33,,,,125.0,563,,,,34,654.0,688.0,34,0.0,0.0
H34,,,,125.0,9,,,,101,33.0,134.0,101,0.0,0.0
H35,,,,125.0,76,,,,42,159.0,201.0,42,0.0,0.0
H36,,,,125.0,17,,,,26,116.0,142.0,26,0.0,0.0
H37,,,,125.0,1,,,,27,99.0,126.0,27,0.0,0.0
H38,,,,125.0,2,,,,115,12.0,127.0,115,0.0,0.0
H39,,,,201.0,,,,,372,-171.0,201.0,372,0.0,0.0
H40,,,,125.0,347,,,,110,362.0,472.0,110,0.0,0.0
H41,,,,125.0,85,,,,25,185.0,210.0,25,0.0,0.0
H42,,,,125.0,0,,,,25,100.0,125.0,25,0.0,0.0
H43,,,,125.0,0,,,,32,93.0,125.0,32,0.0,0.0
H44,,,,125.0,7,,,,25,107.0,132.0,25,0.0,0.0
H45,,,,125.0,,,,,367,-242.0,125.0,367,0.0,0.0
H46,,,,125.0,342,,,,25,442.0,467.0,25,0.0,0.0
H47,,,,125.0,0,,,,266,-141.0,125.0,266,0.0,0.0
H48,,,,125.0,241,,,,284,82.0,366.0,284,0.0,0.0
H49,,,,125.0,259,,,,26,358.0,384.0,26,0.0,0.0
H50,,,,125.0,1,,,,65,61.0,126.0,65,0.0,0.0
H51,,,,125.0,40,,,,111,54.0,165.0,111,0.0,0.0
H52,,,,125.0,86,,,,25,186.0,211.0,25,0.0,0.0
H53,,,,125.0,0,,,,94,31.0,125.0,94,0.0,0.0
H54,,,,125.0,69,,,,35,159.0,194.0,35,0.0,0.0
H55,,,,125.0,10,,,,63,72.0,135.0,63,0.0,0.0
H56,,,,125.0,38,,,,26,137.0,163.0,26,0.0,0.0
H57,,,,125.0,1,,,,48,78.0,126.0,48,0.0,0.0
H58,,,,125.0,23,,,,41,107.0,148.0,41,0.0,0.0
