G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.13400158201840895,16466,1248,0,1248,0,1,1,0,13,10,,0,
0,0.11303342834503761,16466,1633,0,1633,0,2,1,0,13,10,,0,
0,0.16282056928113212,16466,1566,0,1566,0,3,1,0,13,10,,0,
0,0.1485760893897539,16466,1481,0,1481,0,4,1,0,13,10,,0,
0,0.1294905341490256,16466,1478,0,1478,0,5,1,0,12,10,,0,
0,0.11877162315137683,16466,1876,0,1876,0,6,1,0,13,10,,0,
0,0.14158518518518518,16466,900,0,900,0,7,1,0,13,10,,0,
0,0.1294335493645316,16466,1090,0,1090,0,8,1,0,13,10,,0,
0,0.14704226659349173,16466,1408,0,1408,0,9,1,0,13,10,,0,
0,0.13999934678947024,16466,2268,0,2268,0,10,1,0,13,10,,0,
