DS_t,agent,day
0,H38,1
0.02320027294438758,H27,1
0,big_mid,1
0.021153190037529853,H87,1
0,H98,1
0,H18,1
0.01330603889457523,H62,1
0,H63,1
0,H28,1
0.02456499488229273,H22,1
0,H48,1
0.06721255544182873,H52,1
0.06175366769020812,H7,1
0,H53,1
0,H3,1
0,H73,1
0.0709655407710679,H82,1
0.12862504264756056,H47,1
0,big_short,1
0,H8,1
0.017741385192766974,H42,1
0,H68,1
0.022517911975435005,H77,1
0,H33,1
0,H88,1
0,H78,1
0.008870692596383487,H57,1
0.033776867963152504,H72,1
0,H93,1
0,H13,1
0,H58,1
0.09007164790174002,H2,1
0.07881269191402251,H17,1
0,big_long,1
0.052541794609348345,H97,1
0.06618901398839987,H92,1
0,H43,1
0.016376663254861822,H12,1
0.032753326509723645,H67,1
0,H83,1
0.10951893551688843,H37,1
0.06004776526782668,H32,1
0,H23,1
0,H66,3
0,big_mid,3
0.015151515151515152,H65,3
0,H86,3
0.05161787365177196,H55,3
0.10939907550077041,H85,3
0,H16,3
0,H11,3
0.09501797637390857,H5,3
0.061633281972265024,H45,3
0,H1,3
0,H81,3
0,H31,3
0,H41,3
0,H36,3
0.03312788906009245,H30,3
0.012583461736004109,H40,3
0,H46,3
0.011042629686697484,H10,3
0.035182331792501284,H70,3
0,H6,3
0.049563430919363126,H90,3
0,H56,3
0.02234206471494607,H50,3
0,H26,3
0,H71,3
0,H51,3
0,H61,3
0,H21,3
0,big_short,3
0.025166923472008218,H80,3
0.06779661016949153,H15,3
0.10708782742681047,H60,3
0.11633281972265024,H25,3
0,big_long,3
0.03287108371854135,H35,3
0.08551617873651772,H75,3
0.01078582434514638,H20,3
0,H91,3
0,H96,3
0,H76,3
0.040061633281972264,H95,3
0.017719568567026195,H100,3
0.019806763285024155,H38,5
0,big_mid,5
0.017874396135265702,H98,5
0.1323671497584541,H18,5
0,H49,5
0.08647342995169083,H63,5
0,H79,5
0,H14,5
0.026570048309178744,H28,5
0,H19,5
0.0463768115942029,H48,5
0,H9,5
0,H34,5
0.06763285024154589,H53,5
0.035748792270531404,H3,5
0,H44,5
0.034782608695652174,H73,5
0,H99,5
0,H64,5
0,H4,5
0,H74,5
0,H69,5
0,H54,5
0,H39,5
0,big_short,5
0.042028985507246375,H8,5
0.026570048309178744,H68,5
0,H24,5
0.042028985507246375,H33,5
0.021256038647342997,H88,5
0,H59,5
0.029468599033816423,H78,5
0.02077294685990338,H93,5
0.1294685990338164,H13,5
0.02463768115942029,H58,5
0,H29,5
0,H94,5
0,H84,5
0,big_long,5
0.05652173913043478,H43,5
0.028019323671497585,H83,5
0,H89,5
0.11159420289855072,H23,5
0.1347644603458557,H66,7
0,H27,7
0,big_mid,7
0.037268932617769826,H86,7
0,H87,7
0.014311270125223614,H16,7
0.044722719141323794,H11,7
0.048598688133571856,H1,7
0.04830053667262969,H81,7
0,H62,7
0.009838998211091235,H31,7
0.12194394752534288,H41,7
0.052772808586762074,H36,7
0,H22,7
0,H52,7
0,H7,7
0.026833631484794274,H46,7
0.15295169946332737,H6,7
0.0727489564698867,H56,7
0.03309481216457961,H26,7
0.046511627906976744,H71,7
0,H82,7
0.027728085867620753,H51,7
0.04382826475849732,H61,7
0.011031604054859869,H21,7
0,H47,7
0,big_short,7
0,H42,7
0,H77,7
0,H57,7
0,H72,7
0,H12,7
0,H2,7
0,H17,7
0,big_long,7
0,H97,7
0,H92,7
0.01311866428145498,H91,7
0.03488372093023256,H96,7
0,H67,7
0.024746571258199165,H76,7
0,H37,7
0,H32,7
0,big_mid,9
0,H65,9
0,H55,9
0,H85,9
0,H5,9
0,H45,9
0.15179563124768605,H49,9
0.01036653091447612,H79,9
0.05775638652350981,H14,9
0,H95,9
0.01740096260644206,H19,9
0,H30,9
0,H40,9
0.10921880784894483,H9,9
0.01814142910033321,H34,9
0.06775268419104036,H44,9
0,H10,9
0,H70,9
0,H90,9
0.01629026286560533,H99,9
0,H50,9
0.019252128841169936,H64,9
0.13476490188818957,H4,9
0.03739355794150315,H74,9
0.018511662347278787,H69,9
0.03739355794150315,H54,9
0.04998148833765272,H39,9
0,big_short,9
0.014809329877823029,H24,9
0,H80,9
0.02702702702702703,H59,9
0,H15,9
0,H60,9
0.015179563124768604,H29,9
0.042947056645686786,H94,9
0,H25,9
0.04368752313957793,H84,9
0,big_long,9
0,H35,9
0,H75,9
0.11032950758978156,H89,9
0,H20,9
0,H100,9
