agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,27038.0,-27038.0,0,27038.0,0.0,0.0
H1,,,,347.0,,,,347.0,347.0,0,0.0,0.0
H2,,,,128.0,,,,128.0,128.0,0,0.0,0.0
H3,,,,53.0,,,,53.0,53.0,0,0.0,0.0
H4,,,,367.0,,,,367.0,367.0,0,0.0,0.0
H5,,,,195.0,,,,195.0,195.0,0,0.0,0.0
H6,,,,286.0,,,,286.0,286.0,0,0.0,0.0
H7,,,,244.0,,,,244.0,244.0,0,0.0,0.0
H8,,,,264.0,,,,264.0,264.0,0,0.0,0.0
H9,,,,178.0,,,,178.0,178.0,0,0.0,0.0
H10,,,,222.0,,,,222.0,222.0,0,0.0,0.0
H11,,,,256.0,,,,256.0,256.0,0,0.0,0.0
H12,,,,142.0,,,,142.0,142.0,0,0.0,0.0
H13,,,,251.0,,,,251.0,251.0,0,0.0,0.0
H14,,,,283.0,,,,283.0,283.0,0,0.0,0.0
H15,,,,221.0,,,,221.0,221.0,0,0.0,0.0
H16,,,,240.0,,,,240.0,240.0,0,0.0,0.0
H17,,,,207.0,,,,207.0,207.0,0,0.0,0.0
H18,,,,252.0,,,,252.0,252.0,0,0.0,0.0
H19,,,,192.0,,,,192.0,192.0,0,0.0,0.0
H20,,,,135.0,,,,135.0,135.0,0,0.0,0.0
H21,,,,230.0,,,,230.0,230.0,0,0.0,0.0
H22,,,,283.0,,,,283.0,283.0,0,0.0,0.0
H23,,,,116.0,,,,116.0,116.0,0,0.0,0.0
H24,,,,361.0,,,,361.0,361.0,0,0.0,0.0
H25,,,,126.0,,,,126.0,126.0,0,0.0,0.0
H26,,,,272.0,,,,272.0,272.0,0,0.0,0.0
H27,,,,275.0,,,,275.0,275.0,0,0.0,0.0
H28,,,,250.0,,,,250.0,250.0,0,0.0,0.0
H29,,,,140.0,,,,140.0,140.0,0,0.0,0.0
H30,,,,304.0,,,,304.0,304.0,0,0.0,0.0
H31,,,,177.0,,,,177.0,177.0,0,0.0,0.0
H32,,,,247.0,,,,247.0,247.0,0,0.0,0.0
H33,,,,49.0,,,,49.0,49.0,0,0.0,0.0
H34,,,,426.0,,,,426.0,426.0,0,0.0,0.0
H35,,,,160.0,,,,160.0,160.0,0,0.0,0.0
H36,,,,218.0,,,,218.0,218.0,0,0.0,0.0
H37,,,,267.0,,,,267.0,267.0,0,0.0,0.0
H38,,,,125.0,,,,125.0,125.0,0,0.0,0.0
H39,,,,344.0,,,,344.0,344.0,0,0.0,0.0
H40,,,,199.0,,,,199.0,199.0,0,0.0,0.0
H41,,,,255.0,,,,255.0,255.0,0,0.0,0.0
H42,,,,116.0,,,,116.0,116.0,0,0.0,0.0
H43,,,,325.0,,,,325.0,325.0,0,0.0,0.0
H44,,,,238.0,,,,238.0,238.0,0,0.0,0.0
H45,,,,159.0,,,,159.0,159.0,0,0.0,0.0
H46,,,,258.0,,,,258.0,258.0,0,0.0,0.0
H47,,,,272.0,,,,272.0,272.0,0,0.0,0.0
H48,,,,64.0,,,,64.0,64.0,0,0.0,0.0
H49,,,,329.0,,,,329.0,329.0,0,0.0,0.0
H50,,,,264.0,,,,264.0,264.0,0,0.0,0.0
H51,,,,217.0,,,,217.0,217.0,0,0.0,0.0
H52,,,,164.0,,,,164.0,164.0,0,0.0,0.0
H53,,,,242.0,,,,242.0,242.0,0,0.0,0.0
H54,,,,301.0,,,,301.0,301.0,0,0.0,0.0
H55,,,,24.0,,,,24.0,24.0,0,0.0,0.0
H56,,,,355.0,,,,355.0,355.0,0,0.0,0.0
H57,,,,254.0,,,,254.0,254.0,0,0.0,0.0
H58,,,,230.0,,,,230.0,230.0,0,0.0,0.0
H59,,,,245.0,,,,245.0,245.0,0,0.0,0.0
H60,,,,108.0,,,,108.0,108.0,0,0.0,0.0
H61,,,,310.0,,,,310.0,310.0,0,0.0,0.0
H62,,,,121.0,,,,121.0,121.0,0,0.0,0.0
H63,,,,278.0,,,,278.0,278.0,0,0.0,0.0
H64,,,,308.0,,,,308.0,308.0,0,0.0,0.0
H65,,,,198.0,,,,198.0,198.0,0,0.0,0.0
H66,,,,225.0,,,,225.0,225.0,0,0.0,0.0
H67,,,,198.0,,,,198.0,198.0,0,0.0,0.0
H68,,,,254.0,,,,254.0,254.0,0,0.0,0.0
H69,,,,244.0,,,,244.0,244.0,0,0.0,0.0
H70,,,,138.0,,,,138.0,138.0,0,0.0,0.0
H71,,,,247.0,,,,247.0,247.0,0,0.0,0.0
H72,,,,199.0,,,,199.0,199.0,0,0.0,0.0
H73,,,,308.0,,,,308.0,308.0,0,0.0,0.0
H74,,,,136.0,,,,136.0,136.0,0,0.0,0.0
H75,,,,231.0,,,,231.0,231.0,0,0.0,0.0
H76,,,,327.0,,,,327.0,327.0,0,0.0,0.0
H77,,,,104.0,,,,104.0,104.0,0,0.0,0.0
H78,,,,249.0,,,,249.0,249.0,0,0.0,0.0
H79,,,,158.0,,,,158.0,158.0,0,0.0,0.0
H80,,,,367.0,,,,367.0,367.0,0,0.0,0.0
H81,,,,152.0,,,,152.0,152.0,0,0.0,0.0
H82,,,,177.0,,,,177.0,177.0,0,0.0,0.0
H83,,,,245.0,,,,245.0,245.0,0,0.0,0.0
H84,,,,287.0,,,,287.0,287.0,0,0.0,0.0
H85,,,,205.0,,,,205.0,205.0,0,0.0,0.0
H86,,,,268.0,,,,268.0,268.0,0,0.0,0.0
H87,,,,183.0,,,,183.0,183.0,0,0.0,0.0
H88,,,,282.0,,,,282.0,282.0,0,0.0,0.0
H89,,,,234.0,,,,234.0,234.0,0,0.0,0.0
H90,,,,235.0,,,,235.0,235.0,0,0.0,0.0
H91,,,,85.0,,,,85.0,85.0,0,0.0,0.0
H92,,,,372.0,,,,372.0,372.0,0,0.0,0.0
H93,,,,51.0,,,,51.0,51.0,0,0.0,0.0
H94,,,,357.0,,,,357.0,357.0,0,0.0,0.0
H95,,,,165.0,,,,165.0,165.0,0,0.0,0.0
H96,,,,219.0,,,,219.0,219.0,0,0.0,0.0
H97,,,,248.0,,,,248.0,248.0,0,0.0,0.0
H98,,,,235.0,,,,235.0,235.0,0,0.0,0.0
H99,,,,206.0,,,,206.0,206.0,0,0.0,0.0
H100,,,,194.0,,,,194.0,194.0,0,0.0,0.0
big_short,,,,1475.0,,,,1475.0,1475.0,0,0.0,0.0
big_mid,,,,1435.0,,,,1435.0,1435.0,0,0.0,0.0
big_long,,,,1443.0,,,,1443.0,1443.0,0,0.0,0.0
dealer_short,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,233,,,,233,233,0,0.0,0.0
dealer_mid,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,27038.0,,,27038.0,0,27038.0,27038.0,0.0,0.0
SYSTEM,system,System Total,27038.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,27038.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
