G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.12141889812249923,27212,1140,1140,1140,0,1,0,1140,13,10,,1,1
0,0.2418834177222757,27212,818,112,818,0,2,0.863080684596577,112,10,10,,0.13691931540342298,1
0,0.18062585607199352,27212,3677,0,3677,0,3,1,0,10,10,,0,
0,0.2895182809953499,27212,2164,0,2164,0,4,1,0,9,10,,0,
0,0.17521410531625306,27212,919,0,919,0,5,1,0,10,10,,0,
0,0.1933521778732617,27212,601,0,601,0,6,1,0,9,10,,0,
0,0.22533986740824008,27212,1278,0,1278,0,7,1,0,11,10,,0,
0,0.4886995592525527,27212,2256,0,2256,0,8,1,0,10,10,,0,
0,0.4986567579700676,27212,1457,0,1457,0,9,1,0,8,10,,0,
0,0.1591810650887574,27212,650,0,650,0,10,1,0,9,10,,0,
