DS_t,agent,day
0,H27,1
0.004573170731707317,H18,1
0,H45,1
0,H1,1
0.023519163763066203,H62,1
0.0010888501742160278,H63,1
0,H79,1
0.006097560975609756,H41,1
0.0156794425087108,H19,1
0.010017421602787456,H48,1
0,H9,1
0.005226480836236934,H34,1
0.014808362369337979,H46,1
0,H82,1
0,H71,1
0.015026132404181184,H69,1
0.0032665505226480837,H39,1
0.0028310104529616726,H47,1
0,H8,1
0.00195993031358885,H80,1
0,H15,1
0.023083623693379792,H59,1
0,H60,1
0.033101045296167246,H57,1
0.041158536585365856,H93,1
0,H25,1
0.015026132404181184,H17,1
0.01328397212543554,H35,1
0,H43,1
0.008057491289198606,H96,1
0,H67,1
0.010017421602787456,H89,1
0.002613240418118467,H32,1
0.04442508710801394,H20,1
0,H38,1
0.011977351916376307,H66,1
0,H55,1
0,H85,1
0,H98,1
0,H16,1
0.013937282229965157,H5,1
0.015461672473867595,H28,1
0.022430313588850174,H30,1
0.023954703832752614,H7,1
0.0195993031358885,H53,1
0.02112369337979094,H50,1
0,H21,1
0,H29,1
0.04028745644599303,H2,1
0,H75,1
0,H83,1
0.014372822299651568,H37,1
0.0017421602787456446,H76,1
0.0021777003484320556,H23,1
0,H65,1
0,H86,1
0.04006968641114982,H87,1
0,H49,1
0,H31,1
0,H36,1
0.01720383275261324,H40,1
0,H52,1
0,H3,1
0.031141114982578398,H44,1
0,H6,1
0.02460801393728223,H70,1
0.02569686411149826,H73,1
0,H90,1
0.00979965156794425,H99,1
0.04202961672473868,H26,1
0.02700348432055749,H64,1
0.01524390243902439,H4,1
0,H51,1
0.003048780487804878,H74,1
0.006533101045296167,H54,1
0,big_short,1
0.018728222996515678,H42,1
0.03985191637630662,H78,1
0.03005226480836237,H13,1
0.016986062717770034,H72,1
0,H94,1
0.00021777003484320557,H97,1
0,H92,1
0.006097560975609756,H91,1
0,H12,1
0.02025261324041812,H95,1
0,big_mid,1
0.01676829268292683,H11,1
0.013501742160278746,H81,1
0.02003484320557491,H14,1
0.008710801393728223,H22,1
0.013501742160278746,H10,1
0.004355400696864111,H56,1
0.015897212543554008,H61,1
0,H68,1
0.012195121951219513,H24,1
0.01284843205574913,H33,1
0,H77,1
0,H88,1
0,H58,1
0.010235191637630661,H84,1
0,big_long,1
0.015461672473867595,H100,1
