DS_t,agent,day
0,H38,1
0.1459592567718827,H27,1
0,big_mid,1
0.07723304231027535,H87,1
0,H98,1
0,H18,1
0.039847772554286995,H62,1
0,H63,1
0,H28,1
0.18625475710767853,H22,1
0,H48,1
0.005596597268860533,H52,1
0.005596597268860533,H7,1
0,H53,1
0,H3,1
0,H73,1
0.005820461159614954,H82,1
0.20953660174613833,H47,1
0,big_short,1
0,H8,1
0.00850682784866801,H42,1
0,H68,1
0.06380120886501008,H77,1
0,H33,1
0,H88,1
0,H78,1
0.005596597268860533,H57,1
0.022834116856950974,H72,1
0,H93,1
0,H13,1
0,H58,1
0.005596597268860533,H2,1
0.11058876203268413,H17,1
0,big_long,1
0.04231027535258563,H97,1
0.010521602865457802,H92,1
0,H43,1
0.005596597268860533,H12,1
0.03581822252070741,H67,1
0,H83,1
0.005596597268860533,H37,1
0.007387508394895903,H32,1
0,H23,1
0.1384340577552843,H38,3
0,big_mid,3
0.007740398928252456,H98,3
0.007442691277165823,H18,3
0,H49,3
0.058648407264066685,H63,3
0,H79,3
0,H14,3
0.007442691277165823,H28,3
0,H19,3
0.07799940458469783,H48,3
0,H9,3
0,H34,3
0.008335814230425722,H53,3
0.13575468889550463,H3,3
0,H44,3
0.031854718666269724,H73,3
0,H99,3
0,H64,3
0,H4,3
0,H74,3
0,H69,3
0,H54,3
0,H39,3
0,big_short,3
0.011015183090205419,H8,3
0.007442691277165823,H68,3
0,H24,3
0.007442691277165823,H33,3
0.007740398928252456,H88,3
0,H59,3
0.007442691277165823,H78,3
0.007442691277165823,H93,3
0.007442691277165823,H13,3
0.0479309318249479,H58,3
0,H29,3
0,H94,3
0,H84,3
0,big_long,3
0.03870199464126228,H43,3
0.376302470973504,H83,3
0,H89,3
0.007442691277165823,H23,3
0,big_mid,5
0,H65,5
0,H55,5
0,H85,5
0,H5,5
0,H45,5
0.012115563839701771,H49,5
0.011183597390493943,H79,5
0.007766387076731904,H14,5
0,H95,5
0.025784405094749923,H19,5
0,H30,5
0,H40,5
0.007766387076731904,H9,5
0.09102205653929792,H34,5
0.2503883193538366,H44,5
0,H10,5
0,H70,5
0,H90,5
0.06803355079217148,H99,5
0,H50,5
0.007766387076731904,H64,5
0.024541783162472817,H4,5
0.007766387076731904,H74,5
0.033861447654551104,H69,5
0.06057781919850885,H54,5
0.007766387076731904,H39,5
0,big_short,5
0.013668841255048152,H24,5
0,H80,5
0.028890959925442685,H59,5
0,H15,5
0,H60,5
0.007766387076731904,H29,5
0.01460080770425598,H94,5
0,H25,5
0.00807704255980118,H84,5
0,big_long,5
0,H35,5
0,H75,5
0.31065548306927615,H89,5
0,H20,5
0,H100,5
0,H66,7
0,big_mid,7
0.04650070455612964,H65,7
0,H86,7
0.011742602160638797,H55,7
0.015030530765617662,H85,7
0,H16,7
0,H11,7
0.05683419445749178,H5,7
0.011742602160638797,H45,7
0,H1,7
0,H81,7
0,H31,7
0,H41,7
0,H36,7
0.02489431658055425,H30,7
0.011742602160638797,H40,7
0,H46,7
0.011742602160638797,H10,7
0.011742602160638797,H70,7
0,H6,7
0.015030530765617662,H90,7
0,H56,7
0.38421794269610143,H50,7
0,H26,7
0,H71,7
0,H51,7
0,H61,7
0,H21,7
0,big_short,7
0.016909347111319868,H80,7
0.015969938938468764,H15,7
0.22123062470643495,H60,7
0.011742602160638797,H25,7
0,big_long,7
0.011742602160638797,H35,7
0.07233442930953499,H75,7
0.011742602160638797,H20,7
0,H91,7
0,H96,7
0,H76,7
0.015969938938468764,H95,7
0.021136683889149837,H100,7
0.11086226203807391,H66,9
0,H27,9
0,big_mid,9
0.0167973124300112,H86,9
0,H87,9
0.013997760358342666,H16,9
0.24972004479283313,H11,9
0.1780515117581187,H1,9
0.0425531914893617,H81,9
0,H62,9
0.09966405375139978,H31,9
0.025755879059350503,H41,9
0.03303471444568869,H36,9
0,H22,9
0,H52,9
0,H7,9
0.048152295632698766,H46,9
0.04591265397536394,H6,9
0.013997760358342666,H56,9
0.013997760358342666,H26,9
0.013997760358342666,H71,9
0,H82,9
0.013997760358342666,H51,9
0.015117581187010079,H61,9
0.013997760358342666,H21,9
0,H47,9
0,big_short,9
0,H42,9
0,H77,9
0,H57,9
0,H72,9
0,H12,9
0,H2,9
0,H17,9
0,big_long,9
0,H97,9
0,H92,9
0.013997760358342666,H91,9
0.015117581187010079,H96,9
0,H67,9
0.02127659574468085,H76,9
0,H37,9
0,H32,9
