DS_t,agent,day
0,H38,1
0.11949685534591195,H27,1
0,big_mid,1
0.010159651669085631,H87,1
0,H98,1
0,H18,1
0.011127237542331882,H62,1
0,H63,1
0,H28,1
0.01717464925012095,H22,1
0,H48,1
0.04426705370101597,H52,1
0.0420899854862119,H7,1
0,H53,1
0,H3,1
0,H73,1
0.045960328979196906,H82,1
0.007982583454281567,H47,1
0,big_short,1
0,H8,1
0.006531204644412192,H42,1
0,H68,1
0.006531204644412192,H77,1
0,H33,1
0,H88,1
0,H78,1
0.007982583454281567,H57,1
0.006047411707789066,H72,1
0,H93,1
0,H13,1
0,H58,1
0.006047411707789066,H2,1
0.006531204644412192,H17,1
0,big_long,1
0.5616835994194485,H97,1
0.04644412191582003,H92,1
0,H43,1
0.006047411707789066,H12,1
0.006047411707789066,H67,1
0,H83,1
0.011369134010643444,H37,1
0.030478955007256895,H32,1
0,H23,1
0.006559958016268696,H38,3
0,big_mid,3
0.007609551298871687,H98,3
0.010758331146680662,H18,3
0,H49,3
0.014694305956441878,H63,3
0,H79,3
0,H14,3
0.006822356336919444,H28,3
0,H19,3
0.010233534505379166,H48,3
0,H9,3
0,H34,3
0.009708737864077669,H53,3
0.006559958016268696,H3,3
0,H44,3
0.006559958016268696,H73,3
0,H99,3
0,H64,3
0,H4,3
0,H74,3
0,H69,3
0,H54,3
0,H39,3
0,big_short,3
0.4153765415901338,H8,3
0.09787457360272894,H68,3
0,H24,3
0.35030175806874836,H33,3
0.007609551298871687,H88,3
0,H59,3
0.007347152978220939,H78,3
0.006559958016268696,H93,3
0.006559958016268696,H13,3
0.008134347940173182,H58,3
0,H29,3
0,H94,3
0,H84,3
0,big_long,3
0.007347152978220939,H43,3
0.006559958016268696,H83,3
0,H89,3
0.006822356336919444,H23,3
0,big_mid,5
0,H65,5
0,H55,5
0,H85,5
0,H5,5
0,H45,5
0.04734073641145529,H49,5
0.015780245470485097,H79,5
0.19988310929281122,H14,5
0,H95,5
0.06370543541788427,H19,5
0,H30,5
0,H40,5
0.015195791934541203,H9,5
0.014611338398597311,H34,5
0.22092343658679134,H44,5
0,H10,5
0,H70,5
0,H90,5
0.01636469900642899,H99,5
0,H50,5
0.05201636469900643,H64,5
0.014611338398597311,H4,5
0.014611338398597311,H74,5
0.054354178842782,H69,5
0.018702513150204558,H54,5
0.05786090005844535,H39,5
0,big_short,5
0.018702513150204558,H24,5
0,H80,5
0.014611338398597311,H59,5
0,H15,5
0,H60,5
0.06838106370543542,H29,5
0.014611338398597311,H94,5
0,H25,5
0.037405026300409115,H84,5
0,big_long,5
0,H35,5
0,H75,5
0.04032729398012858,H89,5
0,H20,5
0,H100,5
0,H66,7
0,big_mid,7
0.02922077922077922,H65,7
0,H86,7
0.02867965367965368,H55,7
0.015692640692640692,H85,7
0,H16,7
0,H11,7
0.01433982683982684,H5,7
0.27326839826839827,H45,7
0,H1,7
0,H81,7
0,H31,7
0,H41,7
0,H36,7
0.006764069264069264,H30,7
0.006764069264069264,H40,7
0,H46,7
0.006764069264069264,H10,7
0.23566017316017315,H70,7
0,H6,7
0.006764069264069264,H90,7
0,H56,7
0.2903138528138528,H50,7
0,H26,7
0,H71,7
0,H51,7
0,H61,7
0,H21,7
0,big_short,7
0.006764069264069264,H80,7
0.006764069264069264,H15,7
0.007305194805194805,H60,7
0.0091991341991342,H25,7
0,big_long,7
0.006764069264069264,H35,7
0.00946969696969697,H75,7
0.02353896103896104,H20,7
0,H91,7
0,H96,7
0,H76,7
0.006764069264069264,H95,7
0.0091991341991342,H100,7
0.015556938394523958,H66,9
0,H27,9
0,big_mid,9
0.04169259489732421,H86,9
0,H87,9
0.015556938394523958,H16,9
0.24268823895457373,H11,9
0.03484754200373367,H1,9
0.015556938394523958,H81,9
0,H62,9
0.015556938394523958,H31,9
0.031736154324828875,H41,9
0.019912881144990666,H36,9
0,H22,9
0,H52,9
0,H7,9
0.016179215930304917,H46,9
0.04729309271935283,H6,9
0.018668326073428748,H56,9
0.019290603609209707,H26,9
0.060983198506533914,H71,9
0,H82,9
0.020535158680771624,H51,9
0.015556938394523958,H61,9
0.23335407591785937,H21,9
0,H47,9
0,big_short,9
0,H42,9
0,H77,9
0,H57,9
0,H72,9
0,H12,9
0,H2,9
0,H17,9
0,big_long,9
0,H97,9
0,H92,9
0.015556938394523958,H91,9
0.015556938394523958,H96,9
0,H67,9
0.10392034847542003,H76,9
0,H37,9
0,H32,9
