agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,6276.0,,-6276.0,0,6276.0,0.0,0.0
H1,,,,31.25,119,,,,108,42.25,150.25,108,0.0,0.0
H2,,,,106.25,,,,,298,-191.75,106.25,298,0.0,0.0
H3,,,,31.25,273,,,,60,244.25,304.25,60,0.0,0.0
H4,,,,59.25,,,,,80,-20.75,59.25,80,0.0,0.0
H5,,,,31.25,55,,,,56,30.25,86.25,56,0.0,0.0
H6,,,,31.25,31,,,,46,16.25,62.25,46,0.0,0.0
H7,,,,31.25,21,,,,336,-283.75,52.25,336,0.0,0.0
H8,,,,31.25,311,,,,43,299.25,342.25,43,0.0,0.0
H9,,,,46.25,,,,,127,-80.75,46.25,127,0.0,0.0
H10,,,,31.25,102,,,,83,50.25,133.25,83,0.0,0.0
H11,,,,83.25,,,,,353,-269.75,83.25,353,0.0,0.0
H12,,,,31.25,328,,,,36,323.25,359.25,36,0.0,0.0
H13,,,,31.25,11,,,,43,-0.75,42.25,43,0.0,0.0
H14,,,,31.25,18,,,,96,-46.75,49.25,96,0.0,0.0
H15,,,,31.25,71,,,,29,73.25,102.25,29,0.0,0.0
H16,,,,31.25,4,,,,87,-51.75,35.25,87,0.0,0.0
H17,,,,84.25,,,,,201,-116.75,84.25,201,0.0,0.0
H18,,,,31.25,176,,,,25,182.25,207.25,25,0.0,0.0
H19,,,,31.25,0,,,,131,-99.75,31.25,131,0.0,0.0
H20,,,,31.25,106,,,,160,-22.75,137.25,160,0.0,0.0
H21,,,,31.25,135,,,,38,128.25,166.25,38,0.0,0.0
H22,,,,31.25,13,,,,218,-173.75,44.25,218,0.0,0.0
H23,,,,31.25,193,,,,31,193.25,224.25,31,0.0,0.0
H24,,,,31.25,6,,,,258,-220.75,37.25,258,0.0,0.0
H25,,,,31.25,233,,,,44,220.25,264.25,44,0.0,0.0
H26,,,,31.25,19,,,,300,-249.75,50.25,300,0.0,0.0
H27,,,,31.25,275,,,,315,-8.75,306.25,315,0.0,0.0
H28,,,,31.25,290,,,,61,260.25,321.25,61,0.0,0.0
H29,,,,31.25,36,,,,30,37.25,67.25,30,0.0,0.0
H30,,,,35.25,,,,,34,1.25,35.25,34,0.0,0.0
H31,,,,39.25,,,,,45,-5.75,39.25,45,0.0,0.0
H32,,,,31.25,20,,,,198,-146.75,51.25,198,0.0,0.0
H33,,,,31.25,173,,,,63,141.25,204.25,63,0.0,0.0
H34,,,,31.25,38,,,,41,28.25,69.25,41,0.0,0.0
H35,,,,45.25,,,,,242,-196.75,45.25,242,0.0,0.0
H36,,,,31.25,217,,,,145,103.25,248.25,145,0.0,0.0
H37,,,,133.25,,,,,38,95.25,133.25,38,0.0,0.0
H38,,,,31.25,13,,,,33,11.25,44.25,33,0.0,0.0
H39,,,,31.25,8,,,,59,-19.75,39.25,59,0.0,0.0
H40,,,,31.25,34,,,,230,-164.75,65.25,230,0.0,0.0
H41,,,,31.25,205,,,,306,-69.75,236.25,306,0.0,0.0
H42,,,,31.25,281,,,,171,141.25,312.25,171,0.0,0.0
H43,,,,31.25,146,,,,104,73.25,177.25,104,0.0,0.0
H44,,,,94.25,,,,,48,46.25,94.25,48,0.0,0.0
H45,,,,31.25,23,,,,75,-20.75,54.25,75,0.0,0.0
H46,,,,73.25,,,,,152,-78.75,73.25,152,0.0,0.0
H47,,,,139.25,,,,,286,-146.75,139.25,286,0.0,0.0
