DS_t,agent,day
0,big_mid,1
0,big_short,1
0.07293354943273905,H42,1
0.06212857914640735,H62,1
0,H33,1
0,H63,1
0,H93,1
0.10967044840626688,H72,1
0.10372771474878444,H22,1
0,H13,1
0.17774176121015667,H52,1
0.2366288492706645,H2,1
0,big_long,1
0,H53,1
0,H3,1
0.05672609400324149,H92,1
0,H43,1
0.07077255537547272,H12,1
0,H83,1
0,H73,1
0.04051863857374392,H32,1
0,H23,1
0.06915180983252296,H82,1
0,H26,2
0,H66,2
0,big_mid,2
0.02732746641963872,H65,2
0,H86,2
0.08754052802223251,H55,2
0.07735062528948587,H85,2
0,H16,2
0,big_short,2
0.1283001389532191,H5,2
0.020379805465493284,H45,2
0.0921723019916628,H15,2
0,H36,2
0.014821676702176934,H25,2
0,big_long,2
0.1838814265863826,H35,2
0.0889300602130616,H75,2
0,H46,2
0,H6,2
0,H96,2
0,H76,2
0.2792959703566466,H95,2
0,H56,2
0.06422018348623854,H38,3
0,big_mid,3
0.07454128440366972,H98,3
0,H69,3
0.18463302752293578,H18,3
0,H39,3
0.0963302752293578,H8,3
0,big_short,3
0.058486238532110095,H68,3
0,H49,3
0.07339449541284404,H88,3
0,H59,3
0,H79,3
0.033256880733944956,H78,3
0.24426605504587157,H28,3
0.04243119266055046,H58,3
0,H19,3
0.12844036697247707,H48,3
0,H29,3
0,H9,3
0,big_long,3
0,H89,3
0,H99,3
0.18631178707224336,H71,4
0,big_mid,4
0.1961977186311787,H51,4
0.08821292775665399,H61,4
0.045627376425855515,H21,4
0.132319391634981,H11,4
0,big_short,4
0.028897338403041824,H1,4
0,H42,4
0.06007604562737642,H81,4
0,H62,4
0.07376425855513308,H31,4
0,H72,4
0.044866920152091254,H41,4
0,H22,4
0,H52,4
0,H2,4
0,big_long,4
0,H92,4
0.14372623574144486,H91,4
0,H12,4
0,H32,4
0,H82,4
0.03542009884678748,H64,5
0,big_mid,5
0.17215815485996705,H4,5
0.0815485996705107,H74,5
0,H65,5
0,H55,5
0,H85,5
0.2116968698517298,H54,5
0,big_short,5
0,H5,5
0,H45,5
0.2257001647446458,H24,5
0,H15,5
0.07907742998352553,H14,5
0.0214168039538715,H94,5
0,H25,5
0.07907742998352553,H84,5
0,big_long,5
0,H35,5
0.032948929159802305,H34,5
0,H75,5
0.060955518945634266,H44,5
0,H95,5
0,H38,6
0.08504606661941885,H27,6
0,big_mid,6
0.2905740609496811,H87,6
0,H98,6
0.06945428773919206,H47,6
0,H18,6
0,big_short,6
0,H8,6
0,H68,6
0.11693834160170093,H77,6
0,H88,6
0,H78,6
0.04819277108433735,H57,6
0,H28,6
0,H58,6
0,H48,6
0.09142452161587526,H17,6
0,big_long,6
0.05244507441530829,H7,6
0.10559886605244508,H97,6
0.06094968107725018,H37,6
0.07937632884479093,H67,6
0.018841262364578427,H50,7
0,H71,7
0,big_mid,7
0,H51,7
0,H61,7
0,H21,7
0,H11,7
0,big_short,7
0,H1,7
0.025906735751295335,H80,7
0,H81,7
0.05040037682524729,H60,7
0,H31,7
0,H41,7
0.10504003768252473,H30,7
0.13094677343382008,H40,7
0,big_long,7
0.22939236928874235,H10,7
0.26189354686764016,H70,7
0,H91,7
0.08525671219971738,H90,7
0.01413094677343382,H20,7
0.07819123881300047,H100,7
0,H64,8
0,big_mid,8
0,H4,8
0,H74,8
0,H54,8
0,big_short,8
0,H24,8
0.17371502927781393,H33,8
0.08718282368249837,H63,8
0,H14,8
0.10930383864671438,H93,8
0.05985686402081978,H13,8
0,H94,8
0,H84,8
0,big_long,8
0,H34,8
0.04229017566688354,H53,8
0.03057905009759271,H3,8
0,H44,8
0.06766428106701367,H43,8
0.2823682498373455,H83,8
0.05530253741054001,H73,8
0.09173715029277814,H23,8
0.051607445008460234,H26,9
0.11590524534686972,H66,9
0,H27,9
0,big_mid,9
0.048223350253807105,H86,9
0,H87,9
0.08544839255499154,H16,9
0,H47,9
0,big_short,9
0,H77,9
0,H57,9
0.06429780033840947,H36,9
0,H17,9
0,big_long,9
0,H7,9
0,H97,9
0.1598984771573604,H46,9
0.1802030456852792,H6,9
0.11590524534686972,H96,9
0,H67,9
0.116751269035533,H76,9
0,H37,9
0.06175972927241963,H56,9
0,H50,10
0,big_mid,10
0.053654743390357695,H69,10
0.08631415241057543,H39,10
0,big_short,10
0.11741835147744946,H49,10
0,H80,10
0.07620528771384137,H59,10
0.15241057542768274,H79,10
0,H60,10
0.12597200622083982,H19,10
0.041990668740279936,H29,10
0,H30,10
0,H40,10
0.15552099533437014,H9,10
0,big_long,10
0,H10,10
0,H70,10
0.10186625194401244,H89,10
0,H90,10
0,H20,10
0.08864696734059098,H99,10
0,H100,10
