agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,6409.0,,-6409.0,0,6409.0,0.0,0.0
H1,,,,31.25,,,,,53,-21.75,31.25,53,0.0,0.0
H2,,,,31.25,28,,,,1369,-1309.75,59.25,1369,0.0,0.0
H3,,,,31.25,1344,,,,574,801.25,1375.25,574,0.0,0.0
H4,,,,31.25,549,,,,43,537.25,580.25,43,0.0,0.0
H5,,,,31.25,18,,,,59,-9.75,49.25,59,0.0,0.0
H6,,,,31.25,34,,,,45,20.25,65.25,45,0.0,0.0
H7,,,,31.25,20,,,,26,25.25,51.25,26,0.0,0.0
H8,,,,31.25,1,,,,26,6.25,32.25,26,0.0,0.0
H9,,,,31.25,1,,,,25,7.25,32.25,25,0.0,0.0
H10,,,,31.25,0,,,,173,-141.75,31.25,173,0.0,0.0
H11,,,,31.25,148,,,,144,35.25,179.25,144,0.0,0.0
H12,,,,31.25,119,,,,51,99.25,150.25,51,0.0,0.0
H13,,,,31.25,26,,,,25,32.25,57.25,25,0.0,0.0
H14,,,,31.25,0,,,,40,-8.75,31.25,40,0.0,0.0
H15,,,,31.25,15,,,,26,20.25,46.25,26,0.0,0.0
H16,,,,31.25,1,,,,39,-6.75,32.25,39,0.0,0.0
H17,,,,31.25,14,,,,27,18.25,45.25,27,0.0,0.0
H18,,,,31.25,2,,,,26,7.25,33.25,26,0.0,0.0
H19,,,,31.25,1,,,,29,3.25,32.25,29,0.0,0.0
H20,,,,31.25,4,,,,25,10.25,35.25,25,0.0,0.0
H21,,,,31.25,,,,,37,-5.75,31.25,37,0.0,0.0
H22,,,,31.25,12,,,,25,18.25,43.25,25,0.0,0.0
H23,,,,31.25,0,,,,25,6.25,31.25,25,0.0,0.0
H24,,,,31.25,0,,,,168,-136.75,31.25,168,0.0,0.0
H25,,,,31.25,143,,,,99,75.25,174.25,99,0.0,0.0
H26,,,,31.25,74,,,,187,-81.75,105.25,187,0.0,0.0
H27,,,,31.25,162,,,,25,168.25,193.25,25,0.0,0.0
H28,,,,31.25,0,,,,25,6.25,31.25,25,0.0,0.0
H29,,,,31.25,0,,,,26,5.25,31.25,26,0.0,0.0
H30,,,,31.25,1,,,,25,7.25,32.25,25,0.0,0.0
H31,,,,31.25,0,,,,215,-183.75,31.25,215,0.0,0.0
H32,,,,31.25,190,,,,25,196.25,221.25,25,0.0,0.0
H33,,,,31.25,,,,,1024,-992.75,31.25,1024,0.0,0.0
H34,,,,31.25,999,,,,34,996.25,1030.25,34,0.0,0.0
H35,,,,31.25,9,,,,58,-17.75,40.25,58,0.0,0.0
H36,,,,31.25,33,,,,25,39.25,64.25,25,0.0,0.0
H37,,,,31.25,0,,,,28,3.25,31.25,28,0.0,0.0
H38,,,,31.25,3,,,,26,8.25,34.25,26,0.0,0.0
H39,,,,31.25,1,,,,25,7.25,32.25,25,0.0,0.0
H40,,,,31.25,,,,,75,-43.75,31.25,75,0.0,0.0
H41,,,,31.25,50,,,,29,52.25,81.25,29,0.0,0.0
H42,,,,31.25,4,,,,29,6.25,35.25,29,0.0,0.0
H43,,,,35.25,,,,,544,-508.75,35.25,544,0.0,0.0
H44,,,,31.25,519,,,,25,525.25,550.25,25,0.0,0.0
H45,,,,31.25,0,,,,33,-1.75,31.25,33,0.0,0.0
H46,,,,38.25,,,,,75,-36.75,38.25,75,0.0,0.0
H47,,,,73.25,,,,,467,-393.75,73.25,467,0.0,0.0
H48,,,,31.25,442,,,,25,448.25,473.25,25,0.0,0.0
H49,,,,31.25,,,,,451,-419.75,31.25,451,0.0,0.0
H50,,,,31.25,426,,,,25,432.25,457.25,25,0.0,0.0
H51,,,,31.25,0,,,,223,-191.75,31.25,223,0.0,0.0
H52,,,,31.25,198,,,,35,194.25,229.25,35,0.0,0.0
