agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8095.0,,-8095.0,0,8095.0,0.0,0.0
H1,,,,31.25,7,,,,640,-601.75,38.25,640,0.0,0.0
H2,,,,514.25,,,,,25,489.25,514.25,25,0.0,0.0
H3,,,,40.25,,,,,61,-20.75,40.25,61,0.0,0.0
H4,,,,31.25,36,,,,259,-191.75,67.25,259,0.0,0.0
H5,,,,31.25,234,,,,302,-36.75,265.25,302,0.0,0.0
H6,,,,31.25,277,,,,127,181.25,308.25,127,0.0,0.0
H7,,,,31.25,102,,,,136,-2.75,133.25,136,0.0,0.0
H8,,,,31.25,111,,,,249,-106.75,142.25,249,0.0,0.0
H9,,,,31.25,224,,,,480,-224.75,255.25,480,0.0,0.0
H10,,,,418.25,,,,,291,127.25,418.25,291,0.0,0.0
H11,,,,31.25,266,,,,230,67.25,297.25,230,0.0,0.0
H12,,,,31.25,205,,,,112,124.25,236.25,112,0.0,0.0
H13,,,,31.25,87,,,,71,47.25,118.25,71,0.0,0.0
H14,,,,72.25,,,,,156,-83.75,72.25,156,0.0,0.0
H15,,,,142.25,,,,,307,-164.75,142.25,307,0.0,0.0
H16,,,,271.25,,,,,206,65.25,271.25,206,0.0,0.0
H17,,,,31.25,181,,,,246,-33.75,212.25,246,0.0,0.0
H18,,,,31.25,221,,,,224,28.25,252.25,224,0.0,0.0
H19,,,,31.25,199,,,,92,138.25,230.25,92,0.0,0.0
H20,,,,31.25,67,,,,157,-58.75,98.25,157,0.0,0.0
H21,,,,31.25,132,,,,127,36.25,163.25,127,0.0,0.0
H22,,,,31.25,102,,,,155,-21.75,133.25,155,0.0,0.0
H23,,,,31.25,130,,,,60,101.25,161.25,60,0.0,0.0
H24,,,,63.25,,,,,54,9.25,63.25,54,0.0,0.0
H25,,,,31.25,29,,,,77,-16.75,60.25,77,0.0,0.0
H26,,,,31.25,52,,,,248,-164.75,83.25,248,0.0,0.0
H27,,,,209.25,,,,,68,141.25,209.25,68,0.0,0.0
H28,,,,31.25,43,,,,79,-4.75,74.25,79,0.0,0.0
H29,,,,31.25,54,,,,508,-422.75,85.25,508,0.0,0.0
H30,,,,31.25,483,,,,90,424.25,514.25,90,0.0,0.0
H31,,,,31.25,65,,,,156,-59.75,96.25,156,0.0,0.0
H32,,,,31.25,131,,,,145,17.25,162.25,145,0.0,0.0
H33,,,,31.25,120,,,,47,104.25,151.25,47,0.0,0.0
H34,,,,51.25,,,,,128,-76.75,51.25,128,0.0,0.0
H35,,,,119.25,,,,,131,-11.75,119.25,131,0.0,0.0
H36,,,,31.25,106,,,,152,-14.75,137.25,152,0.0,0.0
H37,,,,31.25,127,,,,97,61.25,158.25,97,0.0,0.0
H38,,,,31.25,72,,,,147,-43.75,103.25,147,0.0,0.0
H39,,,,31.25,122,,,,47,106.25,153.25,47,0.0,0.0
H40,,,,31.25,22,,,,262,-208.75,53.25,262,0.0,0.0
H41,,,,31.25,237,,,,48,220.25,268.25,48,0.0,0.0
H42,,,,31.25,23,,,,132,-77.75,54.25,132,0.0,0.0
H43,,,,31.25,107,,,,190,-51.75,138.25,190,0.0,0.0
H44,,,,31.25,165,,,,122,74.25,196.25,122,0.0,0.0
H45,,,,31.25,97,,,,454,-325.75,128.25,454,0.0,0.0
H46,,,,31.25,429,,,,40,420.25,460.25,40,0.0,0.0
H47,,,,31.25,15,,,,178,-131.75,46.25,178,0.0,0.0
H48,,,,31.25,153,,,,101,83.25,184.25,101,0.0,0.0
H49,,,,31.25,76,,,,92,15.25,107.25,92,0.0,0.0
H50,,,,88.25,,,,,109,-20.75,88.25,109,0.0,0.0
H51,,,,31.25,84,,,,311,-195.75,115.25,311,0.0,0.0
H52,,,,31.25,286,,,,36,281.25,317.25,36,0.0,0.0
H53,,,,31.25,11,,,,95,-52.75,42.25,95,0.0,0.0
H54,,,,31.25,70,,,,104,-2.75,101.25,104,0.0,0.0
H55,,,,31.25,79,,,,59,51.25,110.25,59,0.0,0.0
H56,,,,31.25,34,,,,255,-189.75,65.25,255,0.0,0.0
H57,,,,31.25,230,,,,161,100.25,261.25,161,0.0,0.0
H58,,,,31.25,136,,,,62,105.25,167.25,62,0.0,0.0
H59,,,,31.25,37,,,,116,-47.75,68.25,116,0.0,0.0
H60,,,,108.25,,,,,180,-71.75,108.25,180,0.0,0.0
H61,,,,163.25,,,,,42,121.25,163.25,42,0.0,0.0
H62,,,,31.25,17,,,,71,-22.75,48.25,71,0.0,0.0
H63,,,,72.25,,,,,140,-67.75,72.25,140,0.0,0.0
H64,,,,31.25,115,,,,209,-62.75,146.25,209,0.0,0.0
H65,,,,31.25,184,,,,40,175.25,215.25,40,0.0,0.0
H66,,,,31.25,15,,,,31,15.25,46.25,31,0.0,0.0
H67,,,,31.25,6,,,,91,-53.75,37.25,91,0.0,0.0
H68,,,,31.25,66,,,,139,-41.75,97.25,139,0.0,0.0
H69,,,,31.25,114,,,,225,-79.75,145.25,225,0.0,0.0
H70,,,,201.25,,,,,90,111.25,201.25,90,0.0,0.0
H71,,,,31.25,65,,,,259,-162.75,96.25,259,0.0,0.0
H72,,,,31.25,234,,,,60,205.25,265.25,60,0.0,0.0
H73,,,,31.25,35,,,,76,-9.75,66.25,76,0.0,0.0
H74,,,,77.25,,,,,40,37.25,77.25,40,0.0,0.0
H75,,,,31.25,15,,,,108,-61.75,46.25,108,0.0,0.0
H76,,,,31.25,83,,,,119,-4.75,114.25,119,0.0,0.0
H77,,,,31.25,94,,,,59,66.25,125.25,59,0.0,0.0
H78,,,,31.25,34,,,,111,-45.75,65.25,111,0.0,0.0
H79,,,,108.25,,,,,140,-31.75,108.25,140,0.0,0.0
H80,,,,31.25,115,,,,33,113.25,146.25,33,0.0,0.0
H81,,,,31.25,8,,,,153,-113.75,39.25,153,0.0,0.0
H82,,,,31.25,128,,,,28,131.25,159.25,28,0.0,0.0
H83,,,,31.25,3,,,,152,-117.75,34.25,152,0.0,0.0
H84,,,,31.25,127,,,,36,122.25,158.25,36,0.0,0.0
H85,,,,31.25,11,,,,81,-38.75,42.25,81,0.0,0.0
H86,,,,31.25,56,,,,192,-104.75,87.25,192,0.0,0.0
H87,,,,31.25,167,,,,537,-338.75,198.25,537,0.0,0.0
H88,,,,492.25,,,,,59,433.25,492.25,59,0.0,0.0
H89,,,,62.25,,,,,401,-338.75,62.25,401,0.0,0.0
H90,,,,351.25,,,,,255,96.25,351.25,255,0.0,0.0
H91,,,,227.25,,,,,265,-37.75,227.25,265,0.0,0.0
H92,,,,31.25,240,,,,55,216.25,271.25,55,0.0,0.0
H93,,,,31.25,30,,,,157,-95.75,61.25,157,0.0,0.0
H94,,,,31.25,132,,,,25,138.25,163.25,25,0.0,0.0
H95,,,,31.25,0,,,,171,-139.75,31.25,171,0.0,0.0
H96,,,,31.25,146,,,,38,139.25,177.25,38,0.0,0.0
H97,,,,31.25,13,,,,54,-9.75,44.25,54,0.0,0.0
H98,,,,31.25,29,,,,118,-57.75,60.25,118,0.0,0.0
H99,,,,31.25,93,,,,51,73.25,124.25,51,0.0,0.0
H100,,,,31.25,26,,,,32,25.25,57.25,32,0.0,0.0
big_short,,,,574.0,896,,,,,1470.0,1470.0,0,0.0,0.0
big_mid,,,,625.0,825,,,,,1450.0,1450.0,0,0.0,0.0
big_long,,,,574.0,871,,,,,1445.0,1445.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,740,,,,,740,740,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,2928,,,,,2928,2928,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,8095.0,14937,,,8095.0,14937,0,23032.0,23032.0,0.0,0.0
SYSTEM,system,System Total,23032.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23032.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
