DS_t,agent,day
0.0031664839848983073,H27,1
0,H18,1
0.03227377907684813,H45,1
0,H1,1
0.0034100596760443308,H62,1
0.007429058579953721,H63,1
0,H79,1
0,H41,1
0.00267933260260626,H19,1
0.00267933260260626,H48,1
0.014249177932042383,H9,1
0.021191085129704055,H34,1
0,H46,1
0.028011204481792718,H82,1
0,H71,1
0.00535866520521252,H69,1
0.011082693947144074,H39,1
0,H47,1
0.000608939227865059,H8,1
0.018998903909389842,H80,1
0,H15,1
0.010595542564852027,H59,1
0.007429058579953721,H60,1
0,H57,1
0,H93,1
0.001826817683595177,H25,1
0.03958104981122884,H17,1
0,H35,1
0.016563146997929608,H43,1
0.02764584094507368,H96,1
0,H67,1
0,H89,1
0.008525149190110827,H32,1
0.015223480696626476,H20,1
0.013762026549750336,H38,1
0,H66,1
0.001948605529168189,H55,1
0.00267933260260626,H85,1
0.008525149190110827,H98,1
0,H16,1
0.001948605529168189,H5,1
0.0009743027645840945,H28,1
0,H30,1
0,H7,1
0,H53,1
0,H50,1
0.04579222993545244,H21,1
0.008646937035683838,H29,1
0.017172086225794667,H2,1
0.02959444647424187,H75,1
0,H83,1
0.006454755815369626,H37,1
0,H76,1
0.04822798684691268,H23,1
0.005236877359639508,H65,1
0.0047497259773474606,H86,1
0.008646937035683838,H87,1
0.023383266350018268,H49,1
0.00012178784557301182,H31,1
0.004627938131774449,H36,1
0.0021921812203142127,H40,1
0.012300572402874193,H52,1
0.0007307270734380709,H3,1
0,H44,1
0.04506150286201437,H6,1
0.011082693947144074,H70,1
0.030690537084398978,H73,1
0.0014614541468761417,H90,1
0,H99,1
0,H26,1
0.0023139690658872244,H64,1
0,H4,1
0.0453050785531604,H51,1
0,H74,1
0,H54,1
0,big_short,1
0.024235781269029352,H42,1
0.08098891730605286,H78,1
0,H13,1
0.001217878455730118,H72,1
0.002435756911460236,H94,1
0,H97,1
0.0031664839848983073,H92,1
0.006332967969796615,H91,1
0.043112897332846185,H12,1
0.009012300572402874,H95,1
0,big_mid,1
0,H11,1
0.00669833150651565,H81,1
0.04627938131774449,H14,1
0,H22,1
0.02752405309950067,H10,1
0.03032517354767994,H56,1
0,H61,1
0.0047497259773474606,H68,1
0,H24,1
0,H33,1
0.0031664839848983073,H77,1
0,H88,1
0.004506150286201437,H58,1
0.001217878455730118,H84,1
0,big_long,1
0.04286932164170016,H100,1
