agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27498.0,,-27498.0,0,27498.0,0.0,0.0
H1,,,,250.0,55,,,,44,261.0,305.0,44,0.0,0.0
H2,,,,196.0,19,,,,25,190.0,215.0,25,0.0,0.0
H3,,,,304.0,,,,,47,257.0,304.0,47,0.0,0.0
H4,,,,250.0,22,,,,60,212.0,272.0,60,0.0,0.0
H5,,,,250.0,35,,,,173,112.0,285.0,173,0.0,0.0
H6,,,,250.0,148,,,,46,352.0,398.0,46,0.0,0.0
H7,,,,196.0,21,,,,25,192.0,217.0,25,0.0,0.0
H8,,,,304.0,,,,,53,251.0,304.0,53,0.0,0.0
H9,,,,274.0,,,,,485,-211.0,274.0,485,0.0,0.0
H10,,,,250.0,460,,,,109,601.0,710.0,109,0.0,0.0
H11,,,,250.0,84,,,,71,263.0,334.0,71,0.0,0.0
H12,,,,184.0,46,,,,25,205.0,230.0,25,0.0,0.0
H13,,,,316.0,,,,,246,70.0,316.0,246,0.0,0.0
H14,,,,250.0,221,,,,82,389.0,471.0,82,0.0,0.0
H15,,,,250.0,57,,,,238,69.0,307.0,238,0.0,0.0
H16,,,,250.0,213,,,,85,378.0,463.0,85,0.0,0.0
H17,,,,213.0,60,,,,25,248.0,273.0,25,0.0,0.0
H18,,,,287.0,,,,,318,-31.0,287.0,318,0.0,0.0
H19,,,,250.0,293,,,,30,513.0,543.0,30,0.0,0.0
H20,,,,254.0,,,,,330,-76.0,254.0,330,0.0,0.0
H21,,,,250.0,305,,,,75,480.0,555.0,75,0.0,0.0
H22,,,,81.0,50,,,,25,106.0,131.0,25,0.0,0.0
H23,,,,419.0,,,,,101,318.0,419.0,101,0.0,0.0
H24,,,,250.0,76,,,,35,291.0,326.0,35,0.0,0.0
H25,,,,250.0,10,,,,32,228.0,260.0,32,0.0,0.0
H26,,,,250.0,7,,,,37,220.0,257.0,37,0.0,0.0
H27,,,,235.0,12,,,,25,222.0,247.0,25,0.0,0.0
H28,,,,265.0,,,,,50,215.0,265.0,50,0.0,0.0
H29,,,,250.0,25,,,,64,211.0,275.0,64,0.0,0.0
H30,,,,250.0,39,,,,56,233.0,289.0,56,0.0,0.0
H31,,,,250.0,31,,,,175,106.0,281.0,175,0.0,0.0
H32,,,,172.0,150,,,,25,297.0,322.0,25,0.0,0.0
H33,,,,328.0,,,,,49,279.0,328.0,49,0.0,0.0
H34,,,,250.0,24,,,,29,245.0,274.0,29,0.0,0.0
H35,,,,250.0,4,,,,160,94.0,254.0,160,0.0,0.0
H36,,,,250.0,135,,,,125,260.0,385.0,125,0.0,0.0
H37,,,,8.0,,,,,25,-17.0,8.0,25,0.0,0.0
H38,,,,577.0,,,,,45,532.0,577.0,45,0.0,0.0
H39,,,,250.0,20,,,,54,216.0,270.0,54,0.0,0.0
H40,,,,275.0,,,,,370,-95.0,275.0,370,0.0,0.0
H41,,,,250.0,345,,,,65,530.0,595.0,65,0.0,0.0
H42,,,,284.0,,,,,352,-68.0,284.0,352,0.0,0.0
H43,,,,544.0,,,,,840,-296.0,544.0,840,0.0,0.0
H44,,,,250.0,815,,,,120,945.0,1065.0,120,0.0,0.0
H45,,,,250.0,95,,,,184,161.0,345.0,184,0.0,0.0
H46,,,,250.0,159,,,,46,363.0,409.0,46,0.0,0.0
H47,,,,268.0,,,,,253,15.0,268.0,253,0.0,0.0
H48,,,,250.0,228,,,,145,333.0,478.0,145,0.0,0.0
H49,,,,250.0,120,,,,116,254.0,370.0,116,0.0,0.0
H50,,,,250.0,91,,,,27,314.0,341.0,27,0.0,0.0
H51,,,,250.0,2,,,,170,82.0,252.0,170,0.0,0.0
H52,,,,250.0,145,,,,124,271.0,395.0,124,0.0,0.0
H53,,,,250.0,99,,,,81,268.0,349.0,81,0.0,0.0
H54,,,,298.0,,,,,341,-43.0,298.0,341,0.0,0.0
H55,,,,503.0,,,,,476,27.0,503.0,476,0.0,0.0
H56,,,,250.0,451,,,,200,501.0,701.0,200,0.0,0.0
H57,,,,250.0,175,,,,41,384.0,425.0,41,0.0,0.0
H58,,,,250.0,16,,,,527,-261.0,266.0,527,0.0,0.0
H59,,,,250.0,502,,,,26,726.0,752.0,26,0.0,0.0
H60,,,,250.0,1,,,,183,68.0,251.0,183,0.0,0.0
H61,,,,250.0,158,,,,184,224.0,408.0,184,0.0,0.0
H62,,,,250.0,159,,,,89,320.0,409.0,89,0.0,0.0
H63,,,,250.0,64,,,,97,217.0,314.0,97,0.0,0.0
H64,,,,250.0,72,,,,57,265.0,322.0,57,0.0,0.0
H65,,,,250.0,32,,,,82,200.0,282.0,82,0.0,0.0
H66,,,,250.0,57,,,,60,247.0,307.0,60,0.0,0.0
H67,,,,250.0,35,,,,194,91.0,285.0,194,0.0,0.0
H68,,,,250.0,169,,,,128,291.0,419.0,128,0.0,0.0
H69,,,,250.0,103,,,,198,155.0,353.0,198,0.0,0.0
H70,,,,250.0,173,,,,186,237.0,423.0,186,0.0,0.0
