G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.10320847340456064,9908,1266,155,1266,0,1,0.8775671406003159,155,13,10,,0.12243285939968404,1
0,0.09478535147646155,9908,1282,0,1282,0,2,1,0,13,10,,0,
0,0.09113927912262237,9908,1599,0,1599,0,3,1,0,13,10,,0,
0,0.09721955555555556,9908,1500,0,1500,0,4,1,0,13,10,,0,
0,0.11626513094531148,9908,1853,0,1853,0,5,1,0,13,10,,0,
0,0.09578855449663463,9908,1564,0,1564,0,6,1,0,13,10,,0,
0,0.09377022845720649,9908,1655,0,1655,0,7,1,0,13,10,,0,
0,0.1347586680473851,9908,1476,0,1476,0,8,1,0,13,10,,0,
0,0.12094167006584698,9908,1310,0,1310,0,9,1,0,13,10,,0,
0,0.1289090838753678,9908,1447,0,1447,0,10,1,0,13,10,,0,
