agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,6816.0,,-6816.0,0,6816.0,0.0,0.0
H1,,,,31.25,120,,,,57,94.25,151.25,57,0.0,0.0
H2,,,,58.25,,,,,110,-51.75,58.25,110,0.0,0.0
H3,,,,31.25,85,,,,283,-166.75,116.25,283,0.0,0.0
H4,,,,250.25,,,,,123,127.25,250.25,123,0.0,0.0
H5,,,,31.25,98,,,,221,-91.75,129.25,221,0.0,0.0
H6,,,,31.25,196,,,,187,40.25,227.25,187,0.0,0.0
H7,,,,31.25,162,,,,91,102.25,193.25,91,0.0,0.0
H8,,,,31.25,66,,,,140,-42.75,97.25,140,0.0,0.0
H9,,,,31.25,115,,,,177,-30.75,146.25,177,0.0,0.0
H10,,,,153.25,,,,,184,-30.75,153.25,184,0.0,0.0
H11,,,,31.25,159,,,,172,18.25,190.25,172,0.0,0.0
H12,,,,31.25,147,,,,96,82.25,178.25,96,0.0,0.0
H13,,,,31.25,71,,,,244,-141.75,102.25,244,0.0,0.0
H14,,,,31.25,219,,,,102,148.25,250.25,102,0.0,0.0
H15,,,,31.25,77,,,,172,-63.75,108.25,172,0.0,0.0
H16,,,,163.25,,,,,132,31.25,163.25,132,0.0,0.0
H17,,,,31.25,107,,,,135,3.25,138.25,135,0.0,0.0
H18,,,,31.25,110,,,,161,-19.75,141.25,161,0.0,0.0
H19,,,,31.25,136,,,,69,98.25,167.25,69,0.0,0.0
H20,,,,66.25,,,,,108,-41.75,66.25,108,0.0,0.0
H21,,,,31.25,83,,,,120,-5.75,114.25,120,0.0,0.0
H22,,,,31.25,95,,,,159,-32.75,126.25,159,0.0,0.0
H23,,,,31.25,134,,,,178,-12.75,165.25,178,0.0,0.0
H24,,,,161.25,,,,,170,-8.75,161.25,170,0.0,0.0
H25,,,,31.25,145,,,,244,-67.75,176.25,244,0.0,0.0
H26,,,,31.25,219,,,,99,151.25,250.25,99,0.0,0.0
H27,,,,31.25,74,,,,98,7.25,105.25,98,0.0,0.0
H28,,,,93.25,,,,,136,-42.75,93.25,136,0.0,0.0
H29,,,,31.25,111,,,,72,70.25,142.25,72,0.0,0.0
H30,,,,31.25,47,,,,80,-1.75,78.25,80,0.0,0.0
H31,,,,31.25,55,,,,121,-34.75,86.25,121,0.0,0.0
H32,,,,31.25,96,,,,61,66.25,127.25,61,0.0,0.0
H33,,,,31.25,36,,,,203,-135.75,67.25,203,0.0,0.0
H34,,,,31.25,178,,,,69,140.25,209.25,69,0.0,0.0
H35,,,,31.25,44,,,,171,-95.75,75.25,171,0.0,0.0
H36,,,,31.25,146,,,,119,58.25,177.25,119,0.0,0.0
H37,,,,111.25,,,,,121,-9.75,111.25,121,0.0,0.0
H38,,,,31.25,96,,,,93,34.25,127.25,93,0.0,0.0
H39,,,,31.25,68,,,,235,-135.75,99.25,235,0.0,0.0
H40,,,,31.25,210,,,,108,133.25,241.25,108,0.0,0.0
H41,,,,31.25,83,,,,234,-119.75,114.25,234,0.0,0.0
H42,,,,209.25,,,,,132,77.25,209.25,132,0.0,0.0
H43,,,,127.25,,,,,278,-150.75,127.25,278,0.0,0.0
