agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26875.0,,-26875.0,0,26875.0,0.0,0.0
H1,,,,55.0,84,,,,25,114.0,139.0,25,0.0,0.0
H2,,,,397.0,,,,,25,372.0,397.0,25,0.0,0.0
H3,,,,265.0,,,,,25,240.0,265.0,25,0.0,0.0
H4,,,,73.0,,,,,25,48.0,73.0,25,0.0,0.0
H5,,,,446.0,,,,,25,421.0,446.0,25,0.0,0.0
H6,,,,186.0,,,,,25,161.0,186.0,25,0.0,0.0
H7,,,,229.0,,,,,25,204.0,229.0,25,0.0,0.0
H8,,,,234.0,,,,,25,209.0,234.0,25,0.0,0.0
H9,,,,346.0,,,,,25,321.0,346.0,25,0.0,0.0
H10,,,,148.0,,,,,25,123.0,148.0,25,0.0,0.0
H11,,,,287.0,,,,,25,262.0,287.0,25,0.0,0.0
H12,,,,103.0,,,,,25,78.0,103.0,25,0.0,0.0
H13,,,,478.0,,,,,25,453.0,478.0,25,0.0,0.0
H14,,,,253.0,,,,,408,-155.0,253.0,408,0.0,0.0
H15,,,,250.0,383,,,,48,585.0,633.0,48,0.0,0.0
H16,,,,250.0,23,,,,229,44.0,273.0,229,0.0,0.0
H17,,,,250.0,204,,,,111,343.0,454.0,111,0.0,0.0
H18,,,,250.0,86,,,,244,92.0,336.0,244,0.0,0.0
H19,,,,250.0,219,,,,49,420.0,469.0,49,0.0,0.0
H20,,,,250.0,24,,,,72,202.0,274.0,72,0.0,0.0
H21,,,,250.0,47,,,,36,261.0,297.0,36,0.0,0.0
H22,,,,250.0,11,,,,208,53.0,261.0,208,0.0,0.0
H23,,,,250.0,183,,,,117,316.0,433.0,117,0.0,0.0
H24,,,,250.0,92,,,,52,290.0,342.0,52,0.0,0.0
H25,,,,250.0,27,,,,50,227.0,277.0,50,0.0,0.0
H26,,,,250.0,25,,,,35,240.0,275.0,35,0.0,0.0
H27,,,,250.0,10,,,,52,208.0,260.0,52,0.0,0.0
H28,,,,250.0,27,,,,124,153.0,277.0,124,0.0,0.0
H29,,,,250.0,99,,,,95,254.0,349.0,95,0.0,0.0
H30,,,,250.0,70,,,,173,147.0,320.0,173,0.0,0.0
H31,,,,250.0,148,,,,34,364.0,398.0,34,0.0,0.0
H32,,,,250.0,9,,,,247,12.0,259.0,247,0.0,0.0
H33,,,,250.0,222,,,,514,-42.0,472.0,514,0.0,0.0
H34,,,,250.0,489,,,,188,551.0,739.0,188,0.0,0.0
H35,,,,250.0,163,,,,190,223.0,413.0,190,0.0,0.0
H36,,,,250.0,165,,,,255,160.0,415.0,255,0.0,0.0
H37,,,,250.0,230,,,,37,443.0,480.0,37,0.0,0.0
H38,,,,250.0,12,,,,100,162.0,262.0,100,0.0,0.0
H39,,,,250.0,75,,,,35,290.0,325.0,35,0.0,0.0
H40,,,,250.0,10,,,,210,50.0,260.0,210,0.0,0.0
H41,,,,250.0,185,,,,119,316.0,435.0,119,0.0,0.0
H42,,,,250.0,94,,,,38,306.0,344.0,38,0.0,0.0
H43,,,,250.0,13,,,,96,167.0,263.0,96,0.0,0.0
H44,,,,250.0,71,,,,207,114.0,321.0,207,0.0,0.0
H45,,,,250.0,182,,,,122,310.0,432.0,122,0.0,0.0
H46,,,,250.0,97,,,,40,307.0,347.0,40,0.0,0.0
H47,,,,250.0,15,,,,361,-96.0,265.0,361,0.0,0.0
H48,,,,250.0,336,,,,32,554.0,586.0,32,0.0,0.0
H49,,,,250.0,7,,,,250,7.0,257.0,250,0.0,0.0
H50,,,,250.0,225,,,,469,6.0,475.0,469,0.0,0.0
H51,,,,250.0,444,,,,194,500.0,694.0,194,0.0,0.0
H52,,,,250.0,169,,,,380,39.0,419.0,380,0.0,0.0
H53,,,,250.0,355,,,,117,488.0,605.0,117,0.0,0.0
H54,,,,250.0,92,,,,55,287.0,342.0,55,0.0,0.0
H55,,,,250.0,30,,,,102,178.0,280.0,102,0.0,0.0
H56,,,,250.0,77,,,,188,139.0,327.0,188,0.0,0.0
H57,,,,250.0,163,,,,203,210.0,413.0,203,0.0,0.0
H58,,,,250.0,178,,,,84,344.0,428.0,84,0.0,0.0
H59,,,,250.0,59,,,,383,-74.0,309.0,383,0.0,0.0
H60,,,,250.0,358,,,,29,579.0,608.0,29,0.0,0.0
