DS_t,agent,day
0.005004766444232603,H27,1
0.01882745471877979,H18,1
0,H45,1
0.016205910390848427,H1,1
0,H62,1
0.008817921830314586,H63,1
0,H79,1
0,H41,1
0,H19,1
0,H48,1
0,H9,1
0,H34,1
0,H46,1
0.014299332697807437,H82,1
0.010843660629170639,H71,1
0,H69,1
0,H39,1
0.04122974261201144,H47,1
0.004885605338417541,H8,1
0,H80,1
0,H15,1
0.038608198284080075,H59,1
0,H60,1
0.004766444232602479,H57,1
0.005243088655862726,H93,1
0.002740705433746425,H25,1
0,H17,1
0.003217349857006673,H35,1
0.009890371782650143,H43,1
0.004289799809342231,H96,1
0,H67,1
0.008460438512869399,H89,1
0.028360343183984747,H32,1
0.005719733079122974,H20,1
0.010486177311725452,H38,1
0.06267874165872259,H66,1
0.008579599618684462,H55,1
0.002740705433746425,H85,1
0.04861773117254528,H98,1
0.024547187797902766,H16,1
0,H5,1
0.011558627264061011,H28,1
0.012273593898951383,H30,1
0.00548141086749285,H7,1
0,H53,1
0.029075309818875118,H50,1
0,H21,1
0,H29,1
0,H2,1
0.02847950428979981,H75,1
0.002621544327931363,H83,1
0,H37,1
0.011916110581506196,H76,1
0,H23,1
0,H65,1
0.004170638703527169,H86,1
0.03908484270734033,H87,1
0.028956148713060056,H49,1
0,H31,1
0.010724499523355576,H36,1
0.023832221163012392,H40,1
0.025142993326978075,H52,1
0.0011916110581506197,H3,1
0.016205910390848427,H44,1
0.010605338417540515,H6,1
0.011320305052430887,H70,1
0.00667302192564347,H73,1
0.005123927550047664,H90,1
0,H99,1
0.0011916110581506197,H26,1
0.06244041944709247,H64,1
0.024070543374642518,H4,1
0,H51,1
0,H74,1
0,H54,1
0,big_short,1
0,H42,1
0,H78,1
0,H13,1
0,H72,1
0.02001906577693041,H94,1
0.0008341277407054338,H97,1
0,H92,1
0.02490467111534795,H91,1
0.020495710200190656,H12,1
0,H95,1
0,big_mid,1
0,H11,1
0.011558627264061011,H81,1
0.048260247855100094,H14,1
0.023474737845567206,H22,1
0.01513346043851287,H10,1
0.013226882745471878,H56,1
0.012392755004766444,H61,1
0,H68,1
0,H24,1
0.03479504289799809,H33,1
0.004528122020972355,H77,1
0,H88,1
0,H58,1
0,H84,1
0,big_long,1
0.00917540514775977,H100,1
