G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.09448711476067088,5000,1468,0,1468,0,1,1,0,13,10,,0,
0,0.14002910845464298,5000,1652,0,1652,0,2,1,0,13,10,,0,
0,0.0985457390260631,5000,1728,0,1728,0,3,1,0,13,10,,0,
0,0.11516525349236616,5000,1884,0,1884,0,4,1,0,13,10,,0,
0,0.10403466483011937,5000,1320,0,1320,0,5,1,0,13,10,,0,
0,0.09558847188784819,5000,1443,0,1443,0,6,1,0,13,10,,0,
0,0.11430160806056476,5000,1165,0,1165,0,7,1,0,13,10,,0,
0,0.09145690189361383,5000,1339,0,1339,0,8,1,0,13,10,,0,
0,0.10714032720526227,5000,1540,0,1540,0,9,1,0,13,10,,0,
0,0.10985619218442118,5000,1411,0,1411,0,10,1,0,13,10,,0,
