agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14375.0,,-14375.0,0,14375.0,0.0,0.0
H1,,,,112.0,18,,,,25,105.0,130.0,25,0.0,0.0
H2,,,,28.0,,,,,25,3.0,28.0,25,0.0,0.0
H3,,,,235.0,,,,,360,-125.0,235.0,360,0.0,0.0
H4,,,,125.0,335,,,,72,388.0,460.0,72,0.0,0.0
H5,,,,125.0,47,,,,92,80.0,172.0,92,0.0,0.0
H6,,,,125.0,67,,,,263,-71.0,192.0,263,0.0,0.0
H7,,,,125.0,238,,,,58,305.0,363.0,58,0.0,0.0
H8,,,,125.0,33,,,,85,73.0,158.0,85,0.0,0.0
H9,,,,125.0,60,,,,308,-123.0,185.0,308,0.0,0.0
H10,,,,125.0,283,,,,129,279.0,408.0,129,0.0,0.0
H11,,,,125.0,104,,,,222,7.0,229.0,222,0.0,0.0
H12,,,,125.0,197,,,,26,296.0,322.0,26,0.0,0.0
H13,,,,125.0,1,,,,406,-280.0,126.0,406,0.0,0.0
H14,,,,125.0,381,,,,220,286.0,506.0,220,0.0,0.0
H15,,,,125.0,195,,,,767,-447.0,320.0,767,0.0,0.0
H16,,,,125.0,742,,,,25,842.0,867.0,25,0.0,0.0
H17,,,,125.0,0,,,,115,10.0,125.0,115,0.0,0.0
H18,,,,125.0,90,,,,27,188.0,215.0,27,0.0,0.0
H19,,,,125.0,2,,,,46,81.0,127.0,46,0.0,0.0
H20,,,,125.0,21,,,,33,113.0,146.0,33,0.0,0.0
H21,,,,125.0,8,,,,221,-88.0,133.0,221,0.0,0.0
H22,,,,125.0,196,,,,452,-131.0,321.0,452,0.0,0.0
H23,,,,125.0,427,,,,355,197.0,552.0,355,0.0,0.0
H24,,,,125.0,330,,,,25,430.0,455.0,25,0.0,0.0
H25,,,,125.0,0,,,,127,-2.0,125.0,127,0.0,0.0
H26,,,,125.0,102,,,,131,96.0,227.0,131,0.0,0.0
H27,,,,125.0,106,,,,153,78.0,231.0,153,0.0,0.0
H28,,,,125.0,128,,,,45,208.0,253.0,45,0.0,0.0
H29,,,,125.0,20,,,,55,90.0,145.0,55,0.0,0.0
H30,,,,125.0,30,,,,40,115.0,155.0,40,0.0,0.0
H31,,,,125.0,15,,,,340,-200.0,140.0,340,0.0,0.0
H32,,,,125.0,315,,,,25,415.0,440.0,25,0.0,0.0
H33,,,,125.0,0,,,,25,100.0,125.0,25,0.0,0.0
H34,,,,125.0,0,,,,25,100.0,125.0,25,0.0,0.0
H35,,,,125.0,0,,,,74,51.0,125.0,74,0.0,0.0
H36,,,,125.0,49,,,,121,53.0,174.0,121,0.0,0.0
H37,,,,125.0,96,,,,93,128.0,221.0,93,0.0,0.0
H38,,,,125.0,68,,,,37,156.0,193.0,37,0.0,0.0
H39,,,,125.0,12,,,,75,62.0,137.0,75,0.0,0.0
H40,,,,125.0,50,,,,345,-170.0,175.0,345,0.0,0.0
H41,,,,125.0,320,,,,25,420.0,445.0,25,0.0,0.0
H42,,,,125.0,0,,,,37,88.0,125.0,37,0.0,0.0
H43,,,,125.0,12,,,,103,34.0,137.0,103,0.0,0.0
H44,,,,125.0,78,,,,26,177.0,203.0,26,0.0,0.0
H45,,,,125.0,1,,,,59,67.0,126.0,59,0.0,0.0
H46,,,,125.0,34,,,,31,128.0,159.0,31,0.0,0.0
H47,,,,125.0,6,,,,91,40.0,131.0,91,0.0,0.0
H48,,,,125.0,66,,,,266,-75.0,191.0,266,0.0,0.0
H49,,,,125.0,241,,,,30,336.0,366.0,30,0.0,0.0
H50,,,,125.0,5,,,,33,97.0,130.0,33,0.0,0.0
H51,,,,125.0,8,,,,83,50.0,133.0,83,0.0,0.0
H52,,,,125.0,58,,,,78,105.0,183.0,78,0.0,0.0
H53,,,,125.0,53,,,,79,99.0,178.0,79,0.0,0.0
H54,,,,125.0,54,,,,304,-125.0,179.0,304,0.0,0.0
H55,,,,125.0,279,,,,53,351.0,404.0,53,0.0,0.0
H56,,,,125.0,28,,,,125,28.0,153.0,125,0.0,0.0
H57,,,,125.0,100,,,,317,-92.0,225.0,317,0.0,0.0
H58,,,,125.0,292,,,,112,305.0,417.0,112,0.0,0.0
H59,,,,125.0,87,,,,40,172.0,212.0,40,0.0,0.0
H60,,,,125.0,15,,,,471,-331.0,140.0,471,0.0,0.0
H61,,,,125.0,446,,,,40,531.0,571.0,40,0.0,0.0
H62,,,,125.0,15,,,,186,-46.0,140.0,186,0.0,0.0
H63,,,,125.0,161,,,,251,35.0,286.0,251,0.0,0.0
H64,,,,125.0,226,,,,2141,-1790.0,351.0,2141,0.0,0.0
H65,,,,125.0,2116,,,,90,2151.0,2241.0,90,0.0,0.0
H66,,,,125.0,65,,,,424,-234.0,190.0,424,0.0,0.0
H67,,,,125.0,399,,,,174,350.0,524.0,174,0.0,0.0
H68,,,,125.0,149,,,,97,177.0,274.0,97,0.0,0.0
H69,,,,125.0,72,,,,50,147.0,197.0,50,0.0,0.0
H70,,,,125.0,25,,,,115,35.0,150.0,115,0.0,0.0
H71,,,,125.0,90,,,,46,169.0,215.0,46,0.0,0.0
H72,,,,125.0,21,,,,80,66.0,146.0,80,0.0,0.0
H73,,,,125.0,55,,,,63,117.0,180.0,63,0.0,0.0
H74,,,,125.0,38,,,,39,124.0,163.0,39,0.0,0.0
H75,,,,125.0,14,,,,51,88.0,139.0,51,0.0,0.0
H76,,,,125.0,26,,,,65,86.0,151.0,65,0.0,0.0
H77,,,,125.0,40,,,,39,126.0,165.0,39,0.0,0.0
H78,,,,125.0,14,,,,48,91.0,139.0,48,0.0,0.0
H79,,,,125.0,23,,,,40,108.0,148.0,40,0.0,0.0
H80,,,,125.0,15,,,,44,96.0,140.0,44,0.0,0.0
H81,,,,125.0,19,,,,182,-38.0,144.0,182,0.0,0.0
H82,,,,125.0,157,,,,169,113.0,282.0,169,0.0,0.0
H83,,,,125.0,144,,,,42,227.0,269.0,42,0.0,0.0
H84,,,,125.0,17,,,,129,13.0,142.0,129,0.0,0.0
H85,,,,125.0,104,,,,88,141.0,229.0,88,0.0,0.0
H86,,,,125.0,63,,,,86,102.0,188.0,86,0.0,0.0
H87,,,,125.0,61,,,,143,43.0,186.0,143,0.0,0.0
H88,,,,125.0,118,,,,38,205.0,243.0,38,0.0,0.0
H89,,,,125.0,13,,,,25,113.0,138.0,25,0.0,0.0
H90,,,,125.0,0,,,,368,-243.0,125.0,368,0.0,0.0
H91,,,,125.0,343,,,,241,227.0,468.0,241,0.0,0.0
H92,,,,125.0,216,,,,32,309.0,341.0,32,0.0,0.0
H93,,,,125.0,7,,,,176,-44.0,132.0,176,0.0,0.0
H94,,,,125.0,151,,,,30,246.0,276.0,30,0.0,0.0
H95,,,,125.0,5,,,,31,99.0,130.0,31,0.0,0.0
H96,,,,125.0,6,,,,157,-26.0,131.0,157,0.0,0.0
H97,,,,125.0,132,,,,128,129.0,257.0,128,0.0,0.0
H98,,,,125.0,103,,,,174,54.0,228.0,174,0.0,0.0
H99,,,,125.0,149,,,,29,245.0,274.0,29,0.0,0.0
H100,,,,125.0,4,,,,43,86.0,129.0,43,0.0,0.0
big_short,,,,625.0,850,,,,,1475.0,1475.0,0,0.0,0.0
big_mid,,,,625.0,825,,,,,1450.0,1450.0,0,0.0,0.0
big_long,,,,625.0,825,,,,,1450.0,1450.0,0,0.0,0.0
SYSTEM,,,,14375.0,14825,,,14375.0,14825,0,29200.0,29200.0,0.0,0.0
SYSTEM,system,System Total,29200.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29200.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
