DS_t,agent,day
0,H38,1
0.05586987270155587,H27,1
0,big_mid,1
0.1074964639321075,H87,1
0,H98,1
0,H18,1
0.048444130127298445,H62,1
0,H63,1
0,H28,1
0.05339462517680339,H22,1
0,H48,1
0.05799151343705799,H52,1
0.00884016973125884,H7,1
0,H53,1
0,H3,1
0,H73,1
0.03712871287128713,H82,1
0.01272984441301273,H47,1
0,big_short,1
0,H8,1
0.011315417256011316,H42,1
0,H68,1
0.014144271570014143,H77,1
0,H33,1
0,H88,1
0,H78,1
0.13507779349363508,H57,1
0.20155586987270155,H72,1
0,H93,1
0,H13,1
0,H58,1
0.009900990099009901,H2,1
0.025813295615275813,H17,1
0,big_long,1
0.06188118811881188,H97,1
0.010608203677510608,H92,1
0,H43,1
0.05586987270155587,H12,1
0.02086280056577086,H67,1
0,H83,1
0.060466760961810466,H37,1
0.010608203677510608,H32,1
0,H23,1
0,H66,3
0,big_mid,3
0.09850187265917602,H65,3
0,H86,3
0.08164794007490636,H55,3
0.012359550561797753,H85,3
0,H16,3
0,H11,3
0.12883895131086143,H5,3
0.009363295880149813,H45,3
0,H1,3
0,H81,3
0,H31,3
0,H41,3
0,H36,3
0.03220973782771536,H30,3
0.043820224719101124,H40,3
0,H46,3
0.009363295880149813,H10,3
0.0902621722846442,H70,3
0,H6,3
0.04119850187265917,H90,3
0,H56,3
0.023220973782771534,H50,3
0,H26,3
0,H71,3
0,H51,3
0,H61,3
0,H21,3
0,big_short,3
0.06816479400749063,H80,3
0.056179775280898875,H15,3
0.012734082397003745,H60,3
0.04044943820224719,H25,3
0,big_long,3
0.08951310861423221,H35,3
0.009363295880149813,H75,3
0.07752808988764046,H20,3
0,H91,3
0,H96,3
0,H76,3
0.043820224719101124,H95,3
0.03146067415730337,H100,3
0.03967065868263473,H38,5
0,big_mid,5
0.0093562874251497,H98,5
0.04715568862275449,H18,5
0,H49,5
0.05089820359281437,H63,5
0,H79,5
0,H14,5
0.061751497005988025,H28,5
0,H19,5
0.0654940119760479,H48,5
0,H9,5
0,H34,5
0.021706586826347306,H53,5
0.13809880239520958,H3,5
0,H44,5
0.04229041916167665,H73,5
0,H99,5
0,H64,5
0,H4,5
0,H74,5
0,H69,5
0,H54,5
0,H39,5
0,big_short,5
0.010853293413173653,H8,5
0.013847305389221557,H68,5
0,H24,5
0.1216317365269461,H33,5
0.019835329341317365,H88,5
0,H59,5
0.010479041916167664,H78,5
0.15419161676646706,H93,5
0.0093562874251497,H13,5
0.029565868263473054,H58,5
0,H29,5
0,H94,5
0,H84,5
0,big_long,5
0.014970059880239521,H43,5
0.07934131736526946,H83,5
0,H89,5
0.05950598802395209,H23,5
0.03348090758162701,H66,7
0,H27,7
0,big_mid,7
0.15135583840619812,H86,7
0,H87,7
0.017985611510791366,H16,7
0.06364139457664637,H11,7
0.06336469286109574,H1,7
0.018262313226342003,H81,7
0,H62,7
0.05727725511898174,H31,7
0.00857775318206973,H41,7
0.03790813503043719,H36,7
0,H22,7
0,H52,7
0,H7,7
0.034587714443829555,H46,7
0.01383508577753182,H6,7
0.0448256779192031,H56,7
0.027116768123962368,H26,7
0.00691754288876591,H71,7
0,H82,7
0.012728278915329275,H51,7
0.041228555617044825,H61,7
0.03818483674598783,H21,7
0,H47,7
0,big_short,7
0,H42,7
0,H77,7
0,H57,7
0,H72,7
0,H12,7
0,H2,7
0,H17,7
0,big_long,7
0,H97,7
0,H92,7
0.007194244604316547,H91,7
0.29219701162147205,H96,7
0,H67,7
0.02933038184836746,H76,7
0,H37,7
0,H32,7
0,big_mid,9
0,H65,9
0,H55,9
0,H85,9
0,H5,9
0,H45,9
0.06470959595959595,H49,9
0.01672979797979798,H79,9
0.1388888888888889,H14,9
0,H95,9
0.10227272727272728,H19,9
0,H30,9
0,H40,9
0.022095959595959596,H9,9
0.008207070707070708,H34,9
0.18371212121212122,H44,9
0,H10,9
0,H70,9
0,H90,9
0.09532828282828283,H99,9
0,H50,9
0.022727272727272728,H64,9
0.023674242424242424,H4,9
0.03535353535353535,H74,9
0.016098484848484848,H69,9
0.010416666666666666,H54,9
0.052714646464646464,H39,9
0,big_short,9
0.019255050505050504,H24,9
0,H80,9
0.04734848484848485,H59,9
0,H15,9
0,H60,9
0.08301767676767677,H29,9
0.015467171717171718,H94,9
0,H25,9
0.023042929292929292,H84,9
0,big_long,9
0,H35,9
0,H75,9
0.01893939393939394,H89,9
0,H20,9
0,H100,9
