DS_t,agent,day
0.019664328657314628,H27,1
0,H18,1
0.012525050100200401,H45,1
0.05511022044088176,H1,1
0,H62,1
0.014779559118236472,H63,1
0.004884769539078156,H79,1
0,H41,1
0.007890781563126252,H19,1
0,H48,1
0,H9,1
0.0011272545090180361,H34,1
0,H46,1
0.0156563126252505,H82,1
0.004258517034068136,H71,1
0,H69,1
0,H39,1
0.03995490981963928,H47,1
0,H8,1
0.044714428857715434,H80,1
0,H15,1
0,H59,1
0,H60,1
0,H57,1
0.0022545090180360722,H93,1
0,H25,1
0.009393787575150301,H17,1
0,H35,1
0.0045090180360721445,H43,1
0.000125250501002004,H96,1
0,H67,1
0.013652304609218437,H89,1
0.005135270541082164,H32,1
0.018036072144288578,H20,1
0.0217935871743487,H38,1
0,H66,1
0.03344188376753507,H55,1
0.0038827655310621242,H85,1
0.01503006012024048,H98,1
0,H16,1
0,H5,1
0.01753507014028056,H28,1
0.00375751503006012,H30,1
0.022670340681362724,H7,1
0.006763527054108216,H53,1
0,H50,1
0,H21,1
0,H29,1
0,H2,1
0.012650300601202405,H75,1
0,H83,1
0,H37,1
0,H76,1
0.03682364729458918,H23,1
0.04333667334669339,H65,1
0,H86,1
0.03907815631262525,H87,1
0.05373246492985972,H49,1
0.002129258517034068,H31,1
0.028181362725450902,H36,1
0.02004008016032064,H40,1
0,H52,1
0,H3,1
0,H44,1
0,H6,1
0,H70,1
0.01002004008016032,H73,1
0,H90,1
0.009519038076152305,H99,1
0,H26,1
0,H64,1
0.05197895791583167,H4,1
0.01941382765531062,H51,1
0,H74,1
0.004884769539078156,H54,1
0,big_short,1
0.009143286573146293,H42,1
0,H78,1
0,H13,1
0,H72,1
0.002004008016032064,H94,1
0,H97,1
0.006387775551102205,H92,1
0,H91,1
0.01841182364729459,H12,1
0.03795090180360722,H95,1
0,big_mid,1
0,H11,1
0,H81,1
0.0532314629258517,H14,1
0.003256513026052104,H22,1
0.02317134268537074,H10,1
0,H56,1
0.0035070140280561123,H61,1
0.043837675350701405,H68,1
0,H24,1
0.008391783567134268,H33,1
0.013401803607214428,H77,1
0,H88,1
0.034819639278557114,H58,1
0.012149298597194389,H84,1
0,big_long,1
0,H100,1
