agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5000.0,,-5000.0,0,5000.0,0.0,0.0
H1,,,,31.25,77,,,,193,-84.75,108.25,193,0.0,0.0
H2,,,,31.25,168,,,,692,-492.75,199.25,692,0.0,0.0
H3,,,,31.25,667,,,,117,581.25,698.25,117,0.0,0.0
H4,,,,31.25,92,,,,358,-234.75,123.25,358,0.0,0.0
H5,,,,31.25,333,,,,124,240.25,364.25,124,0.0,0.0
H6,,,,31.25,99,,,,105,25.25,130.25,105,0.0,0.0
H7,,,,31.25,80,,,,77,34.25,111.25,77,0.0,0.0
H8,,,,31.25,52,,,,43,40.25,83.25,43,0.0,0.0
H9,,,,31.25,18,,,,26,23.25,49.25,26,0.0,0.0
H10,,,,31.25,1,,,,141,-108.75,32.25,141,0.0,0.0
H11,,,,31.25,116,,,,50,97.25,147.25,50,0.0,0.0
H12,,,,31.25,25,,,,41,15.25,56.25,41,0.0,0.0
H13,,,,31.25,16,,,,287,-239.75,47.25,287,0.0,0.0
H14,,,,31.25,262,,,,50,243.25,293.25,50,0.0,0.0
H15,,,,31.25,25,,,,45,11.25,56.25,45,0.0,0.0
H16,,,,31.25,20,,,,35,16.25,51.25,35,0.0,0.0
H17,,,,31.25,10,,,,26,15.25,41.25,26,0.0,0.0
H18,,,,31.25,1,,,,47,-14.75,32.25,47,0.0,0.0
H19,,,,31.25,22,,,,29,24.25,53.25,29,0.0,0.0
H20,,,,31.25,4,,,,304,-268.75,35.25,304,0.0,0.0
H21,,,,31.25,279,,,,208,102.25,310.25,208,0.0,0.0
H22,,,,31.25,183,,,,91,123.25,214.25,91,0.0,0.0
H23,,,,31.25,66,,,,93,4.25,97.25,93,0.0,0.0
H24,,,,31.25,68,,,,166,-66.75,99.25,166,0.0,0.0
H25,,,,31.25,141,,,,245,-72.75,172.25,245,0.0,0.0
H26,,,,31.25,220,,,,101,150.25,251.25,101,0.0,0.0
H27,,,,31.25,76,,,,52,55.25,107.25,52,0.0,0.0
H28,,,,31.25,27,,,,56,2.25,58.25,56,0.0,0.0
H29,,,,31.25,31,,,,30,32.25,62.25,30,0.0,0.0
H30,,,,31.25,5,,,,28,8.25,36.25,28,0.0,0.0
H31,,,,31.25,3,,,,141,-106.75,34.25,141,0.0,0.0
