DS_t,agent,day
0,H38,1
0.010967918837400604,H27,1
0,big_mid,1
0.09514669591445023,H87,1
0,H98,1
0,H18,1
0.02440361941321634,H62,1
0,H63,1
0,H28,1
0.05319440636139293,H22,1
0,H48,1
0.03400054839594187,H52,1
0.02166163970386619,H7,1
0,H53,1
0,H3,1
0,H73,1
0.06663010693720867,H82,1
0.06937208664655882,H47,1
0,big_short,1
0,H8,1
0.09651768576912531,H42,1
0,H68,1
0.16232519879352894,H77,1
0,H33,1
0,H88,1
0,H78,1
0.011242116808335619,H57,1
0.03345215245407184,H72,1
0,H93,1
0,H13,1
0,H58,1
0.02166163970386619,H2,1
0.017000274197970934,H17,1
0,big_long,1
0.0490814367973677,H97,1
0.030435974773786675,H92,1
0,H43,1
0.02495201535508637,H12,1
0.05319440636139293,H67,1
0,H83,1
0.09651768576912531,H37,1
0.028242391006306555,H32,1
0,H23,1
0,H66,3
0,big_mid,3
0.025851197982345524,H65,3
0,H86,3
0.15006305170239598,H55,3
0.06084489281210593,H85,3
0,H16,3
0,H11,3
0.054539722572509455,H5,3
0.058007566204287514,H45,3
0,H1,3
0,H81,3
0,H31,3
0,H41,3
0,H36,3
0.017654476670870115,H30,3
0.11664564943253468,H40,3
0,H46,3
0.034363177805800754,H10,3
0.058638083228247165,H70,3
0,H6,3
0.012295081967213115,H90,3
0,H56,3
0.008511979823455234,H50,3
0,H26,3
0,H71,3
0,H51,3
0,H61,3
0,H21,3
0,big_short,3
0.03278688524590164,H80,3
0.07503152585119799,H15,3
0.057692307692307696,H60,3
0.01008827238335435,H25,3
0,big_long,3
0.05044136191677175,H35,3
0.03940731399747793,H75,3
0.10403530895334175,H20,3
0,H91,3
0,H96,3
0,H76,3
0.007881462799495587,H95,3
0.025220680958385876,H100,3
0.013979496738117428,H38,5
0,big_mid,5
0.02205653929791861,H98,5
0.09878844361602983,H18,5
0,H49,5
0.030133581857719787,H63,5
0,H79,5
0,H14,5
0.015532774153463809,H28,5
0,H19,5
0.04504504504504504,H48,5
0,H9,5
0,H34,5
0.02516309412861137,H53,5
0.01460080770425598,H3,5
0,H44,5
0.009630319975147562,H73,5
0,H99,5
0,H64,5
0,H4,5
0,H74,5
0,H69,5
0,H54,5
0,H39,5
0,big_short,5
0.016464740602671637,H8,5
0.03976390183286735,H68,5
0,H24,5
0.015222118670394533,H33,5
0.018949984467225848,H88,5
0,H59,5
0.014911463187325256,H78,5
0.06679092885989438,H93,5
0.07642124883504194,H13,5
0.16371543957750853,H58,5
0,H29,5
0,H94,5
0,H84,5
0,big_long,5
0.26095060577819196,H43,5
0.02050326188257223,H83,5
0,H89,5
0.03137620378999689,H23,5
0.031055900621118012,H66,7
0,H27,7
0,big_mid,7
0.030538302277432712,H86,7
0,H87,7
0.04399585921325052,H16,7
0.03674948240165631,H11,7
0.022774327122153208,H1,7
0.026915113871635612,H81,7
0,H62,7
0.09057971014492754,H31,7
0.03364389233954451,H41,7
0.06469979296066253,H36,7
0,H22,7
0,H52,7
0,H7,7
0.023809523809523808,H46,7
0.023809523809523808,H6,7
0.10351966873706005,H56,7
0.019151138716356108,H26,7
0.05434782608695652,H71,7
0,H82,7
0.08799171842650104,H51,7
0.09523809523809523,H61,7
0.03881987577639751,H21,7
0,H47,7
0,big_short,7
0,H42,7
0,H77,7
0,H57,7
0,H72,7
0,H12,7
0,H2,7
0,H17,7
0,big_long,7
0,H97,7
0,H92,7
0.07091097308488613,H91,7
0.04503105590062112,H96,7
0,H67,7
0.05641821946169772,H76,7
0,H37,7
0,H32,7
0,big_mid,9
0,H65,9
0,H55,9
0,H85,9
0,H5,9
0,H45,9
0.038926174496644296,H49,9
0.043288590604026844,H79,9
0.027516778523489934,H14,9
0,H95,9
0.010067114093959731,H19,9
0,H30,9
0,H40,9
0.16275167785234898,H9,9
0.009731543624161074,H34,9
0.040268456375838924,H44,9
0,H10,9
0,H70,9
0,H90,9
0.10335570469798658,H99,9
0,H50,9
0.01912751677852349,H64,9
0.020134228187919462,H4,9
0.027181208053691275,H74,9
0.06644295302013423,H69,9
0.11442953020134228,H54,9
0.018120805369127517,H39,9
0,big_short,9
0.01174496644295302,H24,9
0,H80,9
0.0087248322147651,H59,9
0,H15,9
0,H60,9
0.021476510067114093,H29,9
0.21610738255033557,H94,9
0,H25,9
0.021140939597315438,H84,9
0,big_long,9
0,H35,9
0,H75,9
0.019463087248322148,H89,9
0,H20,9
0,H100,9
