agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26875.0,,-26875.0,0,26875.0,0.0,0.0
H1,,,,250.0,242,,,,154,338.0,492.0,154,0.0,0.0
H2,,,,250.0,129,,,,336,43.0,379.0,336,0.0,0.0
H3,,,,250.0,311,,,,61,500.0,561.0,61,0.0,0.0
H4,,,,250.0,36,,,,60,226.0,286.0,60,0.0,0.0
H5,,,,250.0,35,,,,142,143.0,285.0,142,0.0,0.0
H6,,,,250.0,117,,,,51,316.0,367.0,51,0.0,0.0
H7,,,,250.0,26,,,,77,199.0,276.0,77,0.0,0.0
H8,,,,250.0,52,,,,57,245.0,302.0,57,0.0,0.0
H9,,,,250.0,32,,,,102,180.0,282.0,102,0.0,0.0
H10,,,,250.0,77,,,,134,193.0,327.0,134,0.0,0.0
H11,,,,250.0,109,,,,228,131.0,359.0,228,0.0,0.0
H12,,,,250.0,203,,,,367,86.0,453.0,367,0.0,0.0
H13,,,,250.0,342,,,,94,498.0,592.0,94,0.0,0.0
H14,,,,250.0,69,,,,208,111.0,319.0,208,0.0,0.0
H15,,,,250.0,183,,,,221,212.0,433.0,221,0.0,0.0
H16,,,,250.0,196,,,,136,310.0,446.0,136,0.0,0.0
H17,,,,250.0,111,,,,75,286.0,361.0,75,0.0,0.0
H18,,,,250.0,50,,,,293,7.0,300.0,293,0.0,0.0
H19,,,,250.0,268,,,,488,30.0,518.0,488,0.0,0.0
H20,,,,250.0,463,,,,140,573.0,713.0,140,0.0,0.0
H21,,,,250.0,115,,,,78,287.0,365.0,78,0.0,0.0
H22,,,,250.0,53,,,,329,-26.0,303.0,329,0.0,0.0
H23,,,,250.0,304,,,,91,463.0,554.0,91,0.0,0.0
H24,,,,250.0,66,,,,158,158.0,316.0,158,0.0,0.0
H25,,,,250.0,133,,,,110,273.0,383.0,110,0.0,0.0
H26,,,,250.0,85,,,,246,89.0,335.0,246,0.0,0.0
H27,,,,250.0,221,,,,160,311.0,471.0,160,0.0,0.0
H28,,,,250.0,135,,,,248,137.0,385.0,248,0.0,0.0
H29,,,,250.0,223,,,,237,236.0,473.0,237,0.0,0.0
H30,,,,250.0,212,,,,45,417.0,462.0,45,0.0,0.0
H31,,,,250.0,20,,,,104,166.0,270.0,104,0.0,0.0
H32,,,,250.0,79,,,,109,220.0,329.0,109,0.0,0.0
H33,,,,250.0,84,,,,94,240.0,334.0,94,0.0,0.0
H34,,,,250.0,69,,,,87,232.0,319.0,87,0.0,0.0
H35,,,,250.0,62,,,,105,207.0,312.0,105,0.0,0.0
H36,,,,250.0,80,,,,111,219.0,330.0,111,0.0,0.0
H37,,,,250.0,86,,,,55,281.0,336.0,55,0.0,0.0
H38,,,,250.0,30,,,,41,239.0,280.0,41,0.0,0.0
H39,,,,250.0,16,,,,49,217.0,266.0,49,0.0,0.0
H40,,,,250.0,24,,,,130,144.0,274.0,130,0.0,0.0
H41,,,,250.0,105,,,,93,262.0,355.0,93,0.0,0.0
H42,,,,250.0,68,,,,87,231.0,318.0,87,0.0,0.0
H43,,,,250.0,62,,,,226,86.0,312.0,226,0.0,0.0
H44,,,,250.0,201,,,,49,402.0,451.0,49,0.0,0.0
H45,,,,250.0,24,,,,126,148.0,274.0,126,0.0,0.0
H46,,,,250.0,101,,,,178,173.0,351.0,178,0.0,0.0
H47,,,,250.0,153,,,,269,134.0,403.0,269,0.0,0.0
H48,,,,250.0,244,,,,125,369.0,494.0,125,0.0,0.0
H49,,,,250.0,100,,,,137,213.0,350.0,137,0.0,0.0
H50,,,,250.0,112,,,,263,99.0,362.0,263,0.0,0.0
H51,,,,250.0,238,,,,118,370.0,488.0,118,0.0,0.0
H52,,,,250.0,93,,,,76,267.0,343.0,76,0.0,0.0
H53,,,,250.0,51,,,,322,-21.0,301.0,322,0.0,0.0
H54,,,,250.0,297,,,,55,492.0,547.0,55,0.0,0.0
H55,,,,250.0,30,,,,71,209.0,280.0,71,0.0,0.0
H56,,,,250.0,46,,,,186,110.0,296.0,186,0.0,0.0
H57,,,,250.0,161,,,,67,344.0,411.0,67,0.0,0.0
H58,,,,250.0,42,,,,153,139.0,292.0,153,0.0,0.0
H59,,,,250.0,128,,,,161,217.0,378.0,161,0.0,0.0
H60,,,,250.0,136,,,,126,260.0,386.0,126,0.0,0.0
H61,,,,250.0,101,,,,72,279.0,351.0,72,0.0,0.0
H62,,,,250.0,47,,,,131,166.0,297.0,131,0.0,0.0
H63,,,,250.0,106,,,,262,94.0,356.0,262,0.0,0.0
H64,,,,250.0,237,,,,76,411.0,487.0,76,0.0,0.0
H65,,,,250.0,51,,,,117,184.0,301.0,117,0.0,0.0
H66,,,,250.0,92,,,,240,102.0,342.0,240,0.0,0.0
H67,,,,250.0,215,,,,55,410.0,465.0,55,0.0,0.0
H68,,,,250.0,30,,,,118,162.0,280.0,118,0.0,0.0
H69,,,,250.0,93,,,,91,252.0,343.0,91,0.0,0.0
H70,,,,250.0,66,,,,159,157.0,316.0,159,0.0,0.0
H71,,,,250.0,134,,,,76,308.0,384.0,76,0.0,0.0
H72,,,,250.0,51,,,,167,134.0,301.0,167,0.0,0.0
H73,,,,250.0,142,,,,121,271.0,392.0,121,0.0,0.0
H74,,,,250.0,96,,,,140,206.0,346.0,140,0.0,0.0
H75,,,,250.0,115,,,,112,253.0,365.0,112,0.0,0.0
H76,,,,250.0,87,,,,155,182.0,337.0,155,0.0,0.0
H77,,,,250.0,130,,,,160,220.0,380.0,160,0.0,0.0
H78,,,,250.0,135,,,,42,343.0,385.0,42,0.0,0.0
H79,,,,250.0,17,,,,331,-64.0,267.0,331,0.0,0.0
H80,,,,250.0,306,,,,318,238.0,556.0,318,0.0,0.0
H81,,,,250.0,293,,,,220,323.0,543.0,220,0.0,0.0
H82,,,,250.0,195,,,,419,26.0,445.0,419,0.0,0.0
H83,,,,250.0,394,,,,142,502.0,644.0,142,0.0,0.0
H84,,,,250.0,117,,,,146,221.0,367.0,146,0.0,0.0
H85,,,,250.0,121,,,,72,299.0,371.0,72,0.0,0.0
H86,,,,250.0,47,,,,51,246.0,297.0,51,0.0,0.0
H87,,,,250.0,26,,,,71,205.0,276.0,71,0.0,0.0
H88,,,,250.0,46,,,,55,241.0,296.0,55,0.0,0.0
H89,,,,250.0,30,,,,239,41.0,280.0,239,0.0,0.0
H90,,,,250.0,214,,,,175,289.0,464.0,175,0.0,0.0
H91,,,,250.0,150,,,,220,180.0,400.0,220,0.0,0.0
H92,,,,250.0,195,,,,172,273.0,445.0,172,0.0,0.0
H93,,,,250.0,147,,,,132,265.0,397.0,132,0.0,0.0
H94,,,,250.0,107,,,,148,209.0,357.0,148,0.0,0.0
H95,,,,250.0,123,,,,153,220.0,373.0,153,0.0,0.0
H96,,,,250.0,128,,,,128,250.0,378.0,128,0.0,0.0
H97,,,,250.0,103,,,,121,232.0,353.0,121,0.0,0.0
H98,,,,250.0,96,,,,97,249.0,346.0,97,0.0,0.0
H99,,,,250.0,72,,,,78,244.0,322.0,78,0.0,0.0
H100,,,,250.0,53,,,,267,36.0,303.0,267,0.0,0.0
big_short,,,,625.0,850,,,,,1475.0,1475.0,0,0.0,0.0
big_mid,,,,625.0,825,,,,,1450.0,1450.0,0,0.0,0.0
big_long,,,,625.0,825,,,,,1450.0,1450.0,0,0.0,0.0
SYSTEM,,,,26875.0,14948,,,26875.0,14948,0,41823.0,41823.0,0.0,0.0
SYSTEM,system,System Total,41823.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,41823.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
