agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,51875.0,,-51875.0,0,51875.0,0.0,0.0
H1,,,,457.0,,,,,,457.0,457.0,0,0.0,0.0
H2,,,,485.0,,,,,,485.0,485.0,0,0.0,0.0
H3,,,,508.0,,,,,41,467.0,508.0,41,0.0,0.0
H4,,,,500.0,16,,,,405,111.0,516.0,405,0.0,0.0
H5,,,,500.0,380,,,,116,764.0,880.0,116,0.0,0.0
H6,,,,500.0,91,,,,129,462.0,591.0,129,0.0,0.0
H7,,,,500.0,104,,,,1082,-478.0,604.0,1082,0.0,0.0
H8,,,,500.0,1057,,,,25,1532.0,1557.0,25,0.0,0.0
H9,,,,491.0,0,,,,25,466.0,491.0,25,0.0,0.0
H10,,,,443.0,,,,,,443.0,443.0,0,0.0,0.0
H11,,,,505.0,,,,,,505.0,505.0,0,0.0,0.0
H12,,,,380.0,,,,,,380.0,380.0,0,0.0,0.0
H13,,,,606.0,,,,,769,-163.0,606.0,769,0.0,0.0
H14,,,,500.0,744,,,,25,1219.0,1244.0,25,0.0,0.0
H15,,,,500.0,0,,,,77,423.0,500.0,77,0.0,0.0
H16,,,,500.0,52,,,,540,12.0,552.0,540,0.0,0.0
H17,,,,500.0,515,,,,347,668.0,1015.0,347,0.0,0.0
H18,,,,500.0,322,,,,34,788.0,822.0,34,0.0,0.0
H19,,,,439.0,9,,,,25,423.0,448.0,25,0.0,0.0
H20,,,,139.0,,,,,,139.0,139.0,0,0.0,0.0
H21,,,,784.0,,,,,,784.0,784.0,0,0.0,0.0
H22,,,,563.0,,,,,,563.0,563.0,0,0.0,0.0
H23,,,,500.0,,,,,27,473.0,500.0,27,0.0,0.0
H24,,,,500.0,2,,,,127,375.0,502.0,127,0.0,0.0
H25,,,,500.0,102,,,,262,340.0,602.0,262,0.0,0.0
H26,,,,500.0,237,,,,25,712.0,737.0,25,0.0,0.0
H27,,,,500.0,0,,,,112,388.0,500.0,112,0.0,0.0
H28,,,,500.0,87,,,,712,-125.0,587.0,712,0.0,0.0
H29,,,,214.0,687,,,,25,876.0,901.0,25,0.0,0.0
H30,,,,691.0,,,,,,691.0,691.0,0,0.0,0.0
H31,,,,421.0,,,,,,421.0,421.0,0,0.0,0.0
H32,,,,412.0,,,,,,412.0,412.0,0,0.0,0.0
H33,,,,687.0,,,,,25,662.0,687.0,25,0.0,0.0
H34,,,,500.0,0,,,,119,381.0,500.0,119,0.0,0.0
H35,,,,500.0,94,,,,535,59.0,594.0,535,0.0,0.0
H36,,,,500.0,510,,,,25,985.0,1010.0,25,0.0,0.0
H37,,,,500.0,0,,,,48,452.0,500.0,48,0.0,0.0
H38,,,,500.0,23,,,,70,453.0,523.0,70,0.0,0.0
H39,,,,450.0,45,,,,25,470.0,495.0,25,0.0,0.0
H40,,,,493.0,,,,,,493.0,493.0,0,0.0,0.0
H41,,,,507.0,,,,,,507.0,507.0,0,0.0,0.0
H42,,,,223.0,,,,,,223.0,223.0,0,0.0,0.0
H43,,,,752.0,,,,,76,676.0,752.0,76,0.0,0.0
H44,,,,500.0,51,,,,203,348.0,551.0,203,0.0,0.0
H45,,,,500.0,178,,,,25,653.0,678.0,25,0.0,0.0
H46,,,,500.0,0,,,,25,475.0,500.0,25,0.0,0.0
H47,,,,500.0,0,,,,26,474.0,500.0,26,0.0,0.0
H48,,,,500.0,1,,,,31,470.0,501.0,31,0.0,0.0
H49,,,,478.0,6,,,,25,459.0,484.0,25,0.0,0.0
H50,,,,116.0,,,,,,116.0,116.0,0,0.0,0.0
H51,,,,856.0,,,,,,856.0,856.0,0,0.0,0.0
H52,,,,418.0,,,,,,418.0,418.0,0,0.0,0.0
H53,,,,557.0,,,,,212,345.0,557.0,212,0.0,0.0
H54,,,,500.0,187,,,,405,282.0,687.0,405,0.0,0.0
H55,,,,500.0,380,,,,32,848.0,880.0,32,0.0,0.0
H56,,,,500.0,7,,,,32,475.0,507.0,32,0.0,0.0
H57,,,,500.0,7,,,,76,431.0,507.0,76,0.0,0.0
H58,,,,500.0,51,,,,89,462.0,551.0,89,0.0,0.0
H59,,,,500.0,64,,,,734,-170.0,564.0,734,0.0,0.0
H60,,,,397.0,709,,,,,1106.0,1106.0,0,0.0,0.0
H61,,,,320.0,,,,,,320.0,320.0,0,0.0,0.0
H62,,,,597.0,,,,,,597.0,597.0,0,0.0,0.0
H63,,,,611.0,,,,,63,548.0,611.0,63,0.0,0.0
H64,,,,500.0,38,,,,479,59.0,538.0,479,0.0,0.0
H65,,,,500.0,454,,,,27,927.0,954.0,27,0.0,0.0
H66,,,,500.0,2,,,,582,-80.0,502.0,582,0.0,0.0
H67,,,,500.0,557,,,,222,835.0,1057.0,222,0.0,0.0
H68,,,,500.0,197,,,,40,657.0,697.0,40,0.0,0.0
H69,,,,500.0,15,,,,227,288.0,515.0,227,0.0,0.0
H70,,,,391.0,202,,,,,593.0,593.0,0,0.0,0.0
H71,,,,559.0,,,,,,559.0,559.0,0,0.0,0.0
H72,,,,448.0,,,,,,448.0,448.0,0,0.0,0.0
H73,,,,527.0,,,,,53,474.0,527.0,53,0.0,0.0
H74,,,,500.0,28,,,,35,493.0,528.0,35,0.0,0.0
H75,,,,500.0,10,,,,210,300.0,510.0,210,0.0,0.0
H76,,,,500.0,185,,,,119,566.0,685.0,119,0.0,0.0
H77,,,,500.0,94,,,,25,569.0,594.0,25,0.0,0.0
H78,,,,500.0,0,,,,76,424.0,500.0,76,0.0,0.0
H79,,,,500.0,51,,,,26,525.0,551.0,26,0.0,0.0
H80,,,,475.0,1,,,,,476.0,476.0,0,0.0,0.0
H81,,,,474.0,,,,,,474.0,474.0,0,0.0,0.0
