agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,51875.0,-51875.0,0,51875.0,0.0,0.0
H1,,,,460.0,,,,460.0,460.0,0,0.0,0.0
H2,,,,484.0,,,,484.0,484.0,0,0.0,0.0
H3,,,,246.0,,,,246.0,246.0,0,0.0,0.0
H4,,,,546.0,,,,546.0,546.0,0,0.0,0.0
H5,,,,411.0,,,,411.0,411.0,0,0.0,0.0
H6,,,,561.0,,,,561.0,561.0,0,0.0,0.0
H7,,,,448.0,,,,448.0,448.0,0,0.0,0.0
H8,,,,605.0,,,,605.0,605.0,0,0.0,0.0
H9,,,,471.0,,,,471.0,471.0,0,0.0,0.0
H10,,,,412.0,,,,412.0,412.0,0,0.0,0.0
H11,,,,423.0,,,,423.0,423.0,0,0.0,0.0
H12,,,,500.0,,,,500.0,500.0,0,0.0,0.0
H13,,,,510.0,,,,510.0,510.0,0,0.0,0.0
H14,,,,462.0,,,,462.0,462.0,0,0.0,0.0
H15,,,,475.0,,,,475.0,475.0,0,0.0,0.0
H16,,,,569.0,,,,569.0,569.0,0,0.0,0.0
H17,,,,360.0,,,,360.0,360.0,0,0.0,0.0
H18,,,,490.0,,,,490.0,490.0,0,0.0,0.0
H19,,,,516.0,,,,516.0,516.0,0,0.0,0.0
H20,,,,465.0,,,,465.0,465.0,0,0.0,0.0
H21,,,,401.0,,,,401.0,401.0,0,0.0,0.0
H22,,,,517.0,,,,517.0,517.0,0,0.0,0.0
H23,,,,574.0,,,,574.0,574.0,0,0.0,0.0
H24,,,,424.0,,,,424.0,424.0,0,0.0,0.0
H25,,,,480.0,,,,480.0,480.0,0,0.0,0.0
H26,,,,499.0,,,,499.0,499.0,0,0.0,0.0
H27,,,,290.0,,,,290.0,290.0,0,0.0,0.0
H28,,,,686.0,,,,686.0,686.0,0,0.0,0.0
H29,,,,294.0,,,,294.0,294.0,0,0.0,0.0
H30,,,,608.0,,,,608.0,608.0,0,0.0,0.0
H31,,,,523.0,,,,523.0,523.0,0,0.0,0.0
H32,,,,482.0,,,,482.0,482.0,0,0.0,0.0
H33,,,,262.0,,,,262.0,262.0,0,0.0,0.0
H34,,,,191.0,,,,191.0,191.0,0,0.0,0.0
H35,,,,869.0,,,,869.0,869.0,0,0.0,0.0
H36,,,,493.0,,,,493.0,493.0,0,0.0,0.0
H37,,,,464.0,,,,464.0,464.0,0,0.0,0.0
H38,,,,477.0,,,,477.0,477.0,0,0.0,0.0
H39,,,,538.0,,,,538.0,538.0,0,0.0,0.0
H40,,,,474.0,,,,474.0,474.0,0,0.0,0.0
H41,,,,265.0,,,,265.0,265.0,0,0.0,0.0
H42,,,,573.0,,,,573.0,573.0,0,0.0,0.0
H43,,,,560.0,,,,560.0,560.0,0,0.0,0.0
H44,,,,455.0,,,,455.0,455.0,0,0.0,0.0
H45,,,,464.0,,,,464.0,464.0,0,0.0,0.0
H46,,,,524.0,,,,524.0,524.0,0,0.0,0.0
H47,,,,433.0,,,,433.0,433.0,0,0.0,0.0
H48,,,,463.0,,,,463.0,463.0,0,0.0,0.0
H49,,,,445.0,,,,445.0,445.0,0,0.0,0.0
H50,,,,584.0,,,,584.0,584.0,0,0.0,0.0
H51,,,,497.0,,,,497.0,497.0,0,0.0,0.0
H52,,,,347.0,,,,347.0,347.0,0,0.0,0.0
H53,,,,426.0,,,,426.0,426.0,0,0.0,0.0
H54,,,,463.0,,,,463.0,463.0,0,0.0,0.0
H55,,,,436.0,,,,436.0,436.0,0,0.0,0.0
H56,,,,452.0,,,,452.0,452.0,0,0.0,0.0
H57,,,,403.0,,,,403.0,403.0,0,0.0,0.0
H58,,,,656.0,,,,656.0,656.0,0,0.0,0.0
H59,,,,428.0,,,,428.0,428.0,0,0.0,0.0
