agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14375.0,,-14375.0,0,14375.0,0.0,0.0
H1,,,,125.0,48,,,,488,-315.0,173.0,488,0.0,0.0
H2,,,,52.0,463,,,,25,490.0,515.0,25,0.0,0.0
H3,,,,198.0,,,,,177,21.0,198.0,177,0.0,0.0
H4,,,,125.0,152,,,,184,93.0,277.0,184,0.0,0.0
H5,,,,125.0,159,,,,54,230.0,284.0,54,0.0,0.0
H6,,,,125.0,29,,,,34,120.0,154.0,34,0.0,0.0
H7,,,,15.0,9,,,,25,-1.0,24.0,25,0.0,0.0
H8,,,,235.0,,,,,40,195.0,235.0,40,0.0,0.0
H9,,,,125.0,15,,,,82,58.0,140.0,82,0.0,0.0
H10,,,,125.0,57,,,,289,-107.0,182.0,289,0.0,0.0
H11,,,,125.0,264,,,,271,118.0,389.0,271,0.0,0.0
H12,,,,110.0,246,,,,25,331.0,356.0,25,0.0,0.0
H13,,,,140.0,,,,,35,105.0,140.0,35,0.0,0.0
H14,,,,125.0,10,,,,55,80.0,135.0,55,0.0,0.0
H15,,,,125.0,30,,,,236,-81.0,155.0,236,0.0,0.0
H16,,,,125.0,211,,,,28,308.0,336.0,28,0.0,0.0
H17,,,,95.0,3,,,,25,73.0,98.0,25,0.0,0.0
H18,,,,155.0,,,,,38,117.0,155.0,38,0.0,0.0
H19,,,,125.0,13,,,,41,97.0,138.0,41,0.0,0.0
H20,,,,125.0,16,,,,113,28.0,141.0,113,0.0,0.0
H21,,,,125.0,88,,,,49,164.0,213.0,49,0.0,0.0
H22,,,,62.0,24,,,,25,61.0,86.0,25,0.0,0.0
H23,,,,188.0,,,,,183,5.0,188.0,183,0.0,0.0
H24,,,,125.0,158,,,,179,104.0,283.0,179,0.0,0.0
H25,,,,125.0,154,,,,89,190.0,279.0,89,0.0,0.0
H26,,,,125.0,64,,,,210,-21.0,189.0,210,0.0,0.0
H27,,,,24.0,185,,,,25,184.0,209.0,25,0.0,0.0
H28,,,,226.0,,,,,235,-9.0,226.0,235,0.0,0.0
