DS_t,agent,day
0,H38,1
0.0485362095531587,H27,1
0,big_mid,1
0.0450693374422188,H87,1
0,H98,1
0,H18,1
0.05161787365177196,H62,1
0,H63,1
0,H28,1
0.03389830508474576,H22,1
0,H48,1
0.06510015408320494,H52,1
0.052003081664098616,H7,1
0,H53,1
0,H3,1
0,H73,1
0.046610169491525424,H82,1
0.022727272727272728,H47,1
0,big_short,1
0,H8,1
0.0662557781201849,H42,1
0,H68,1
0.04930662557781202,H77,1
0,H33,1
0,H88,1
0,H78,1
0.04776579352850539,H57,1
0.045839753466872114,H72,1
0,H93,1
0,H13,1
0,H58,1
0.03775038520801233,H2,1
0.0211864406779661,H17,1
0,big_long,1
0.14252696456086286,H97,1
0.030431432973805857,H92,1
0,H43,1
0.015408320493066256,H12,1
0.012711864406779662,H67,1
0,H83,1
0.020801232665639446,H37,1
0.14445300462249616,H32,1
0,H23,1
0.16718266253869968,H38,3
0,big_mid,3
0.05015479876160991,H98,3
0.011764705882352941,H18,3
0,H49,3
0.02631578947368421,H63,3
0,H79,3
0,H14,3
0.07275541795665634,H28,3
0,H19,3
0.011455108359133126,H48,3
0,H9,3
0,H34,3
0.011145510835913313,H53,3
0.05479876160990712,H3,3
0,H44,3
0.03869969040247678,H73,3
0,H99,3
0,H64,3
0,H4,3
0,H74,3
0,H69,3
0,H54,3
0,H39,3
0,big_short,3
0.01238390092879257,H8,3
0.029411764705882353,H68,3
0,H24,3
0.043343653250773995,H33,3
0.15356037151702787,H88,3
0,H59,3
0.04613003095975232,H78,3
0.07058823529411765,H93,3
0.010835913312693499,H13,3
0.06253869969040247,H58,3
0,H29,3
0,H94,3
0,H84,3
0,big_long,3
0.020743034055727555,H43,3
0.04953560371517028,H83,3
0,H89,3
0.056656346749226004,H23,3
0,big_mid,5
0,H65,5
0,H55,5
0,H85,5
0,H5,5
0,H45,5
0.13501238645747315,H49,5
0.033856317093311314,H79,5
0.022708505367464906,H14,5
0,H95,5
0.016928158546655657,H19,5
0,H30,5
0,H40,5
0.033856317093311314,H9,5
0.042113955408753095,H34,5
0.04252683732452518,H44,5
0,H10,5
0,H70,5
0,H90,5
0.030966143682906688,H99,5
0,H50,5
0.09496284062758051,H64,5
0.07597027250206441,H4,5
0.05821635012386457,H74,5
0.012386457473162676,H69,5
0.042939719240297276,H54,5
0.1180842279108175,H39,5
0,big_short,5
0.07390586292320396,H24,5
0,H80,5
0.07142857142857142,H59,5
0,H15,5
0,H60,5
0.02436003303055326,H29,5
0.011560693641618497,H94,5
0,H25,5
0.02972749793559042,H84,5
0,big_long,5
0,H35,5
0,H75,5
0.028488852188274155,H89,5
0,H20,5
0,H100,5
0,H66,7
0,big_mid,7
0.030187480139815696,H65,7
0,H86,7
0.21703209405783286,H55,7
0.051795360660946935,H85,7
0,H16,7
0,H11,7
0.017159199237368923,H5,7
0.013663806800127106,H45,7
0,H1,7
0,H81,7
0,H31,7
0,H41,7
0,H36,7
0.02542103590721322,H30,7
0.09342230695900858,H40,7
0,H46,7
0.09183349221480776,H10,7
0.04734667937718462,H70,7
0,H6,7
0.10390848427073403,H90,7
0,H56,7
0.011757229107086114,H50,7
0,H26,7
0,H71,7
0,H51,7
0,H61,7
0,H21,7
0,big_short,7
0.032411820781696854,H80,7
0.074992055926279,H15,7
0.020972354623450904,H60,7
0.028280902446774708,H25,7
0,big_long,7
0.01874801398156975,H35,7
0.017794725135049254,H75,7
0.03590721321893867,H20,7
0,H91,7
0,H96,7
0,H76,7
0.044169049888782966,H95,7
0.02319669526533206,H100,7
0.053681843732433954,H66,9
0,H27,9
0,big_mid,9
0.07054525014052838,H86,9
0,H87,9
0.007869589657110737,H16,9
0.0761663856098932,H11,9
0.13715570545250141,H1,9
0.020517144463181564,H81,9
0,H62,9
0.03625632377740304,H31,9
0.03232152894884767,H41,9
0.017987633501967398,H36,9
0,H22,9
0,H52,9
0,H7,9
0.025295109612141653,H46,9
0.00955593029792018,H6,9
0.1528948847667229,H56,9
0.05902192242833052,H26,9
0.07644744238336144,H71,9
0,H82,9
0.06351883080382237,H51,9
0.03372681281618887,H61,9
0.013771781899943788,H21,9
0,H47,9
0,big_short,9
0,H42,9
0,H77,9
0,H57,9
0,H72,9
0,H12,9
0,H2,9
0,H17,9
0,big_long,9
0,H97,9
0,H92,9
0.013771781899943788,H91,9
0.0761663856098932,H96,9
0,H67,9
0.02332771219786397,H76,9
0,H37,9
0,H32,9
