DS_t,agent,day
0,H38,1
0.018774703557312252,H27,1
0,big_mid,1
0.018280632411067192,H87,1
0,H98,1
0,H18,1
0.019268774703557312,H62,1
0,H63,1
0,H28,1
0.024209486166007904,H22,1
0,H48,1
0.03606719367588933,H52,1
0.01432806324110672,H7,1
0,H53,1
0,H3,1
0,H73,1
0.03458498023715415,H82,1
0.045454545454545456,H47,1
0,big_short,1
0,H8,1
0.012351778656126482,H42,1
0,H68,1
0.06719367588932806,H77,1
0,H33,1
0,H88,1
0,H78,1
0.14377470355731226,H57,1
0.0266798418972332,H72,1
0,H93,1
0,H13,1
0,H58,1
0.018280632411067192,H2,1
0.024209486166007904,H17,1
0,big_long,1
0.116600790513834,H97,1
0.01432806324110672,H92,1
0,H43,1
0.08794466403162056,H12,1
0.08695652173913043,H67,1
0,H83,1
0.15958498023715414,H37,1
0.031126482213438736,H32,1
0,H23,1
0.0979081929110982,H38,3
0,big_mid,3
0.03602556653108658,H98,3
0.02760023242300988,H18,3
0,H49,3
0.05461940732132481,H63,3
0,H79,3
0,H14,3
0.013073794305636257,H28,3
0,H19,3
0.04938988959907031,H48,3
0,H9,3
0,H34,3
0.03602556653108658,H53,3
0.10342823939570017,H3,3
0,H44,3
0.02789076118535735,H73,3
0,H99,3
0,H64,3
0,H4,3
0,H74,3
0,H69,3
0,H54,3
0,H39,3
0,big_short,3
0.013073794305636257,H8,3
0.0337013364323068,H68,3
0,H24,3
0.10691458454386985,H33,3
0.044160371876815804,H88,3
0,H59,3
0.021208599651365484,H78,3
0.06478791400348634,H93,3
0.024985473561882625,H13,3
0.009296920395119116,H58,3
0,H29,3
0,H94,3
0,H84,3
0,big_long,3
0.029924462521789656,H43,3
0.1464264962231261,H83,3
0,H89,3
0.05955839628123184,H23,3
0,big_mid,5
0,H65,5
0,H55,5
0,H85,5
0,H5,5
0,H45,5
0.04184414933600601,H49,5
0.014282134803307442,H79,5
0.03157103482836382,H14,5
0,H95,5
0.12853921322976697,H19,5
0,H30,5
0,H40,5
0.04009020295665247,H9,5
0.01202706088699574,H34,5
0.02079679278376347,H44,5
0,H10,5
0,H70,5
0,H90,5
0.08794788273615635,H99,5
0,H50,5
0.13229766975695315,H64,5
0.04835880731646204,H4,5
0.015033826108744675,H74,5
0.09045352042094713,H69,5
0.017790027562014532,H54,5
0.10523678276121273,H39,5
0,big_short,5
0.0691556001002255,H24,5
0,H80,5
0.022550739163117013,H59,5
0,H15,5
0,H60,5
0.017288900025056377,H29,5
0.014783262340265597,H94,5
0,H25,5
0.040591330493610626,H84,5
0,big_long,5
0,H35,5
0,H75,5
0.04936106239037835,H89,5
0,H20,5
0,H100,5
0,H66,7
0,big_mid,7
0.011317195850361521,H65,7
0,H86,7
0.05281358063502043,H55,7
0.08833700094309965,H85,7
0,H16,7
0,H11,7
0.019805092738132662,H5,7
0.030493555485696322,H45,7
0,H1,7
0,H81,7
0,H31,7
0,H41,7
0,H36,7
0.044325683747249295,H30,7
0.011317195850361521,H40,7
0,H46,7
0.0675888085507702,H10,7
0.013203395158755108,H70,7
0,H6,7
0.1766740018861993,H90,7
0,H56,7
0.00785916378497328,H50,7
0,H26,7
0,H71,7
0,H51,7
0,H61,7
0,H21,7
0,big_short,7
0.014146494812951903,H80,7
0.08016347060672745,H15,7
0.1804464005029865,H60,7
0.026092423766111286,H25,7
0,big_long,7
0.03583778685947815,H35,7
0.034265954102483495,H75,7
0.028921722728701665,H20,7
0,H91,7
0,H96,7
0,H76,7
0.00817353033637221,H95,7
0.06821754165356805,H100,7
0.02248162559446606,H66,9
0,H27,9
0,big_mid,9
0.04669260700389105,H86,9
0,H87,9
0.025507998270644185,H16,9
0.02204928664072633,H11,9
0.1041936878512754,H1,9
0.03156074362300043,H81,9
0,H62,9
0.125810635538262,H31,9
0.1219195849546044,H41,9
0.08646779074794639,H36,9
0,H22,9
0,H52,9
0,H7,9
0.01556420233463035,H46,9
0.041504539559014265,H6,9
0.04971897968006917,H56,9
0.023346303501945526,H26,9
0.018158236057068743,H71,9
0,H82,9
0.09900562040639861,H51,9
0.011673151750972763,H61,9
0.11284046692607004,H21,9
0,H47,9
0,big_short,9
0,H42,9
0,H77,9
0,H57,9
0,H72,9
0,H12,9
0,H2,9
0,H17,9
0,big_long,9
0,H97,9
0,H92,9
0.010808473843493299,H91,9
0.014699524427150886,H96,9
0,H67,9
0.01599654128837008,H76,9
0,H37,9
0,H32,9
