agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,51875.0,-51875.0,0,51875.0,0.0,0.0
H1,,,,492.0,,,,492.0,492.0,0,0.0,0.0
H2,,,,443.0,,,,443.0,443.0,0,0.0,0.0
H3,,,,474.0,,,,474.0,474.0,0,0.0,0.0
H4,,,,429.0,,,,429.0,429.0,0,0.0,0.0
H5,,,,490.0,,,,490.0,490.0,0,0.0,0.0
H6,,,,490.0,,,,490.0,490.0,0,0.0,0.0
H7,,,,408.0,,,,408.0,408.0,0,0.0,0.0
H8,,,,521.0,,,,521.0,521.0,0,0.0,0.0
H9,,,,385.0,,,,385.0,385.0,0,0.0,0.0
H10,,,,585.0,,,,585.0,585.0,0,0.0,0.0
H11,,,,414.0,,,,414.0,414.0,0,0.0,0.0
H12,,,,544.0,,,,544.0,544.0,0,0.0,0.0
H13,,,,477.0,,,,477.0,477.0,0,0.0,0.0
H14,,,,491.0,,,,491.0,491.0,0,0.0,0.0
H15,,,,361.0,,,,361.0,361.0,0,0.0,0.0
H16,,,,572.0,,,,572.0,572.0,0,0.0,0.0
H17,,,,451.0,,,,451.0,451.0,0,0.0,0.0
H18,,,,442.0,,,,442.0,442.0,0,0.0,0.0
H19,,,,567.0,,,,567.0,567.0,0,0.0,0.0
H20,,,,423.0,,,,423.0,423.0,0,0.0,0.0
H21,,,,483.0,,,,483.0,483.0,0,0.0,0.0
H22,,,,304.0,,,,304.0,304.0,0,0.0,0.0
H23,,,,674.0,,,,674.0,674.0,0,0.0,0.0
H24,,,,352.0,,,,352.0,352.0,0,0.0,0.0
H25,,,,583.0,,,,583.0,583.0,0,0.0,0.0
H26,,,,429.0,,,,429.0,429.0,0,0.0,0.0
H27,,,,570.0,,,,570.0,570.0,0,0.0,0.0
H28,,,,443.0,,,,443.0,443.0,0,0.0,0.0
H29,,,,349.0,,,,349.0,349.0,0,0.0,0.0
H30,,,,611.0,,,,611.0,611.0,0,0.0,0.0
H31,,,,466.0,,,,466.0,466.0,0,0.0,0.0
H32,,,,392.0,,,,392.0,392.0,0,0.0,0.0
H33,,,,555.0,,,,555.0,555.0,0,0.0,0.0
H34,,,,422.0,,,,422.0,422.0,0,0.0,0.0
H35,,,,544.0,,,,544.0,544.0,0,0.0,0.0
H36,,,,269.0,,,,269.0,269.0,0,0.0,0.0
