DS_t,agent,day
0.0055389484789871634,H27,1
0.03006857745735889,H18,1
0.0022859152452962897,H45,1
0.010726217689467205,H1,1
0.001670476525408827,H62,1
0.004571830490592579,H63,1
0.0313873747142606,H79,1
0.02083699665904695,H41,1
0,H19,1
0.07323720766660806,H48,1
0.005099349393353262,H9,1
0,H34,1
0.004220151222085458,H46,1
0,H82,1
0.008704061895551257,H71,1
0,H69,1
0.005363108844733603,H39,1
0.0005275189027606822,H47,1
0.0026375945138034113,H8,1
0,H80,1
0,H15,1
0.0034288728679444345,H59,1
0.011077896957974327,H60,1
0,H57,1
0,H93,1
0,H25,1
0.0022859152452962897,H17,1
0.045718304905925794,H35,1
0.0012308774397749253,H43,1
0.012660453666256373,H96,1
0.00237383506242307,H67,1
0,H89,1
0,H32,1
0.0021979954281695093,H20,1
0,H38,1
0.0021979954281695093,H66,1
0,H55,1
0.00017583963425356076,H85,1
0.03059609636011957,H98,1
0.0020221557939159485,H16,1
0.002110075611042729,H5,1
0,H28,1
0,H30,1
0.0021979954281695093,H7,1
0.0021979954281695093,H53,1
0,H50,1
0.012132934763495692,H21,1
0.035871285387726395,H29,1
0,H2,1
0,H75,1
0.0022859152452962897,H83,1
0,H37,1
0.0021979954281695093,H76,1
0.012660453666256373,H23,1
0.0017583963425356075,H65,1
0.0022859152452962897,H86,1
0.002110075611042729,H87,1
0.14577105679620186,H49,1
0.05222437137330754,H31,1
0,H36,1
0,H40,1
0.0019342359767891683,H52,1
0,H3,1
0.0020221557939159485,H44,1
0.0021979954281695093,H6,1
0.002110075611042729,H70,1
0,H73,1
0.0021979954281695093,H90,1
0,H99,1
0.0022859152452962897,H26,1
8.791981712678038e-05,H64,1
0.001670476525408827,H4,1
0.0014946368911552665,H51,1
0.005099349393353262,H74,1
0.008791981712678037,H54,1
0,big_short,1
0,H42,1
0.0009671179883945841,H78,1
0.043432389660629504,H13,1
0.0322665728855284,H72,1
0.02505714788113241,H94,1
0,H97,1
0.017583963425356074,H92,1
0.0021979954281695093,H91,1
0.0021979954281695093,H12,1
0,H95,1
0,big_mid,1
0,H11,1
0.00465975030771936,H81,1
0.015034288728679445,H14,1
0,H22,1
0.04220151222085458,H10,1
0.03842096008440302,H56,1
0,H61,1
0.004923509759099701,H68,1
0.09055741164058378,H24,1
0.025145067698259187,H33,1
0.004571830490592579,H77,1
0.005802707930367505,H88,1
0.010110778969579744,H58,1
0.004132231404958678,H84,1
0,big_long,1
0.0021979954281695093,H100,1
