agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26875.0,,-26875.0,0,26875.0,0.0,0.0
H1,,,,250.0,112,,,,102,260.0,362.0,102,0.0,0.0
H2,,,,74.0,77,,,,,151.0,151.0,0,0.0,0.0
H3,,,,401.0,,,,,171,230.0,401.0,171,0.0,0.0
H4,,,,250.0,146,,,,139,257.0,396.0,139,0.0,0.0
H5,,,,24.0,114,,,,,138.0,138.0,0,0.0,0.0
H6,,,,451.0,,,,,112,339.0,451.0,112,0.0,0.0
H7,,,,250.0,87,,,,181,156.0,337.0,181,0.0,0.0
H8,,,,10.0,156,,,,,166.0,166.0,0,0.0,0.0
H9,,,,465.0,,,,,207,258.0,465.0,207,0.0,0.0
H10,,,,250.0,182,,,,147,285.0,432.0,147,0.0,0.0
H11,,,,250.0,122,,,,103,269.0,372.0,103,0.0,0.0
H12,,,,115.0,78,,,,,193.0,193.0,0,0.0,0.0
H13,,,,360.0,,,,,79,281.0,360.0,79,0.0,0.0
H14,,,,250.0,54,,,,222,82.0,304.0,222,0.0,0.0
H15,,,,38.0,197,,,,,235.0,235.0,0,0.0,0.0
H16,,,,437.0,,,,,206,231.0,437.0,206,0.0,0.0
H17,,,,250.0,181,,,,200,231.0,431.0,200,0.0,0.0
H18,,,,137.0,175,,,,,312.0,312.0,0,0.0,0.0
H19,,,,338.0,,,,,127,211.0,338.0,127,0.0,0.0
H20,,,,250.0,102,,,,119,233.0,352.0,119,0.0,0.0
H21,,,,250.0,94,,,,152,192.0,344.0,152,0.0,0.0
H22,,,,178.0,127,,,,,305.0,305.0,0,0.0,0.0
H23,,,,297.0,,,,,184,113.0,297.0,184,0.0,0.0
H24,,,,250.0,159,,,,101,308.0,409.0,101,0.0,0.0
H25,,,,119.0,76,,,,,195.0,195.0,0,0.0,0.0
H26,,,,356.0,,,,,156,200.0,356.0,156,0.0,0.0
H27,,,,250.0,131,,,,156,225.0,381.0,156,0.0,0.0
H28,,,,161.0,131,,,,,292.0,292.0,0,0.0,0.0
H29,,,,314.0,,,,,181,133.0,314.0,181,0.0,0.0
H30,,,,250.0,156,,,,171,235.0,406.0,171,0.0,0.0
H31,,,,250.0,146,,,,128,268.0,396.0,128,0.0,0.0
H32,,,,133.0,103,,,,,236.0,236.0,0,0.0,0.0
H33,,,,342.0,,,,,184,158.0,342.0,184,0.0,0.0
H34,,,,250.0,159,,,,145,264.0,409.0,145,0.0,0.0
H35,,,,119.0,120,,,,,239.0,239.0,0,0.0,0.0
H36,,,,356.0,,,,,94,262.0,356.0,94,0.0,0.0
