agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8125.0,,-8125.0,0,8125.0,0.0,0.0
H1,,,,62.5,156,,,,101,117.5,218.5,101,0.0,0.0
H2,,,,62.5,76,,,,187,-48.5,138.5,187,0.0,0.0
H3,,,,62.5,162,,,,93,131.5,224.5,93,0.0,0.0
H4,,,,62.5,68,,,,123,7.5,130.5,123,0.0,0.0
H5,,,,62.5,98,,,,338,-177.5,160.5,338,0.0,0.0
H6,,,,62.5,313,,,,187,188.5,375.5,187,0.0,0.0
H7,,,,62.5,162,,,,91,133.5,224.5,91,0.0,0.0
H8,,,,62.5,66,,,,173,-44.5,128.5,173,0.0,0.0
H9,,,,62.5,148,,,,107,103.5,210.5,107,0.0,0.0
H10,,,,62.5,82,,,,111,33.5,144.5,111,0.0,0.0
H11,,,,62.5,86,,,,90,58.5,148.5,90,0.0,0.0
H12,,,,62.5,65,,,,132,-4.5,127.5,132,0.0,0.0
H13,,,,62.5,107,,,,191,-21.5,169.5,191,0.0,0.0
H14,,,,62.5,166,,,,163,65.5,228.5,163,0.0,0.0
H15,,,,62.5,138,,,,191,9.5,200.5,191,0.0,0.0
H16,,,,62.5,166,,,,214,14.5,228.5,214,0.0,0.0
H17,,,,62.5,189,,,,148,103.5,251.5,148,0.0,0.0
H18,,,,62.5,123,,,,182,3.5,185.5,182,0.0,0.0
H19,,,,62.5,157,,,,108,111.5,219.5,108,0.0,0.0
H20,,,,62.5,83,,,,171,-25.5,145.5,171,0.0,0.0
H21,,,,62.5,146,,,,49,159.5,208.5,49,0.0,0.0
H22,,,,62.5,24,,,,102,-15.5,86.5,102,0.0,0.0
H23,,,,62.5,77,,,,202,-62.5,139.5,202,0.0,0.0
H24,,,,62.5,177,,,,95,144.5,239.5,95,0.0,0.0
H25,,,,62.5,70,,,,170,-37.5,132.5,170,0.0,0.0
