DS_t,agent,day
0,big_mid,1
0,big_short,1
0.015832805573147563,H42,1
0.015832805573147563,H62,1
0,H33,1
0,H63,1
0,H93,1
0.015832805573147563,H72,1
0.04179860671310956,H22,1
0,H13,1
0.015832805573147563,H52,1
0.5528815706143129,H2,1
0,big_long,1
0,H53,1
0,H3,1
0.04876504116529449,H92,1
0,H43,1
0.06966434452184928,H12,1
0,H83,1
0,H73,1
0.2045598480050665,H32,1
0,H23,1
0.018999366687777075,H82,1
0,H26,2
0,H66,2
0,big_mid,2
0.37544696066746125,H65,2
0,H86,2
0.057210965435041714,H55,2
0.029797377830750895,H85,2
0,H16,2
0,big_short,2
0.03098927294398093,H5,2
0.03098927294398093,H45,2
0.03814064362336114,H15,2
0,H36,2
0.15971394517282478,H25,2
0,big_long,2
0.029797377830750895,H35,2
0.05601907032181168,H75,2
0,H46,2
0,H6,2
0,H96,2
0,H76,2
0.19189511323003575,H95,2
0,H56,2
0.10019455252918288,H38,3
0,big_mid,3
0.0943579766536965,H98,3
0,H69,3
0.3428988326848249,H18,3
0,H39,3
0.015077821011673152,H8,3
0,big_short,3
0.03939688715953307,H68,3
0,H49,3
0.036478599221789886,H88,3
0,H59,3
0,H79,3
0.04669260700389105,H78,3
0.0306420233463035,H28,3
0.052042801556420236,H58,3
0,H19,3
0.24221789883268482,H48,3
0,H29,3
0,H9,3
0,big_long,3
0,H89,3
0,H99,3
0.017692852087756547,H71,4
0,big_mid,4
0.03326256192498231,H51,4
0.09483368719037509,H61,4
0.017692852087756547,H21,4
0.09200283085633404,H11,4
0,big_short,4
0.2222222222222222,H1,4
0,H42,4
0.017692852087756547,H81,4
0,H62,4
0.4656758669497523,H31,4
0,H72,4
0.021231422505307854,H41,4
0,H22,4
0,H52,4
0,H2,4
0,big_long,4
0,H92,4
0.017692852087756547,H91,4
0,H12,4
0,H32,4
0,H82,4
0.01877133105802048,H64,5
0,big_mid,5
0.01422070534698521,H4,5
0.6808873720136519,H74,5
0,H65,5
0,H55,5
0,H85,5
0.01422070534698521,H54,5
0,big_short,5
0,H5,5
0,H45,5
0.10693970420932879,H24,5
0,H15,5
0.02901023890784983,H14,5
0.05915813424345848,H94,5
0,H25,5
0.047212741751990896,H84,5
0,big_long,5
0,H35,5
0.015358361774744027,H34,5
0,H75,5
0.01422070534698521,H44,5
0,H95,5
0,H38,6
0.01574344023323615,H27,6
0,big_mid,6
0.022740524781341108,H87,6
0,H98,6
0.21166180758017492,H47,6
0,H18,6
0,big_short,6
0,H8,6
0,H68,6
0.23673469387755103,H77,6
0,H88,6
0,H78,6
0.09271137026239067,H57,6
0,H28,6
0,H58,6
0,H48,6
0.01924198250728863,H17,6
0,big_long,6
0.014577259475218658,H7,6
0.014577259475218658,H97,6
0.045481049562682216,H37,6
0.32653061224489793,H67,6
0.03078817733990148,H50,7
0,H71,7
0,big_mid,7
0,H51,7
0,H61,7
0,H21,7
0,H11,7
0,big_short,7
0,H1,7
0.5110837438423645,H80,7
0,H81,7
0.06403940886699508,H60,7
0,H31,7
0,H41,7
0.10344827586206896,H30,7
0.05788177339901478,H40,7
0,big_long,7
0.03078817733990148,H10,7
0.03078817733990148,H70,7
0,H91,7
0.03078817733990148,H90,7
0.10960591133004927,H20,7
0.03078817733990148,H100,7
0,H64,8
0,big_mid,8
0,H4,8
0,H74,8
0,H54,8
0,big_short,8
0,H24,8
0.25715604801477376,H33,8
0.011542012927054479,H63,8
0,H14,8
0.014312096029547553,H93,8
0.011542012927054479,H13,8
0,H94,8
0,H84,8
0,big_long,8
0,H34,8
0.02585410895660203,H53,8
0.02677746999076639,H3,8
0,H44,8
0.011542012927054479,H43,8
0.1306555863342567,H83,8
0.43536472760849493,H73,8
0.0752539242843952,H23,8
0.04847207586933614,H26,9
0.045310853530031614,H66,9
0,H27,9
0,big_mid,9
0.026343519494204427,H86,9
0,H87,9
0.11275026343519494,H16,9
0,H47,9
0,big_short,9
0,H77,9
0,H57,9
0.11591148577449947,H36,9
0,H17,9
0,big_long,9
0,H7,9
0,H97,9
0.1696522655426765,H46,9
0.09694415173867228,H6,9
0.3308746048472076,H96,9
0,H67,9
0.026343519494204427,H76,9
0,H37,9
0.0273972602739726,H56,9
0,H50,10
0,big_mid,10
0.02456560814859197,H69,10
0.02396644697423607,H39,10
0,big_short,10
0.02037147992810066,H49,10
0,H80,10
0.01737567405632115,H59,10
0.016776512881965248,H79,10
0,H60,10
0.014979029358897543,H19,10
0.014979029358897543,H29,10
0,H30,10
0,H40,10
0.02037147992810066,H9,10
0,big_long,10
0,H10,10
0,H70,10
0.014979029358897543,H89,10
0,H90,10
0,H20,10
0.8316357100059916,H99,10
0,H100,10
