DS_t,agent,day
0,H38,1
0.033035714285714286,H27,1
0,big_mid,1
0.02261904761904762,H87,1
0,H98,1
0,H18,1
0.03005952380952381,H62,1
0,H63,1
0,H28,1
0.0818452380952381,H22,1
0,H48,1
0.06517857142857143,H52,1
0.03601190476190476,H7,1
0,H53,1
0,H3,1
0,H73,1
0.05476190476190476,H82,1
0.05744047619047619,H47,1
0,big_short,1
0,H8,1
0.06964285714285715,H42,1
0,H68,1
0.060714285714285714,H77,1
0,H33,1
0,H88,1
0,H78,1
0.03273809523809524,H57,1
0.0380952380952381,H72,1
0,H93,1
0,H13,1
0,H58,1
0.06220238095238095,H2,1
0.035416666666666666,H17,1
0,big_long,1
0.030952380952380953,H97,1
0.03571428571428571,H92,1
0,H43,1
0.11369047619047619,H12,1
0.0443452380952381,H67,1
0,H83,1
0.06339285714285714,H37,1
0.03214285714285714,H32,1
0,H23,1
0,H66,3
0,big_mid,3
0.046511627906976744,H65,3
0,H86,3
0.039112050739957716,H55,3
0.06448202959830866,H85,3
0,H16,3
0,H11,3
0.08491895701198027,H5,3
0.03276955602536998,H45,3
0,H1,3
0,H81,3
0,H31,3
0,H41,3
0,H36,3
0.07822410147991543,H30,3
0.041578576462297394,H40,3
0,H46,3
0.056025369978858354,H10,3
0.05179704016913319,H70,3
0,H6,3
0.04686398872445384,H90,3
0,H56,3
0.044749823819591264,H50,3
0,H26,3
0,H71,3
0,H51,3
0,H61,3
0,H21,3
0,big_short,3
0.03453136011275546,H80,3
0.07258632840028188,H15,3
0.030303030303030304,H60,3
0.04615926708949965,H25,3
0,big_long,3
0.03699788583509514,H35,3
0.06976744186046512,H75,3
0.04263565891472868,H20,3
0,H91,3
0,H96,3
0,H76,3
0.030303030303030304,H95,3
0.049682875264270614,H100,3
0.0288659793814433,H38,5
0,big_mid,5
0.023711340206185566,H98,5
0.06391752577319587,H18,5
0,H49,5
0.05017182130584193,H63,5
0,H79,5
0,H14,5
0.061855670103092786,H28,5
0,H19,5
0.06632302405498282,H48,5
0,H9,5
0,H34,5
0.07525773195876288,H53,5
0.053951890034364264,H3,5
0,H44,5
0.04776632302405498,H73,5
0,H99,5
0,H64,5
0,H4,5
0,H74,5
0,H69,5
0,H54,5
0,H39,5
0,big_short,5
0.04261168384879725,H8,5
0.054982817869415807,H68,5
0,H24,5
0.04089347079037801,H33,5
0.0429553264604811,H88,5
0,H59,5
0.06151202749140893,H78,5
0.04398625429553265,H93,5
0.057388316151202746,H13,5
0.03161512027491409,H58,5
0,H29,5
0,H94,5
0,H84,5
0,big_long,5
0.037800687285223365,H43,5
0.05326460481099656,H83,5
0,H89,5
0.061168384879725084,H23,5
0.03716814159292035,H66,7
0,H27,7
0,big_mid,7
0.04141592920353982,H86,7
0,H87,7
0.047787610619469026,H16,7
0.031150442477876107,H11,7
0.05663716814159292,H1,7
0.030796460176991152,H81,7
0,H62,7
0.06584070796460177,H31,7
0.026902654867256636,H41,7
0.03929203539823009,H36,7
0,H22,7
0,H52,7
0,H7,7
0.04991150442477876,H46,7
0.04141592920353982,H6,7
0.10513274336283186,H56,7
0.05168141592920354,H26,7
0.027964601769911505,H71,7
0,H82,7
0.04743362831858407,H51,7
0.05911504424778761,H61,7
0.06300884955752212,H21,7
0,H47,7
0,big_short,7
0,H42,7
0,H77,7
0,H57,7
0,H72,7
0,H12,7
0,H2,7
0,H17,7
0,big_long,7
0,H97,7
0,H92,7
0.04991150442477876,H91,7
0.04035398230088495,H96,7
0,H67,7
0.08707964601769912,H76,7
0,H37,7
0,H32,7
0,big_mid,9
0,H65,9
0,H55,9
0,H85,9
0,H5,9
0,H45,9
0.044444444444444446,H49,9
0.08026533996683251,H79,9
0.05870646766169154,H14,9
0,H95,9
0.06932006633499171,H19,9
0,H30,9
0,H40,9
0.03416252072968491,H9,9
0.04079601990049751,H34,9
0.05439469320066335,H44,9
0,H10,9
0,H70,9
0,H90,9
0.027197346600331674,H99,9
0,H50,9
0.05406301824212272,H64,9
0.07064676616915423,H4,9
0.028855721393034824,H74,9
0.03913764510779436,H69,9
0.05704809286898839,H54,9
0.05737976782752902,H39,9
0,big_short,9
0.03548922056384743,H24,9
0,H80,9
0.08026533996683251,H59,9
0,H15,9
0,H60,9
0.041127694859038146,H29,9
0.031177446102819237,H94,9
0,H25,9
0.07462686567164178,H84,9
0,big_long,9
0,H35,9
0,H75,9
0.020895522388059702,H89,9
0,H20,9
0,H100,9
