agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8125.0,,-8125.0,0,8125.0,0.0,0.0
H1,,,,62.5,0,,,,25,37.5,62.5,25,0.0,0.0
H2,,,,55.5,0,,,,25,30.5,55.5,25,0.0,0.0
H3,,,,69.5,,,,,91,-21.5,69.5,91,0.0,0.0
H4,,,,62.5,66,,,,613,-484.5,128.5,613,0.0,0.0
H5,,,,62.5,588,,,,359,291.5,650.5,359,0.0,0.0
H6,,,,62.5,334,,,,285,111.5,396.5,285,0.0,0.0
H7,,,,62.5,260,,,,283,39.5,322.5,283,0.0,0.0
H8,,,,62.5,258,,,,36,284.5,320.5,36,0.0,0.0
H9,,,,62.5,11,,,,209,-135.5,73.5,209,0.0,0.0
H10,,,,62.5,184,,,,25,221.5,246.5,25,0.0,0.0
H11,,,,62.5,0,,,,36,26.5,62.5,36,0.0,0.0
H12,,,,62.5,11,,,,602,-528.5,73.5,602,0.0,0.0
H13,,,,62.5,577,,,,56,583.5,639.5,56,0.0,0.0
H14,,,,62.5,31,,,,27,66.5,93.5,27,0.0,0.0
H15,,,,62.5,2,,,,25,39.5,64.5,25,0.0,0.0
H16,,,,62.5,0,,,,30,32.5,62.5,30,0.0,0.0
H17,,,,62.5,5,,,,492,-424.5,67.5,492,0.0,0.0
H18,,,,62.5,467,,,,25,504.5,529.5,25,0.0,0.0
H19,,,,62.5,0,,,,25,37.5,62.5,25,0.0,0.0
H20,,,,62.5,0,,,,68,-5.5,62.5,68,0.0,0.0
H21,,,,62.5,43,,,,25,80.5,105.5,25,0.0,0.0
H22,,,,62.5,0,,,,164,-101.5,62.5,164,0.0,0.0
H23,,,,62.5,139,,,,164,37.5,201.5,164,0.0,0.0
H24,,,,62.5,139,,,,47,154.5,201.5,47,0.0,0.0
H25,,,,62.5,22,,,,114,-29.5,84.5,114,0.0,0.0
H26,,,,62.5,89,,,,25,126.5,151.5,25,0.0,0.0
H27,,,,62.5,0,,,,25,37.5,62.5,25,0.0,0.0
H28,,,,62.5,0,,,,29,33.5,62.5,29,0.0,0.0
H29,,,,62.5,4,,,,231,-164.5,66.5,231,0.0,0.0
H30,,,,62.5,206,,,,272,-3.5,268.5,272,0.0,0.0
H31,,,,62.5,247,,,,81,228.5,309.5,81,0.0,0.0
H32,,,,62.5,56,,,,33,85.5,118.5,33,0.0,0.0
H33,,,,62.5,8,,,,48,22.5,70.5,48,0.0,0.0
H34,,,,62.5,23,,,,37,48.5,85.5,37,0.0,0.0
