agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26875.0,,-26875.0,0,26875.0,0.0,0.0
H1,,,,250.0,0,,,,97,153.0,250.0,97,0.0,0.0
H2,,,,250.0,72,,,,25,297.0,322.0,25,0.0,0.0
H3,,,,250.0,,,,,104,146.0,250.0,104,0.0,0.0
H4,,,,250.0,79,,,,351,-22.0,329.0,351,0.0,0.0
H5,,,,250.0,326,,,,60,516.0,576.0,60,0.0,0.0
H6,,,,250.0,35,,,,47,238.0,285.0,47,0.0,0.0
H7,,,,250.0,22,,,,309,-37.0,272.0,309,0.0,0.0
H8,,,,250.0,284,,,,181,353.0,534.0,181,0.0,0.0
H9,,,,250.0,156,,,,25,381.0,406.0,25,0.0,0.0
H10,,,,250.0,0,,,,142,108.0,250.0,142,0.0,0.0
H11,,,,250.0,117,,,,188,179.0,367.0,188,0.0,0.0
H12,,,,250.0,163,,,,340,73.0,413.0,340,0.0,0.0
H13,,,,250.0,315,,,,620,-55.0,565.0,620,0.0,0.0
H14,,,,250.0,595,,,,101,744.0,845.0,101,0.0,0.0
H15,,,,250.0,76,,,,160,166.0,326.0,160,0.0,0.0
H16,,,,250.0,135,,,,26,359.0,385.0,26,0.0,0.0
H17,,,,250.0,1,,,,26,225.0,251.0,26,0.0,0.0
H18,,,,250.0,1,,,,30,221.0,251.0,30,0.0,0.0
H19,,,,250.0,5,,,,122,133.0,255.0,122,0.0,0.0
H20,,,,250.0,97,,,,583,-236.0,347.0,583,0.0,0.0
H21,,,,250.0,558,,,,139,669.0,808.0,139,0.0,0.0
H22,,,,250.0,114,,,,46,318.0,364.0,46,0.0,0.0
H23,,,,250.0,21,,,,95,176.0,271.0,95,0.0,0.0
H24,,,,250.0,70,,,,33,287.0,320.0,33,0.0,0.0
H25,,,,250.0,8,,,,754,-496.0,258.0,754,0.0,0.0
H26,,,,250.0,729,,,,25,954.0,979.0,25,0.0,0.0
H27,,,,250.0,0,,,,220,30.0,250.0,220,0.0,0.0
H28,,,,250.0,195,,,,49,396.0,445.0,49,0.0,0.0
H29,,,,250.0,24,,,,81,193.0,274.0,81,0.0,0.0
H30,,,,250.0,56,,,,119,187.0,306.0,119,0.0,0.0
H31,,,,250.0,94,,,,814,-470.0,344.0,814,0.0,0.0
H32,,,,250.0,789,,,,78,961.0,1039.0,78,0.0,0.0
H33,,,,250.0,53,,,,73,230.0,303.0,73,0.0,0.0
