agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,16038.666666666666,,-16038.666666666666,0,16038.666666666666,0.0,0.0
H1,,,,1444.0,,,,,2046,-602.0,1444.0,2046,0.0,0.0
H2,,,,2016.0,,,,,6629,-4613.0,2016.0,6629,0.0,0.0
H3,,,,6141.0,,,,,1348,4793.0,6141.0,1348,0.0,0.0
H4,,,,1388.0,,,,,3565,-2177.0,1388.0,3565,0.0,0.0
H5,,,,3383.0,,,,,1410,1973.0,3383.0,1410,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,,2546,,,,,2546,2546,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,10952,,,,,10952,10952,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,16038.666666666666,14998,,,16038.666666666666,14998,0,31036.666666666668,31036.666666666668,0.0,0.0
SYSTEM,system,System Total,31036.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,31036.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
