agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,12320.0,,-12320.0,0,12320.0,0.0,0.0
H1,,,,2601.0,,,,,6131,-3530.0,2601.0,6131,0.0,0.0
H2,,,,1092,5631,,,,5681,1042,6723,5681,0.0,0.0
H3,,,,2500.0,5181,,,,500,7181.0,7681.0,500,0.0,0.0
H4,,,,2500.0,0,,,,2074,426.0,2500.0,2074,0.0,0.0
H5,,,,2377.0,1686,,,,612,3451.0,4063.0,612,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,12320.0,14998,,,12320.0,14998,0,27318.0,27318.0,0.0,0.0
SYSTEM,system,System Total,27318.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27318.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
