run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_0bddbf719a68,active,H2,PAY_1636aee70704,1,2998,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H2,PAY_4f2a3690a83e,1,500,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H5,PAY_0726f31fce66,3,3739,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H5,PAY_b07f4035b9f3,3,500,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H3,PAY_9e5bcd4ceccc,5,1862,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H3,PAY_156c4beb0699,5,500,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H1,PAY_ccf72809aa15,7,1840,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H1,PAY_66569d6ec4b7,7,500,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H4,PAY_e039afe82e26,9,2059,repaid,0,0,0,no_trade
balanced_active_0bddbf719a68,active,H4,PAY_b82baada81c7,9,500,repaid,0,0,0,no_trade
