agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15611.666666666666,,-15611.666666666666,0,15611.666666666666,0.0,0.0
H1,,,,4738.0,,,,,2059,2679.0,4738.0,2059,0.0,0.0
H2,,,,2575.0,,,,,3192,-617.0,2575.0,3192,0.0,0.0
H3,,,,1250.0,2692,,,,1060,2882.0,3942.0,1060,0.0,0.0
H4,,,,1726.0,,,,,4312,-2586.0,1726.0,4312,0.0,0.0
H5,,,,4300.0,,,,,4375,-75.0,4300.0,4375,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,,4875,,,,,4875,4875,0,0.0,0.0
big_long,,,,189.3333333333334,1060,,,,,1249.3333333333335,1249.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,5371,,,,,5371,5371,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,15611.666666666666,14998,,,15611.666666666666,14998,0,30609.666666666668,30609.666666666668,0.0,0.0
SYSTEM,system,System Total,30609.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,30609.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
