agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14773.0,,-14773.0,0,14773.0,0.0,0.0
H1,,,,5586.0,,,,,1576,4010.0,5586.0,1576,0.0,0.0
H2,,,,1149.0,306,,,,3525,-2070.0,1455.0,3525,0.0,0.0
H3,,,,3347.0,,,,,806,2541.0,3347.0,806,0.0,0.0
H4,,,,900.0,,,,,2754,-1854.0,900.0,2754,0.0,0.0
H5,,,,2541.0,,,,,6337,-3796.0,2541.0,6337,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,3025,,,,,3025,3025,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,9167,,,,,9167,9167,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,14773.0,14998,,,14773.0,14998,0,29771.0,29771.0,0.0,0.0
SYSTEM,system,System Total,29771.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29771.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
