run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_2847dcdd89d2,active,H1,PAY_bea75dff7332,1,1509,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H1,PAY_949736200727,1,500,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H2,PAY_cc6aef0f911b,1,1971,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H2,PAY_672cdb0fb3e3,1,500,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H3,PAY_e4571b737c76,1,2481,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H3,PAY_3787ba01702a,1,500,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H4,PAY_61975c5c5fd5,1,2197,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H4,PAY_8fab1a499492,1,500,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H5,PAY_a69f7a1d30c2,1,4339,repaid,0,0,0,no_trade
balanced_active_2847dcdd89d2,active,H5,PAY_c287ddbe68a5,1,500,repaid,0,0,0,no_trade
