agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,16301.0,,-16301.0,0,16301.0,0.0,0.0
H1,,,,4152.0,,,,,1647,2505.0,4152.0,1647,0.0,0.0
H2,,,,447.0,1147,,,,,1594.0,1594.0,0,0.0,0.0
H3,,,,1553.0,,,,,1217,336.0,1553.0,1217,0.0,0.0
H4,,,,1895.0,,,,,7417,-5522.0,1895.0,7417,0.0,0.0
H5,,,,7129.0,,,,,3914,3215.0,7129.0,3914,0.0,0.0
big_short,,,,,7917,,,,,7917,7917,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,,1217,,,,,1217,1217,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,3414,,,,,3414,3414,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,16301.0,14195,,,16301.0,14195,0,30496.0,30496.0,0.0,0.0
SYSTEM,system,System Total,30496.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,30496.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
