run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_2d49af5a0d9b,active,H1,PAY_2b1b02669dda,1,575,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H1,PAY_f5536f237c38,1,500,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H2,PAY_e8ea3293fd8d,1,5442,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H2,PAY_fb9e5e2d4aa3,1,500,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H3,PAY_5e4479bd4b70,1,5214,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H3,PAY_549b6fdbff3d,1,500,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H4,PAY_df15afce7cac,1,150,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H4,PAY_65d75c9d9e86,1,500,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H5,PAY_7e694f702901,1,1117,repaid,0,0,0,no_trade
balanced_active_2d49af5a0d9b,active,H5,PAY_715d2fa1ffea,1,500,repaid,0,0,0,no_trade
