agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18586.666666666668,,-18586.666666666668,0,18586.666666666668,0.0,0.0
H1,,,,4759.0,,,,,2549,2210.0,4759.0,2549,0.0,0.0
H2,,,,124.0,,,,,,124.0,124.0,0,0.0,0.0
H3,,,,6015.0,,,,,2005,4010.0,6015.0,2005,0.0,0.0
H4,,,,3854.0,,,,,3270,584.0,3854.0,3270,0.0,0.0
H5,,,,1668,2770,,,,3158,1280,4438,3158,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,500,2005,,,,,2505,2505,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,4707,,,,,4707,4707,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18586.666666666668,10982,,,18586.666666666668,10982,0,29568.666666666668,29568.666666666668,0.0,0.0
SYSTEM,system,System Total,29568.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29568.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
